WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,AirTemperature,StationPressure,DewPoint,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,WindDirection,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,34.49,08-15-2019,16:00:00,77,30.9,972.58,26.4,12.00,1002.88,2.50,0.0,000,0.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.05,08-15-2019,16:00:00,86,21.6,842.17,19.1,8.00,1001.13,22.60,22.2,270,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.39,08-15-2019,16:00:00,66,30.3,958.08,23.2,15.00,1000.78,0.00,9.3,240,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.06,08-15-2019,16:00:00,67,31.5,956.66,24.7,15.00,1001.06,4.00,0.0,000,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,28.67,08-15-2019,16:00:00,66,30.3,967.81,23.3,10.00,1004.80,0.30,0.0,000,0.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.58,08-15-2019,16:00:00,57,34.2,957.34,24.4,11.00,1000.93,3.30,7.4,340,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,33.07,08-15-2019,16:00:00,70,31.9,975.87,25.7,10.00,1001.96,2.60,14.8,180,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.85,08-15-2019,16:00:00,60,34.1,981.24,25.1,15.00,1002.36,0.90,14.8,240,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,32.12,08-15-2019,16:00:00,86,27.8,981.31,25.2,8.00,1005.25,0.70,0.0,000,0.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,31.19,08-15-2019,16:00:00,69,31.0,968.75,24.7,10.00,1002.56,3.20,3.7,140,0.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,29.01,08-15-2019,16:00:00,57,33.3,975.55,23.5,10.00,1002.33,0.60,5.6,160,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.29,08-15-2019,16:00:00,79,28.8,969.72,24.8,12.00,1002.85,1.50,0.0,000,0.00
