WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,WindDirection,Rainfall,MeanSeaLevelPressure,LandVisibility,VaporPressure,DewPoint,RelativeHumidity,WindSpeed,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.29,08-03-2019,10:00:00,27.8,090,0.00,1006.00,15.00,27.75,22.8,74,5.6,7.90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,841.73,08-03-2019,10:00:00,19.6,270,0.00,1001.76,8.00,20.38,17.8,89,63.0,4.40
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,959.40,08-03-2019,10:00:00,29.2,240,0.00,1002.32,15.00,25.81,21.6,64,5.6,2.10
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,957.81,08-03-2019,10:00:00,28.5,200,0.00,1002.71,15.00,27.44,22.6,71,5.6,13.50
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,966.50,08-03-2019,10:00:00,27.2,170,0.00,1003.83,12.00,29.31,23.7,81,11.1,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.24,08-03-2019,10:00:00,29.2,160,0.00,1003.65,10.00,30.96,24.6,76,9.3,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,977.34,08-03-2019,10:00:00,29.0,180,0.00,1003.72,12.00,28.37,23.2,71,9.3,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,983.35,08-03-2019,10:00:00,30.8,270,0.00,1004.74,15.00,21.93,19.0,49,20.4,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,983.47,08-03-2019,10:00:00,26.1,000,0.00,1007.60,8.00,26.80,22.2,79,0.0,11.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,970.48,08-03-2019,10:00:00,29.0,050,0.00,1004.57,10.00,24.94,21.1,62,3.7,1.40
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.28,08-03-2019,10:00:00,30.0,000,0.00,1004.41,10.00,23.60,20.2,56,0.0,1.80
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,971.34,08-03-2019,10:00:00,30.0,000,0.00,1004.39,10.00,23.60,20.2,56,0.0,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.00,08-03-2019,10:00:00,29.1,230,0.00,1004.30,15.00,26.68,22.2,66,5.6,1.10
48331,NAN,น่าน,น่าน,18.77972,100.77778,981.08,08-03-2019,10:00:00,30.5,000,0.00,1003.51,10.00,28.50,23.2,65,0.0,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,974.13,08-03-2019,10:00:00,29.2,000,0.00,1003.63,12.00,26.34,21.9,65,0.0,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.28,08-03-2019,10:00:00,29.2,000,0.00,1004.34,8.00,26.34,21.9,65,0.0,3.40
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,972.81,08-03-2019,10:00:00,30.8,320,0.00,1001.94,17.00,24.24,20.6,55,18.5,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,997.42,08-03-2019,10:00:00,29.0,000,0.00,1004.66,11.00,27.03,22.4,68,0.0,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,981.81,08-03-2019,10:00:00,29.5,290,0.00,1001.42,12.00,29.33,23.7,71,14.8,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,974.10,08-03-2019,10:00:00,30.5,270,0.00,1002.26,17.00,20.93,18.2,48,20.4,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,982.39,08-03-2019,10:00:00,29.7,270,0.00,1002.27,15.00,25.66,21.5,62,18.5,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,980.92,08-03-2019,10:00:00,28.0,250,0.00,1002.46,15.00,29.19,23.6,77,3.7,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,982.21,08-03-2019,10:00:00,28.9,200,0.00,1001.45,15.00,27.91,22.9,70,13.0,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,985.76,08-03-2019,10:00:00,27.2,200,2.00,1002.41,10.00,29.04,23.6,81,3.7,22.20
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,985.34,08-03-2019,10:00:00,27.5,220,0.00,1002.63,10.00,26.95,22.3,73,7.4,1.60
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,976.55,08-03-2019,10:00:00,30.0,290,0.00,1001.93,11.00,24.89,21.0,59,13.0,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.05,08-03-2019,10:00:00,30.0,240,0.00,1004.77,10.00,25.94,21.7,61,9.3,0.40
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.01,08-03-2019,10:00:00,29.0,270,0.00,1005.15,10.00,25.71,21.6,64,9.3,0.20
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,988.91,08-03-2019,10:00:00,29.3,220,0.00,1005.19,10.00,23.67,20.2,58,7.4,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.20,08-03-2019,10:00:00,26.0,240,0.00,1006.58,10.00,26.88,22.3,80,5.6,41.10
48376,TAK,ตาก,ตาก,16.87833,99.14333,991.82,08-03-2019,10:00:00,28.3,270,0.00,1006.13,7.00,23.73,20.2,62,16.7,0.00
