WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,Rainfall24Hr,StationPressure,WindDirection,WindSpeed,MeanSeaLevelPressure,VaporPressure,LandVisibility,DewPoint,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.0,10-10-2019,22:00:00,90,0.80,980.66,000,0.0,1011.82,28.48,8.00,23.2,0.80
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.2,10-10-2019,22:00:00,84,4.10,849.37,000,0.0,1011.09,18.59,8.00,16.4,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.8,10-10-2019,22:00:00,74,0.00,967.52,000,0.0,1011.15,26.23,10.00,21.9,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.2,10-10-2019,22:00:00,82,0.00,965.46,000,0.0,1011.24,26.27,12.00,21.9,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.5,10-10-2019,22:00:00,92,0.00,974.44,000,0.0,1012.56,26.66,6.00,22.1,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.0,10-10-2019,22:00:00,88,0.00,966.00,000,0.0,1011.36,27.70,7.00,22.8,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.5,10-10-2019,22:00:00,88,0.00,985.15,000,0.0,1012.06,28.59,8.00,23.3,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.5,10-10-2019,22:00:00,90,0.00,990.22,120,1.9,1012.15,29.38,8.00,23.7,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.0,10-10-2019,22:00:00,96,9.30,988.94,000,0.0,1013.37,28.53,8.00,23.3,2.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.0,10-10-2019,22:00:00,75,0.00,977.63,190,5.6,1012.21,26.84,10.00,22.3,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.5,10-10-2019,22:00:00,81,0.00,985.60,000,0.0,1013.18,29.60,10.00,23.9,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.7,10-10-2019,22:00:00,84,1.50,979.07,250,5.6,1012.87,27.64,7.00,22.7,1.50
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.0,10-10-2019,22:00:00,84,0.00,992.39,000,0.0,1010.93,30.02,6.00,24.1,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.7,10-10-2019,22:00:00,84,0.00,988.58,000,0.0,1011.48,29.45,10.00,23.8,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.8,10-10-2019,22:00:00,89,0.00,981.51,000,0.0,1011.58,29.66,8.00,23.9,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.2,10-10-2019,22:00:00,90,0.00,976.59,000,0.0,1012.39,28.83,8.00,23.4,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.2,10-10-2019,22:00:00,97,1.80,981.24,000,0.0,1011.29,29.13,12.00,23.6,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.5,10-10-2019,22:00:00,78,0.00,1003.59,000,0.0,1010.88,30.15,8.00,24.2,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.7,10-10-2019,22:00:00,80,0.00,990.74,100,3.7,1010.58,31.38,5.00,24.8,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,25.2,10-10-2019,22:00:00,83,0.50,982.67,000,0.0,1011.58,26.52,10.00,22.1,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.2,10-10-2019,22:00:00,81,0.00,990.95,000,0.0,1011.18,29.31,12.00,23.7,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.5,10-10-2019,22:00:00,88,0.00,989.57,000,0.0,1011.48,28.59,12.00,23.3,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.1,10-10-2019,22:00:00,84,0.00,991.52,000,0.0,1011.06,30.20,12.00,24.2,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,28.2,10-10-2019,22:00:00,72,0.00,995.06,080,3.7,1011.81,27.42,10.00,22.6,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,28.0,10-10-2019,22:00:00,74,0.00,994.59,090,3.7,1012.02,27.85,10.00,22.9,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.5,10-10-2019,22:00:00,84,0.00,984.89,000,0.0,1010.87,27.29,10.00,22.5,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.7,10-10-2019,22:00:00,87,0.00,1005.17,180,3.7,1010.95,34.24,10.00,26.3,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.5,10-10-2019,22:00:00,87,0.00,1005.12,000,0.0,1011.31,33.82,7.00,26.1,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.0,10-10-2019,22:00:00,88,1.30,995.59,000,0.0,1012.16,29.50,8.00,23.8,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.0,10-10-2019,22:00:00,96,57.50,989.28,120,7.4,1012.00,26.83,7.00,22.2,57.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.8,10-10-2019,22:00:00,93,9.40,998.40,330,5.6,1012.88,32.66,4.00,25.5,9.40
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.5,10-10-2019,22:00:00,88,10.60,996.13,000,0.0,1012.69,28.59,6.00,23.3,10.60
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.4,10-10-2019,22:00:00,95,0.00,1006.84,000,0.0,1012.08,34.73,10.00,26.6,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.0,10-10-2019,22:00:00,94,11.80,996.98,000,0.0,1010.26,31.65,10.00,25.0,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,27.1,10-10-2019,22:00:00,80,0.00,1002.21,230,5.6,1011.57,28.59,10.00,23.3,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.6,10-10-2019,22:00:00,84,0.00,989.38,290,5.6,1011.11,30.89,9.00,24.6,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.5,10-10-2019,22:00:00,84,0.00,994.08,000,0.0,1011.63,30.97,12.00,24.6,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,28.3,10-10-2019,22:00:00,75,0.00,994.91,110,3.7,1010.73,28.95,10.00,23.5,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.5,10-10-2019,22:00:00,86,0.01,991.57,000,0.0,1010.55,29.89,8.00,24.0,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.0,10-10-2019,22:00:00,93,44.60,960.99,000,0.0,1013.14,24.50,{'@attributes': {'Unit': 'km'}},20.8,6.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.2,10-10-2019,22:00:00,87,0.10,1007.09,000,0.0,1011.06,31.49,8.00,24.9,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.7,10-10-2019,22:00:00,90,0.00,917.67,260,5.6,1013.63,21.89,6.00,18.9,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.2,10-10-2019,22:00:00,90,0.00,995.02,000,0.0,1011.06,32.33,8.00,25.3,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.4,10-10-2019,22:00:00,93,12.90,1007.49,000,0.0,1011.55,31.88,9.00,25.1,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.9,10-10-2019,22:00:00,89,0.00,1001.74,000,0.0,1012.51,29.58,7.00,23.9,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.4,10-10-2019,22:00:00,83,0.00,1009.57,000,0.0,1011.51,30.23,9.00,24.2,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.3,10-10-2019,22:00:00,85,0.00,990.74,000,0.0,1011.82,27.46,10.00,22.6,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.2,10-10-2019,22:00:00,94,0.00,993.04,000,0.0,1010.76,34.03,10.00,26.2,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.4,10-10-2019,22:00:00,86,0.00,994.37,000,0.0,1010.51,33.33,10.00,25.9,0.00
