WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,Rainfall24Hr,StationPressure,WindDirection,WindSpeed,MeanSeaLevelPressure,VaporPressure,LandVisibility,DewPoint,Rainfall
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.5,10-10-2019,22:00:00,81,0.00,997.27,000,0.0,1011.33,29.60,10.00,23.9,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.0,10-10-2019,22:00:00,89,0.00,996.86,000,0.0,1011.81,29.76,9.00,24.0,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.2,10-10-2019,22:00:00,95,2.50,1003.12,000,0.0,1017.99,32.32,6.00,25.3,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.0,10-10-2019,22:00:00,88,0.00,1008.41,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1011.43,33.08,9.00,25.7,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.0,10-10-2019,22:00:00,92,0.00,1003.30,000,0.0,1011.33,29.26,7.00,23.7,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.2,10-10-2019,22:00:00,89,0.00,1010.81,100,5.6,1011.92,32.05,8.00,25.2,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.5,10-10-2019,22:00:00,80,0.00,997.34,000,0.0,1012.12,27.77,8.00,22.8,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,17.9,10-10-2019,22:00:00,98,19.80,878.19,130,1.9,1014.92,20.07,8.00,17.6,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.8,10-10-2019,22:00:00,97,2.90,1005.70,000,0.0,1011.65,30.48,8.00,24.4,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,28.3,10-10-2019,22:00:00,75,0.00,1010.91,150,5.6,1011.72,28.95,8.00,23.5,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.5,10-10-2019,22:00:00,82,0.00,1010.83,000,0.0,1011.28,31.82,8.00,25.1,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.2,10-10-2019,22:00:00,94,5.90,1001.73,000,0.0,1013.17,30.15,5.00,24.2,0.40
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.8,10-10-2019,22:00:00,74,0.00,1010.59,000,0.0,1011.60,31.03,8.00,24.7,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.9,10-10-2019,22:00:00,80,0.00,1010.00,120,3.7,1011.83,28.49,7.00,23.2,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.7,10-10-2019,22:00:00,81,0.00,1010.69,000,0.0,1011.46,31.94,7.00,25.1,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.7,10-10-2019,22:00:00,85,11.00,1010.83,020,5.6,1011.54,31.64,8.00,25.0,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.2,10-10-2019,22:00:00,85,0.00,1009.69,000,0.0,1010.39,32.63,7.00,25.5,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.2,10-10-2019,22:00:00,95,45.90,990.46,000,0.0,1011.84,30.42,8.00,24.3,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.7,10-10-2019,22:00:00,94,0.01,994.98,000,0.0,1011.84,31.08,6.00,24.7,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.4,10-10-2019,22:00:00,90,0.60,995.45,000,0.0,1012.05,29.19,7.00,23.6,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,25.4,10-10-2019,22:00:00,92,14.00,990.02,000,0.0,1012.10,29.99,6.00,24.1,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.0,10-10-2019,22:00:00,93,1.00,968.64,000,0.0,1012.69,26.09,8.00,21.8,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.8,10-10-2019,22:00:00,90,0.00,991.08,000,0.0,1011.82,29.93,10.00,24.1,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.2,10-10-2019,22:00:00,98,0.00,992.38,190,7.4,1013.45,31.49,8.00,24.9,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.8,10-10-2019,22:00:00,76,36.60,1010.60,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1011.03,31.89,10.00,25.1,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.2,10-10-2019,22:00:00,90,0.00,1010.27,000,0.0,1011.70,30.67,6.00,24.5,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.9,10-10-2019,22:00:00,95,0.00,1006.95,000,0.0,1011.93,31.74,7.00,25.0,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.0,10-10-2019,22:00:00,78,0.10,1008.34,000,0.0,1011.64,29.46,10.00,23.8,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,29.4,10-10-2019,22:00:00,84,0.00,1010.55,000,0.0,1011.65,34.54,10.00,26.5,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.8,10-10-2019,22:00:00,88,7.10,1011.48,000,0.0,1011.78,32.68,8.00,25.5,0.01
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.3,10-10-2019,22:00:00,88,26.60,1010.84,000,0.0,1011.33,31.97,8.00,25.2,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.2,10-10-2019,22:00:00,81,0.00,1010.63,140,7.4,1012.04,30.95,8.00,24.6,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.0,10-10-2019,22:00:00,92,0.00,1005.14,000,0.0,1013.24,29.26,10.00,23.7,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.2,10-10-2019,22:00:00,90,5.80,1011.11,000,0.0,1011.39,32.61,4.00,25.5,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,26.5,10-10-2019,22:00:00,90,0.00,1008.41,000,0.0,1011.56,31.24,10.00,24.8,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.1,10-10-2019,22:00:00,90,0.00,1004.33,000,0.0,1011.30,32.13,6.00,25.2,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.0,10-10-2019,22:00:00,92,0.01,1006.43,000,0.0,1012.06,32.77,10.00,25.6,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.0,10-10-2019,22:00:00,92,0.01,1010.62,000,0.0,1011.89,32.77,8.00,25.6,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.0,10-10-2019,22:00:00,78,0.00,1010.95,000,0.0,1011.38,31.41,11.00,24.9,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.8,10-10-2019,22:00:00,92,0.00,999.32,000,0.0,1011.68,30.46,8.00,24.3,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.1,10-10-2019,22:00:00,82,0.00,1010.55,130,7.4,1011.26,31.03,7.00,24.7,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,26.4,10-10-2019,22:00:00,93,6.30,1009.23,360,3.7,1011.68,31.88,6.00,25.1,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,26.5,10-10-2019,22:00:00,93,0.50,1011.19,000,0.0,1011.71,32.07,8.00,25.2,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.3,10-10-2019,22:00:00,92,1.50,1006.22,000,0.0,1011.42,29.80,7.00,24.0,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.4,10-10-2019,22:00:00,93,0.30,1011.47,040,5.6,1011.88,32.15,7.00,25.3,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.0,10-10-2019,22:00:00,93,3.20,1009.12,000,0.0,1011.92,31.38,8.00,24.8,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.2,10-10-2019,22:00:00,87,0.00,1011.08,000,0.0,1011.87,31.22,10.00,24.8,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.2,10-10-2019,22:00:00,95,16.90,1011.34,100,5.6,1011.81,28.62,6.00,23.3,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.5,10-10-2019,22:00:00,88,0.00,1011.80,000,0.0,1012.49,28.59,7.00,23.3,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.5,10-10-2019,22:00:00,89,0.20,1010.03,000,0.0,1011.57,30.97,7.00,24.6,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.6,10-10-2019,22:00:00,92,11.70,1011.73,000,0.0,1012.65,30.09,10.00,24.1,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.4,10-10-2019,22:00:00,94,5.40,1011.60,330,5.6,1012.30,30.52,10.00,24.4,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.8,10-10-2019,22:00:00,95,0.01,1011.78,000,0.0,1012.59,31.55,8.00,24.9,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,26.5,10-10-2019,22:00:00,93,0.00,1011.04,000,0.0,1011.68,32.07,10.00,25.2,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.3,10-10-2019,22:00:00,94,0.30,1011.98,230,7.4,1012.39,30.34,10.00,24.3,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.9,10-10-2019,22:00:00,94,2.40,1009.93,000,0.0,1014.20,29.61,5.00,23.9,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.2,10-10-2019,22:00:00,98,0.00,1009.60,000,0.0,1011.23,29.66,10.00,23.9,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.6,10-10-2019,22:00:00,90,1.40,1008.80,000,0.0,1012.32,27.78,10.00,22.8,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.6,10-10-2019,22:00:00,95,0.50,1010.66,000,0.0,1012.03,29.33,8.00,23.7,0.20
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.0,10-10-2019,22:00:00,96,3.80,1011.00,000,0.0,1011.90,30.32,10.00,24.3,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.0,10-10-2019,22:00:00,98,5.20,1008.33,000,0.0,1011.94,29.30,10.00,23.7,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.5,10-10-2019,22:00:00,92,63.00,1010.33,000,0.0,1010.77,31.79,10.00,25.1,0.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.5,10-10-2019,22:00:00,90,1.30,1010.91,000,0.0,1011.91,29.38,10.00,23.7,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.4,10-10-2019,22:00:00,90,1.20,1010.73,090,11.1,1011.55,29.19,10.00,23.6,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.3,10-10-2019,22:00:00,96,1.30,1010.16,000,0.0,1011.99,30.87,10.00,24.6,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.1,10-10-2019,22:00:00,87,0.00,1011.49,000,0.0,1012.25,27.62,10.00,22.7,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.6,10-10-2019,22:00:00,99,43.80,1008.45,220,3.7,1012.52,28.85,10.00,23.4,0.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.5,10-10-2019,22:00:00,96,0.00,1012.02,000,0.0,1012.71,31.25,10.00,24.8,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.2,10-10-2019,22:00:00,96,25.40,1012.32,000,0.0,1013.45,27.41,10.00,22.6,0.20
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.0,10-10-2019,22:00:00,95,40.60,1009.76,160,3.7,1012.72,28.27,10.00,23.1,2.50
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.0,10-10-2019,22:00:00,96,8.10,1012.26,000,0.0,1012.96,28.53,8.00,23.3,6.90
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.2,10-10-2019,22:00:00,95,47.20,1008.96,210,11.1,1013.16,26.91,7.00,22.3,1.60
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.5,10-10-2019,22:00:00,87,0.00,1012.00,240,9.3,1012.59,26.84,9.00,22.3,0.00
