WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,Rainfall,StationPressure,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.9,07-29-2019,16:00:00,0.00,000,32.84,25.6,0.00,973.60,66,15.00,1003.73,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,24.2,07-29-2019,16:00:00,0.20,280,19.93,17.5,0.00,843.02,66,10.00,1000.66,13.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,34.6,07-29-2019,16:00:00,0.00,260,27.94,22.9,0.00,959.11,51,15.00,1001.25,14.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,33.8,07-29-2019,16:00:00,0.01,330,28.31,23.1,0.00,957.41,54,15.00,1001.51,5.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.0,07-29-2019,16:00:00,0.00,000,30.08,24.1,0.00,965.87,63,12.00,1002.58,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,32.0,07-29-2019,16:00:00,0.00,110,28.38,23.2,0.00,958.08,60,13.00,1002.02,9.3
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,31.7,07-29-2019,16:00:00,0.00,180,32.35,25.4,0.00,977.17,69,12.00,1003.31,9.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,34.2,07-29-2019,16:00:00,6.80,270,27.70,22.8,0.00,982.75,51,12.00,1003.89,7.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.6,07-29-2019,16:00:00,9.20,000,31.17,24.7,5.60,982.60,95,6.00,1006.75,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,32.9,07-29-2019,16:00:00,0.00,140,27.08,22.4,0.00,969.58,54,10.00,1003.20,3.7
