WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindSpeed,LandVisibility,VaporPressure,Rainfall,AirTemperature,RelativeHumidity,MeanSeaLevelPressure,MaximumTemperature,DewPoint,Rainfall24Hr,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.69,09-03-2019,19:00:00,0.0,12.00,30.81,0.00,27.7,83,1004.35,31.5,24.5,22.70,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,842.95,09-03-2019,19:00:00,29.6,4.00,21.65,5.50,19.1,98,1003.51,23.5,18.8,5.50,140
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.98,09-03-2019,19:00:00,3.7,10.00,28.21,4.10,24.7,91,1004.63,33.4,23.1,4.10,360
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,958.86,09-03-2019,19:00:00,0.0,7.00,27.60,1.00,24.2,91,1004.48,33.9,22.7,1.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,968.36,09-03-2019,19:00:00,0.0,6.00,30.84,0.00,26.0,92,1005.91,30.5,24.6,4.50,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.91,09-03-2019,19:00:00,1.9,8.00,31.30,0.80,26.1,93,1004.82,31.8,24.8,4.00,020
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.91,09-03-2019,19:00:00,0.0,8.00,30.65,0.00,25.9,92,1005.61,32.6,24.4,0.90,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,982.35,09-03-2019,19:00:00,0.0,12.00,32.46,0.00,29.8,77,1003.80,33.4,25.4,3.10,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,981.47,09-03-2019,19:00:00,0.0,10.00,30.78,0.00,27.4,84,1005.44,30.9,24.5,2.50,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,969.37,09-03-2019,19:00:00,3.7,10.00,28.23,0.00,30.5,65,1003.25,33.6,23.1,5.10,180
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,976.85,09-03-2019,19:00:00,0.0,10.00,31.46,0.00,28.6,80,1004.09,33.6,24.9,3.30,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,970.50,09-03-2019,19:00:00,0.0,10.00,30.59,0.00,30.0,72,1003.52,33.5,24.4,4.10,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.07,09-03-2019,19:00:00,3.7,8.00,30.56,2.90,27.0,86,1004.50,33.0,24.4,25.70,300
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.06,09-03-2019,19:00:00,0.0,10.00,30.54,0.20,25.7,93,1004.88,32.9,24.4,11.60,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.20,09-03-2019,19:00:00,0.0,10.00,30.71,0.00,25.5,94,1005.11,33.0,24.5,8.80,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,968.59,09-03-2019,19:00:00,0.0,7.00,33.99,0.00,29.0,85,1003.64,31.0,26.2,5.20,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,973.13,09-03-2019,19:00:00,0.0,13.00,32.77,0.00,27.0,92,1002.65,31.2,25.6,0.20,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,996.78,09-03-2019,19:00:00,0.0,7.00,33.62,3.50,27.7,91,1004.04,33.0,26.0,23.50,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,982.64,09-03-2019,19:00:00,3.7,10.00,34.82,0.00,28.7,88,1002.32,30.3,26.6,2.00,240
48353,LOEI,เลย,เลย,17.45000,101.73333,974.84,09-03-2019,19:00:00,3.7,15.00,31.11,0.00,28.0,82,1003.25,31.0,24.7,2.30,160
