WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,Rainfall24Hr,DewPoint,WindDirection,WindSpeed,Rainfall,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,8.00,09-02-2019,01:00:00,976.12,1007.10,25.4,94,12.00,24.4,000,0.0,0.00,30.52
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,2.00,09-02-2019,01:00:00,844.67,1006.08,18.2,99,57.90,18.0,120,3.7,40.00,20.67
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,09-02-2019,01:00:00,962.80,1006.46,25.2,88,2.70,23.1,000,0.0,0.00,28.31
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10.00,09-02-2019,01:00:00,961.12,1006.73,25.0,92,6.30,23.5,000,0.0,0.00,29.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.00,09-02-2019,01:00:00,968.36,1006.10,24.5,96,5.20,23.8,000,0.0,4.80,29.41
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,09-02-2019,01:00:00,960.78,1006.03,24.2,94,4.90,23.2,000,0.0,1.20,28.36
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,6.00,09-02-2019,01:00:00,980.25,1007.01,25.7,94,0.30,24.7,000,0.0,0.00,31.08
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,15.00,09-02-2019,01:00:00,985.58,1007.43,25.2,95,4.80,24.3,030,3.7,0.00,30.42
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.00,09-02-2019,01:00:00,983.47,1007.79,23.8,93,5.60,22.6,000,0.0,0.00,27.42
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-02-2019,01:00:00,972.76,1007.46,24.5,91,0.20,23.0,000,0.0,0.20,28.11
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-02-2019,01:00:00,980.53,1008.23,24.8,95,41.60,23.9,000,0.0,10.80,29.69
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-02-2019,01:00:00,973.51,1007.28,24.3,97,56.10,23.9,000,0.0,0.60,29.57
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10.00,09-02-2019,01:00:00,988.62,1007.22,25.0,97,42.90,24.6,000,0.0,1.40,30.85
48331,NAN,น่าน,น่าน,18.77972,100.77778,5.00,09-02-2019,01:00:00,984.24,1007.09,26.1,95,5.80,25.2,000,0.0,2.80,32.12
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,7.00,09-02-2019,01:00:00,977.01,1006.97,25.5,93,1.30,24.2,000,0.0,0.00,30.17
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,09-02-2019,01:00:00,971.71,1007.50,23.8,96,71.40,23.1,000,0.0,6.40,28.18
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10.00,09-02-2019,01:00:00,975.77,1005.57,25.0,99,1.10,24.8,000,0.0,0.00,31.39
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.00,09-02-2019,01:00:00,999.76,1007.10,25.5,96,53.90,24.8,000,0.0,0.30,31.25
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,11.00,09-02-2019,01:00:00,985.73,1005.57,27.1,94,0.00,26.0,000,0.0,0.00,33.54
48353,LOEI,เลย,เลย,17.45000,101.73333,12.00,09-02-2019,01:00:00,976.88,1005.64,25.0,88,1.60,22.8,000,0.0,0.20,27.70
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,8.00,09-02-2019,01:00:00,985.52,1005.69,26.5,93,15.50,25.2,260,9.3,0.40,32.07
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,09-02-2019,01:00:00,983.48,1005.23,25.9,93,4.90,24.6,310,5.6,4.90,30.92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,09-02-2019,01:00:00,985.22,1004.70,26.3,93,0.01,25.1,030,5.6,0.00,31.96
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,7.00,09-02-2019,01:00:00,988.58,1005.31,26.5,89,0.10,24.6,280,1.9,0.10,30.97
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,9.00,09-02-2019,01:00:00,988.35,1005.78,26.0,93,0.01,24.8,000,0.0,0.01,31.38
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,8.00,09-02-2019,01:00:00,979.64,1005.50,25.4,99,32.70,25.2,000,0.0,12.20,32.15
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,8.00,09-02-2019,01:00:00,1000.91,1006.73,25.4,100,12.00,25.4,000,0.0,0.10,32.42
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,09-02-2019,01:00:00,1000.89,1007.11,25.7,97,5.90,25.1,210,5.6,0.20,31.90
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,8.00,09-02-2019,01:00:00,990.45,1007.02,24.5,87,2.00,22.3,000,0.0,0.00,26.84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,09-02-2019,01:00:00,983.79,1006.27,24.5,89,14.60,22.6,210,3.7,0.50,27.35
48376,TAK,ตาก,ตาก,16.87833,99.14333,10.00,09-02-2019,01:00:00,993.53,1008.00,25.5,94,3.10,24.5,000,0.0,0.00,30.71
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,09-02-2019,01:00:00,990.55,1007.03,25.2,90,12.80,23.4,000,0.0,0.00,28.83
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-02-2019,01:00:00,1001.89,1007.15,25.2,98,14.70,24.9,000,0.0,1.30,31.49
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,09-02-2019,01:00:00,992.24,1005.50,25.2,90,1.00,23.4,000,0.0,0.00,28.83
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,09-02-2019,01:00:00,998.04,1007.41,25.6,97,22.90,25.0,000,0.0,0.01,31.71
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,2.00,09-02-2019,01:00:00,984.43,1006.30,24.2,100,98.20,24.2,030,9.3,66.40,30.18
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,5.00,09-02-2019,01:00:00,987.01,1004.55,25.5,96,22.50,24.8,220,14.8,11.80,31.25
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,09-02-2019,01:00:00,987.98,1003.82,26.0,96,1.20,25.3,000,0.0,0.00,32.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.00,09-02-2019,01:00:00,986.47,1005.45,24.9,97,47.60,24.3,000,0.0,24.00,30.40
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,5.00,09-02-2019,01:00:00,957.81,1009.61,23.0,93,21.90,21.8,000,0.0,1.80,26.09
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,4.00,09-02-2019,01:00:00,1003.38,1007.36,25.2,94,41.90,24.2,000,0.0,1.20,30.15
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,2.00,09-02-2019,01:00:00,912.38,1007.83,20.6,96,18.10,20.0,250,5.6,0.60,23.33
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.00,09-02-2019,01:00:00,989.92,1006.01,24.7,98,61.30,24.4,000,0.0,19.50,30.56
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.00,09-02-2019,01:00:00,1003.37,1007.42,26.0,93,19.40,24.8,000,0.0,0.40,31.38
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,4.00,09-02-2019,01:00:00,997.03,1007.77,25.3,96,10.40,24.6,000,0.0,2.20,30.87
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,6.00,09-02-2019,01:00:00,1005.55,1007.49,26.0,96,15.20,25.3,000,0.0,0.00,32.20
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,09-02-2019,01:00:00,984.99,1005.96,25.0,90,2.40,23.2,320,3.7,0.20,28.48
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,8.00,09-02-2019,01:00:00,987.74,1005.51,24.7,97,63.40,24.1,320,7.4,59.60,30.03
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,6.00,09-02-2019,01:00:00,989.12,1005.37,24.7,98,102.70,24.4,210,7.4,95.30,30.56
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,8.00,09-02-2019,01:00:00,990.68,1004.74,25.6,93,7.50,24.3,000,0.0,6.60,30.36
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,6.00,09-02-2019,01:00:00,991.46,1006.35,25.5,96,17.00,24.8,000,0.0,16.80,31.25
