WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,WindDirection,Rainfall,LandVisibility,Rainfall24Hr,VaporPressure,AirTemperature,WindSpeed,StationPressure,DewPoint
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.25,08-31-2019,13:00:00,92,000,2.30,7.00,107.10,32.77,27.0,0.0,989.11,25.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1002.82,08-31-2019,13:00:00,81,140,0.10,10.00,79.80,31.94,28.7,11.1,993.59,25.1
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1003.64,08-31-2019,13:00:00,80,180,0.00,12.00,54.10,30.59,28.3,14.8,982.12,24.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.99,08-31-2019,13:00:00,78,000,0.00,10.00,128.80,31.13,29.0,0.0,986.66,24.7
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1003.15,08-31-2019,13:00:00,74,200,0.00,11.00,54.50,30.13,29.2,5.6,987.49,24.2
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1002.73,08-31-2019,13:00:00,88,000,0.80,8.00,78.90,31.58,27.1,0.0,983.93,24.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1002.27,08-31-2019,13:00:00,88,000,5.30,10.00,15.10,27.70,25.0,0.0,951.18,22.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.93,08-31-2019,13:00:00,85,140,0.01,8.00,62.10,33.45,28.6,14.8,999.01,25.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1003.28,08-31-2019,13:00:00,95,200,20.10,.80,88.60,24.82,21.9,9.3,908.66,21.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1003.35,08-31-2019,13:00:00,81,180,0.00,10.00,47.00,33.29,29.5,7.4,987.55,25.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.32,08-31-2019,13:00:00,83,180,0.10,7.00,38.60,34.37,29.6,5.6,999.34,26.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1004.20,08-31-2019,13:00:00,75,240,0.00,10.00,50.50,30.72,29.5,9.3,993.64,24.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.63,08-31-2019,13:00:00,85,120,0.30,10.00,12.80,31.95,28.0,3.7,1001.71,25.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.20,08-31-2019,13:00:00,73,210,0.00,12.00,69.00,29.38,29.1,11.1,982.57,23.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1003.15,08-31-2019,13:00:00,71,200,0.00,10.00,44.40,29.33,29.5,11.1,985.70,23.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1002.93,08-31-2019,13:00:00,77,200,0.00,10.00,43.30,31.56,29.5,13.0,986.97,24.9
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1004.26,08-31-2019,13:00:00,72,190,1.80,10.00,4.70,30.70,30.2,11.1,990.41,24.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1005.04,08-31-2019,13:00:00,73,000,0.00,9.00,3.20,30.47,29.8,0.0,990.38,24.4
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1004.23,08-31-2019,13:00:00,74,240,0.00,9.00,1.90,34.51,31.6,9.3,989.83,26.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.80,08-31-2019,13:00:00,88,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",5.20,8.00,31.30,34.74,28.8,0.0,999.81,26.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1003.01,08-31-2019,13:00:00,78,000,0.01,10.00,31.60,30.15,28.5,0.0,995.13,24.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.24,08-31-2019,13:00:00,65,230,0.00,8.00,1.20,29.92,31.5,18.5,1003.16,24.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1001.73,08-31-2019,13:00:00,77,110,0.00,8.00,38.40,29.19,28.0,1.9,987.17,23.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1005.02,08-31-2019,13:00:00,99,280,2.00,.10,33.60,22.42,19.5,20.4,870.30,19.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.44,08-31-2019,13:00:00,78,260,0.00,10.00,49.60,31.93,29.4,11.1,997.63,25.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1003.90,08-31-2019,13:00:00,66,180,0.00,8.00,0.30,29.48,31.0,7.4,1003.11,23.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1003.72,08-31-2019,13:00:00,63,230,0.00,10.00,0.01,29.07,31.5,9.3,1003.28,23.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1004.65,08-31-2019,13:00:00,88,000,0.90,6.00,17.00,31.38,27.0,0.0,993.38,24.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1003.60,08-31-2019,13:00:00,66,250,0.01,10.00,0.10,29.68,31.1,11.1,1002.60,23.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.49,08-31-2019,13:00:00,66,160,0.00,10.00,5.00,29.48,31.0,5.6,1001.70,23.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1003.50,08-31-2019,13:00:00,65,200,0.00,8.00,0.01,28.70,30.6,7.4,1002.75,23.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1004.30,08-31-2019,13:00:00,86,190,1.00,9.00,1.40,31.33,27.4,18.5,1003.60,24.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1003.93,08-31-2019,13:00:00,78,180,2.70,7.00,3.70,32.13,29.5,7.4,1003.24,25.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1004.04,08-31-2019,13:00:00,80,230,0.01,9.00,33.70,30.98,28.5,7.4,983.05,24.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1003.89,08-31-2019,13:00:00,65,220,0.00,11.00,15.10,31.15,32.1,7.4,987.51,24.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1004.19,08-31-2019,13:00:00,65,230,0.00,12.00,18.60,31.06,32.2,7.4,988.09,24.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1003.78,08-31-2019,13:00:00,71,270,0.00,10.00,33.20,30.31,30.0,14.8,982.21,24.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1003.76,08-31-2019,13:00:00,73,230,0.00,15.00,5.70,26.95,27.5,11.1,960.73,22.3
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1003.52,08-31-2019,13:00:00,62,210,0.00,10.00,24.20,28.51,31.5,18.5,983.34,23.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1005.26,08-31-2019,13:00:00,78,200,0.00,10.00,37.40,33.50,30.3,22.2,984.71,25.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1004.26,08-31-2019,13:00:00,75,230,0.30,10.00,0.30,31.00,29.5,14.8,1003.84,24.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1003.80,08-31-2019,13:00:00,78,250,0.20,8.00,3.60,32.75,29.8,9.3,1002.40,25.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.55,08-31-2019,13:00:00,67,270,0.00,9.00,1.60,33.22,32.8,11.1,998.73,25.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1003.67,08-31-2019,13:00:00,67,230,0.00,12.00,0.40,29.14,30.4,7.4,1000.42,23.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1003.95,08-31-2019,13:00:00,63,000,0.00,10.00,0.01,29.39,31.8,0.0,1002.86,23.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1004.24,08-31-2019,13:00:00,69,200,0.00,10.00,0.50,30.38,30.6,14.8,1003.94,24.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1002.71,08-31-2019,13:00:00,81,000,1.50,10.00,1.80,33.58,29.5,0.0,1002.03,26.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1004.85,08-31-2019,13:00:00,89,140,1.70,10.00,2.20,35.46,29.0,7.4,1004.36,26.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.09,08-31-2019,13:00:00,74,220,6.40,10.00,7.80,30.52,29.4,22.2,1002.70,24.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.47,08-31-2019,13:00:00,94,210,0.00,10.00,0.01,37.57,29.0,33.3,1002.80,27.9
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1006.10,08-31-2019,13:00:00,67,180,0.00,10.00,0.01,29.65,30.8,3.7,998.20,23.9
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1004.16,08-31-2019,13:00:00,74,180,0.00,10.00,0.01,31.84,30.2,9.3,1003.88,25.1
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.47,08-31-2019,13:00:00,80,270,0.00,10.00,0.01,31.46,28.6,14.8,1001.36,24.9
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1005.65,08-31-2019,13:00:00,89,270,3.10,9.00,3.10,32.84,27.6,13.0,998.74,25.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.06,08-31-2019,13:00:00,63,280,0.00,10.00,0.40,30.82,32.5,14.8,998.58,24.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1005.95,08-31-2019,13:00:00,87,240,0.70,8.00,0.70,32.28,27.6,9.3,996.67,25.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.28,08-31-2019,13:00:00,77,140,1.40,14.00,1.40,31.45,29.3,7.4,1004.03,24.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1004.39,08-31-2019,13:00:00,79,200,0.00,11.00,0.01,32.50,29.4,11.1,1003.96,25.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1005.26,08-31-2019,13:00:00,82,000,4.20,8.00,5.40,30.72,27.8,0.0,993.05,24.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1004.90,08-31-2019,13:00:00,86,210,1.00,10.00,1.00,33.86,28.8,9.3,1004.19,26.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.78,08-31-2019,13:00:00,83,230,3.10,8.00,3.10,32.79,28.7,22.2,1003.36,25.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.04,08-31-2019,13:00:00,87,240,0.90,7.00,0.90,32.80,28.0,20.4,1005.52,25.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1005.44,08-31-2019,13:00:00,86,190,0.60,10.00,0.70,31.52,27.5,9.3,1000.30,24.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1005.88,08-31-2019,13:00:00,91,240,3.60,7.00,8.30,34.31,27.9,9.3,1005.47,26.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.04,08-31-2019,13:00:00,90,000,2.10,8.00,8.40,33.21,27.5,0.0,1003.28,25.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.92,08-31-2019,13:00:00,86,000,5.60,10.00,22.30,29.25,26.3,0.0,1006.13,23.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.80,08-31-2019,13:00:00,83,230,0.01,7.00,11.80,33.20,28.9,7.4,1006.34,25.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1006.90,08-31-2019,13:00:00,69,200,0.00,8.00,10.60,28.50,29.5,3.7,1006.23,23.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.93,08-31-2019,13:00:00,74,250,0.00,8.00,15.80,29.74,29.0,5.6,1005.41,23.9
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.08,08-31-2019,13:00:00,84,190,0.20,10.00,55.60,30.97,27.5,3.7,1007.17,24.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.13,08-31-2019,13:00:00,58,310,0.00,10.00,1.00,29.58,33.3,11.1,1006.46,23.9
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.65,08-31-2019,13:00:00,92,270,0.30,10.00,3.40,33.78,27.5,7.4,1006.85,26.1
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1005.94,08-31-2019,13:00:00,54,230,0.00,12.00,2.20,27.67,33.2,9.3,1005.32,22.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1006.37,08-31-2019,13:00:00,52,240,0.00,10.00,0.50,29.05,35.0,14.8,1005.98,23.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.85,08-31-2019,13:00:00,57,250,0.00,6.00,0.30,26.32,31.5,11.1,1004.69,21.9
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.33,08-31-2019,13:00:00,52,210,0.00,10.00,5.10,25.49,32.5,11.1,1005.75,21.4
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.75,08-31-2019,13:00:00,57,000,0.00,10.00,1.40,26.32,31.5,0.0,1004.32,21.9
