WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,VaporPressure,Rainfall,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,LandVisibility,StationPressure,Rainfall24Hr,WindDirection,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-26-2019,04:00:00,23.6,26.58,0.00,0.0,1015.49,91,7.00,984.07,0.00,000,22.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-26-2019,04:00:00,16.0,15.84,0.00,14.8,1014.09,87,8.00,850.29,0.00,120,13.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-26-2019,04:00:00,21.5,22.82,0.00,0.0,1016.44,89,10.00,971.81,0.00,000,19.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-26-2019,04:00:00,20.7,23.93,0.00,0.0,1016.75,98,10.00,970.04,0.00,000,20.4
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-26-2019,04:00:00,20.0,22.02,0.00,0.0,1016.93,94,5.00,978.21,0.00,000,19.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-26-2019,04:00:00,21.2,23.98,0.00,0.0,1016.86,95,6.00,970.67,0.00,000,20.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-26-2019,04:00:00,21.8,25.14,0.00,0.0,1016.52,96,6.00,989.16,0.00,000,21.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-26-2019,04:00:00,23.2,26.91,0.00,1.9,1015.08,95,5.00,992.92,0.00,100,22.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-26-2019,04:00:00,23.5,27.66,0.00,0.0,1015.64,96,6.00,991.11,0.00,000,22.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-26-2019,04:00:00,24.0,25.76,0.00,0.0,1015.62,86,9.00,980.58,0.01,000,21.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-26-2019,04:00:00,23.0,26.58,0.00,0.0,1015.71,95,10.00,987.64,0.00,000,22.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-26-2019,04:00:00,23.2,26.91,0.00,0.0,1016.23,95,10.00,982.04,0.00,000,22.3
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-26-2019,04:00:00,23.5,26.42,0.00,0.0,1015.12,91,3.00,996.28,0.00,000,22.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-26-2019,04:00:00,23.1,26.50,0.00,0.0,1015.91,94,10.00,992.64,0.00,000,22.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-26-2019,04:00:00,21.4,24.29,0.00,0.0,1016.07,95,7.00,985.42,0.00,000,20.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-26-2019,04:00:00,23.2,27.41,0.00,0.0,1015.73,96,6.00,979.57,0.00,000,22.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-26-2019,04:00:00,21.0,23.00,0.00,0.0,1015.55,93,4.00,985.06,0.00,000,19.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-26-2019,04:00:00,25.5,26.02,0.00,0.0,1014.08,80,8.00,1006.69,0.00,000,21.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-26-2019,04:00:00,25.0,26.43,0.00,0.0,1014.73,83,5.00,994.56,0.00,000,22.0
48353,LOEI,เลย,เลย,17.45000,101.73333,09-26-2019,04:00:00,21.9,23.41,0.00,0.0,1015.68,89,4.00,986.33,0.00,000,20.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-26-2019,04:00:00,24.0,27.25,0.00,0.0,1015.44,91,7.00,994.91,0.00,000,22.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-26-2019,04:00:00,23.0,25.60,0.00,0.0,1015.27,91,6.00,993.09,0.00,000,21.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-26-2019,04:00:00,24.4,25.43,0.00,3.7,1014.75,83,10.00,994.95,0.00,140,21.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-26-2019,04:00:00,24.0,26.01,0.00,0.0,1015.37,87,10.00,998.33,0.00,000,21.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-26-2019,04:00:00,23.4,26.25,0.00,0.0,1015.74,91,10.00,997.98,0.00,000,21.9
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-26-2019,04:00:00,23.2,25.92,0.00,0.0,1014.14,91,8.00,987.87,0.00,000,21.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-26-2019,04:00:00,25.5,31.79,0.00,0.0,1013.78,97,10.00,1007.93,0.00,000,25.1
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-26-2019,04:00:00,25.5,30.44,0.00,0.0,1012.84,93,5.00,1006.59,0.00,000,24.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-26-2019,04:00:00,23.0,24.87,0.00,0.0,1015.22,89,10.00,998.43,0.00,000,21.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-26-2019,04:00:00,23.1,25.27,0.00,3.7,1012.59,89,10.00,989.86,0.00,150,21.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-26-2019,04:00:00,24.0,28.53,0.00,0.0,1014.92,96,6.00,1000.28,0.00,000,23.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-26-2019,04:00:00,23.5,27.66,0.00,0.0,1014.71,96,7.00,998.02,0.00,000,22.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-26-2019,04:00:00,25.4,30.25,0.00,5.6,1014.04,93,6.00,1008.75,0.00,020,24.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-26-2019,04:00:00,24.0,26.01,0.00,0.0,1013.08,87,10.00,999.67,0.00,000,21.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-26-2019,04:00:00,25.2,28.83,0.00,1.9,1013.73,90,8.00,1004.29,0.00,330,23.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-26-2019,04:00:00,24.5,26.84,0.00,5.6,1014.52,87,8.00,992.50,0.00,360,22.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-26-2019,04:00:00,25.0,26.43,0.00,0.0,1014.18,83,10.00,996.44,0.00,000,22.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-26-2019,04:00:00,24.5,24.37,0.00,0.0,1012.97,79,10.00,996.92,0.00,000,20.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-26-2019,04:00:00,23.8,27.42,0.00,0.0,1013.68,93,5.00,994.47,0.00,000,22.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-26-2019,04:00:00,20.2,21.41,0.00,0.0,1015.07,91,5.00,962.51,0.00,000,18.6
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-26-2019,04:00:00,26.5,33.19,0.00,0.0,1013.38,96,3.00,1009.39,0.00,000,25.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-26-2019,04:00:00,19.0,21.08,0.00,0.0,1015.65,96,2.00,918.97,0.00,000,18.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-26-2019,04:00:00,24.0,26.50,0.00,3.7,1014.48,89,8.00,998.21,0.00,040,22.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-26-2019,04:00:00,25.8,31.82,0.00,0.0,1013.81,96,6.00,1009.74,0.00,000,25.1
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-26-2019,04:00:00,24.2,24.62,0.00,0.0,1014.18,82,5.00,1003.33,0.00,000,20.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-26-2019,04:00:00,26.0,30.57,0.00,0.0,1013.52,91,7.00,1011.57,0.00,000,24.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-26-2019,04:00:00,25.0,26.43,0.00,0.0,1013.90,83,10.00,992.76,0.00,000,22.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-26-2019,04:00:00,23.8,25.92,0.00,7.4,1013.93,88,10.00,995.96,0.00,050,21.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-26-2019,04:00:00,24.1,25.19,0.00,5.6,1013.80,84,10.00,997.37,0.00,070,21.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-26-2019,04:00:00,24.3,25.51,0.00,5.6,1013.14,84,10.00,998.89,0.00,030,21.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-26-2019,04:00:00,24.0,26.01,0.00,0.0,1014.49,87,8.00,999.40,0.00,000,21.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-26-2019,04:00:00,24.8,27.87,0.00,13.0,1013.55,89,10.00,998.68,0.00,050,22.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-26-2019,04:00:00,25.9,30.38,0.00,0.0,1013.79,91,6.00,1010.74,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.3
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-26-2019,04:00:00,24.8,27.61,0.00,0.0,1013.91,88,7.00,1005.85,0.00,000,22.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-26-2019,04:00:00,24.7,28.21,0.00,0.0,1013.22,91,8.00,1012.10,0.00,000,23.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-26-2019,04:00:00,26.2,28.01,0.00,3.7,1013.73,82,8.00,998.91,0.00,110,23.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-26-2019,04:00:00,18.4,20.72,0.00,5.6,1015.05,98,5.00,878.51,0.00,050,18.1
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-26-2019,04:00:00,24.5,28.37,0.00,0.0,1013.84,92,7.00,1007.88,0.00,000,23.2
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-26-2019,04:00:00,26.0,28.70,0.00,5.6,1012.94,85,8.00,1012.13,0.01,360,23.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-26-2019,04:00:00,27.8,28.28,0.00,3.7,1012.44,76,8.00,1011.99,0.00,150,23.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-26-2019,04:00:00,22.5,26.01,0.00,0.0,1014.25,95,4.00,1002.70,0.00,000,21.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-26-2019,04:00:00,26.0,29.50,0.00,0.0,1013.30,88,6.00,1012.28,0.00,000,23.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-26-2019,04:00:00,25.5,27.04,0.00,0.0,1013.45,83,7.00,1011.61,0.00,000,22.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-26-2019,04:00:00,26.0,28.97,0.00,5.6,1012.55,86,8.00,1011.84,0.00,360,23.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-26-2019,04:00:00,26.7,29.72,0.00,0.0,1012.41,85,7.00,1011.70,0.00,000,23.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-26-2019,04:00:00,25.1,25.35,0.00,0.0,1014.33,80,7.00,992.89,0.00,000,21.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-26-2019,04:00:00,24.0,26.25,0.00,0.0,1013.62,88,6.00,996.63,0.00,000,21.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-26-2019,04:00:00,23.7,26.25,0.00,5.6,1014.15,90,7.00,997.43,0.00,040,21.9
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-26-2019,04:00:00,24.4,26.17,0.00,0.0,1014.34,86,6.00,992.14,0.00,000,21.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-26-2019,04:00:00,23.8,24.70,0.00,18.5,1014.06,84,8.00,970.07,0.00,070,20.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-26-2019,04:00:00,24.0,26.01,0.00,3.7,1013.69,87,8.00,992.79,0.00,030,21.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-26-2019,04:00:00,22.9,27.40,0.00,9.3,1015.26,98,5.00,993.99,0.00,020,22.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-26-2019,04:00:00,26.2,29.86,0.00,7.4,1012.74,88,8.00,1012.30,0.00,350,24.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-26-2019,04:00:00,26.2,27.49,0.00,0.0,1012.18,81,6.00,1010.75,0.00,000,22.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-26-2019,04:00:00,25.0,30.32,0.00,0.0,1012.89,96,7.00,1007.90,0.00,000,24.3
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-26-2019,04:00:00,25.0,27.19,0.00,0.0,1013.51,86,6.00,1010.18,0.00,000,22.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-26-2019,04:00:00,24.8,29.42,0.00,3.7,1013.19,94,10.00,1012.07,0.00,010,23.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-26-2019,04:00:00,27.8,28.55,0.00,0.0,1012.57,76,10.00,1012.27,0.00,000,23.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-26-2019,04:00:00,27.8,29.36,0.00,0.0,1012.26,79,10.00,1011.77,0.00,000,23.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-26-2019,04:00:00,26.6,28.47,0.00,7.4,1012.76,82,10.00,1011.34,0.00,010,23.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-26-2019,04:00:00,23.5,28.17,0.00,0.0,1014.47,97,8.00,1006.31,0.00,000,23.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-26-2019,04:00:00,26.6,30.34,0.00,0.0,1012.06,87,10.00,1011.77,0.00,000,24.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-26-2019,04:00:00,26.5,30.43,0.00,0.0,1012.23,88,10.00,1009.07,0.00,000,24.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-26-2019,04:00:00,27.1,28.33,0.00,7.4,1011.95,79,10.00,1004.98,0.00,070,23.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-26-2019,04:00:00,25.7,29.74,0.00,0.0,1012.74,90,8.00,1007.09,0.00,000,23.9
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-26-2019,04:00:00,26.0,28.70,0.00,7.4,1013.63,85,7.00,1012.36,2.30,320,23.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-26-2019,04:00:00,26.7,30.26,0.00,5.6,1012.79,86,11.00,1012.36,0.40,330,24.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-26-2019,04:00:00,24.0,27.25,0.00,0.0,1013.25,91,6.00,1000.80,2.50,000,22.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-26-2019,04:00:00,27.5,28.80,0.00,0.0,1012.46,78,7.00,1011.74,0.00,000,23.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-26-2019,04:00:00,25.4,28.67,0.00,7.4,1012.60,88,5.00,1010.14,0.00,010,23.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-26-2019,04:00:00,26.0,28.44,0.00,0.0,1012.13,85,10.00,1011.61,0.00,000,23.2
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-26-2019,04:00:00,27.0,31.11,0.00,3.7,1012.14,87,6.00,1006.96,0.00,360,24.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-26-2019,04:00:00,25.8,28.87,0.00,0.0,1012.42,87,7.00,1012.00,0.00,000,23.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-26-2019,04:00:00,25.2,29.36,0.00,0.0,1012.38,92,10.00,1009.57,0.00,000,23.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-26-2019,04:00:00,28.8,29.35,0.00,0.0,1010.42,74,10.00,1009.64,0.00,000,23.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-26-2019,04:00:00,25.3,28.75,0.00,5.6,1012.05,89,6.00,1011.59,0.00,100,23.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-26-2019,04:00:00,24.7,30.56,0.00,0.0,1012.47,98,5.00,1011.78,5.90,000,24.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-26-2019,04:00:00,25.0,30.05,0.00,0.0,1012.41,95,8.00,1010.87,1.20,000,24.1
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-26-2019,04:00:00,24.5,28.89,0.00,0.0,1012.16,94,10.00,1011.23,1.00,000,23.5
