WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,RelativeHumidity,StationPressure,VaporPressure,WindDirection,DewPoint,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-07-2019,04:00:00,6.00,92,981.94,25.84,000,21.6,1013.36,23.0,3.20,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,9.3,10-07-2019,04:00:00,8.00,93,851.17,20.44,200,17.9,1013.35,19.0,0.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1.9,10-07-2019,04:00:00,10.00,87,968.88,22.87,280,19.7,1013.30,22.0,0.01,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-07-2019,04:00:00,10.00,95,966.97,24.59,000,20.8,1013.38,21.6,1.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-07-2019,04:00:00,6.00,100,975.05,26.74,000,22.2,1013.35,22.2,0.90,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,10-07-2019,04:00:00,8.00,95,967.35,25.21,000,21.2,1013.25,22.0,2.50,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,10-07-2019,04:00:00,.80,99,985.85,26.99,000,22.3,1013.05,22.5,3.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,10-07-2019,04:00:00,4.00,97,989.09,27.32,000,22.5,1011.18,23.0,3.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-07-2019,04:00:00,5.00,95,986.95,27.24,000,22.5,1011.39,23.4,0.90,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,10-07-2019,04:00:00,10.00,93,977.47,26.09,000,21.8,1012.51,23.0,16.50,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-07-2019,04:00:00,10.00,97,984.90,27.32,000,22.5,1012.89,23.0,0.10,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,10-07-2019,04:00:00,7.00,94,978.18,25.84,000,21.6,1012.30,22.7,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,10-07-2019,04:00:00,3.00,96,992.59,27.66,000,22.8,1011.36,23.5,0.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-07-2019,04:00:00,6.00,95,989.23,26.01,000,21.7,1012.47,22.5,0.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,10-07-2019,04:00:00,7.00,95,981.98,24.29,000,20.6,1012.52,21.4,0.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-07-2019,04:00:00,7.00,93,975.12,25.76,000,21.6,1011.16,22.8,0.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,10-07-2019,04:00:00,5.00,98,981.31,25.93,000,21.7,1011.59,22.0,1.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-07-2019,04:00:00,8.00,87,1003.13,26.84,000,22.3,1010.52,24.5,0.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,10-07-2019,04:00:00,6.00,91,991.15,28.11,000,23.0,1011.29,24.5,5.80,0.80
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,10-07-2019,04:00:00,10.00,91,982.95,26.25,000,21.9,1012.05,23.4,1.60,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,10-07-2019,04:00:00,10.00,89,991.35,27.52,340,22.7,1011.76,24.6,0.10,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,10-07-2019,04:00:00,8.00,94,991.20,25.84,000,21.6,1013.36,22.7,1.20,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,10-07-2019,04:00:00,10.00,91,991.72,26.75,000,22.2,1011.50,23.7,0.01,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,10-07-2019,04:00:00,10.00,91,994.92,25.60,000,21.5,1011.96,23.0,9.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,10-07-2019,04:00:00,10.00,93,994.49,25.13,000,21.2,1012.25,22.4,0.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,10-07-2019,04:00:00,10.00,94,984.59,28.36,000,23.2,1010.68,24.2,0.30,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,3.7,10-07-2019,04:00:00,8.00,98,1004.99,33.04,360,25.7,1010.82,26.0,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,10-07-2019,04:00:00,6.00,94,1003.68,32.04,000,25.2,1009.90,26.2,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-07-2019,04:00:00,8.00,90,995.21,25.44,000,21.4,1011.93,23.2,3.80,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,10-07-2019,04:00:00,8.00,91,986.97,26.42,000,22.0,1009.60,23.5,0.00,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,10-07-2019,04:00:00,6.00,96,996.61,29.41,000,23.8,1011.17,24.5,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-07-2019,04:00:00,8.00,97,994.59,28.17,000,23.0,1011.24,23.5,0.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,10-07-2019,04:00:00,6.00,92,1004.93,30.09,000,24.1,1010.20,25.6,0.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,10-07-2019,04:00:00,10.00,92,996.77,27.34,000,22.6,1010.14,23.9,0.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,10-07-2019,04:00:00,10.00,97,1001.15,30.58,000,24.4,1010.57,25.0,8.70,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.0,10-07-2019,04:00:00,8.00,94,989.74,27.16,000,22.4,1011.77,23.5,0.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,10-07-2019,04:00:00,7.00,91,992.92,26.67,000,22.1,1010.67,23.8,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,10-07-2019,04:00:00,10.00,83,995.05,25.60,000,21.5,1011.07,24.5,0.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,10-07-2019,04:00:00,6.00,96,991.43,27.92,000,22.9,1010.60,23.5,0.01,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-07-2019,04:00:00,5.00,94,960.24,24.12,000,20.5,1012.43,21.6,0.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,10-07-2019,04:00:00,4.00,96,1006.15,33.19,000,25.8,1010.12,26.5,0.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,10-07-2019,04:00:00,5.00,98,915.84,22.91,000,19.7,1011.85,20.0,1.70,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,10-07-2019,04:00:00,5.00,94,995.16,28.36,000,23.2,1011.37,24.2,0.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,10-07-2019,04:00:00,7.00,94,1006.78,29.42,000,23.8,1010.86,24.8,0.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,10-07-2019,04:00:00,6.00,93,1000.65,27.76,000,22.8,1011.48,24.0,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,10-07-2019,04:00:00,6.00,91,1009.26,28.11,000,23.0,1011.21,24.5,0.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,10-07-2019,04:00:00,10.00,87,989.89,25.19,000,21.2,1011.07,23.5,4.40,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,10-07-2019,04:00:00,10.00,96,992.74,28.09,000,23.0,1010.67,23.6,33.80,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,10-07-2019,04:00:00,10.00,97,994.31,29.93,000,24.1,1010.66,24.5,13.70,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,10-07-2019,04:00:00,9.00,88,996.29,27.10,000,22.4,1010.49,24.5,0.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,10-07-2019,04:00:00,7.00,93,996.18,27.76,000,22.8,1011.22,24.0,0.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.4,10-07-2019,04:00:00,6.00,88,996.98,28.59,040,23.3,1011.79,25.5,0.00,0.00
