WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,DewPoint,WindSpeed,AirTemperature,WindDirection,StationPressure,Rainfall24Hr,VaporPressure
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-28-2019,13:00:00,10.00,54,1005.99,22.6,0.0,33.2,000,1005.71,0.00,27.39
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-28-2019,13:00:00,12.00,59,1006.26,23.2,7.4,32.3,130,1003.19,0.00,28.41
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-28-2019,13:00:00,12.00,66,1006.60,23.8,7.4,31.0,240,999.75,0.00,29.48
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-28-2019,13:00:00,8.00,63,1006.40,24.6,13.0,32.7,280,1000.91,0.01,30.94
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-28-2019,13:00:00,10.00,52,1007.47,23.7,11.1,35.0,280,998.40,0.00,29.34
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-28-2019,13:00:00,14.00,54,1006.79,23.3,7.4,34.1,240,1005.55,0.00,28.63
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-28-2019,13:00:00,11.00,66,1006.12,25.3,11.1,32.5,150,1005.70,0.00,32.28
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-28-2019,13:00:00,9.00,57,1006.56,22.0,0.0,31.4,000,994.49,0.00,26.40
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-28-2019,13:00:00,12.00,63,1006.21,24.2,7.4,32.1,270,1005.51,0.00,30.28
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-28-2019,13:00:00,10.00,53,1005.32,23.2,11.1,34.3,200,1002.94,0.00,28.47
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-28-2019,13:00:00,12.00,72,1007.36,24.8,14.8,30.5,250,1006.85,0.00,31.31
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-28-2019,13:00:00,15.00,58,1006.52,23.2,14.8,32.6,250,1001.46,0.00,28.45
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-28-2019,13:00:00,9.00,64,1006.68,24.3,7.4,32.0,230,1006.28,0.00,30.36
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-28-2019,13:00:00,8.00,72,1006.73,25.4,11.1,31.0,200,1004.00,0.00,32.34
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-28-2019,13:00:00,10.00,60,1007.13,22.4,22.2,31.2,270,1006.36,0.00,27.11
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,08-28-2019,13:00:00,8.00,72,1007.33,26.0,7.4,31.7,260,1006.88,0.00,33.53
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,08-28-2019,13:00:00,10.00,69,1008.22,23.8,13.0,30.0,260,1007.55,1.10,29.47
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-28-2019,13:00:00,9.00,66,1008.74,22.8,7.4,29.8,270,1007.23,2.60,27.71
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,2.20,08-28-2019,13:00:00,10.00,81,1009.78,25.2,9.3,28.8,270,1008.87,17.80,32.14
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-28-2019,13:00:00,10.00,65,1008.47,24.5,0.0,31.9,000,1007.79,1.90,30.73
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.01,08-28-2019,13:00:00,10.00,78,1009.18,25.8,9.3,30.0,290,1008.39,1.50,33.17
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-28-2019,13:00:00,10.00,57,1007.39,24.1,5.6,33.9,210,1006.77,2.90,29.95
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-28-2019,13:00:00,10.00,60,1007.59,25.2,11.1,34.2,240,1007.19,4.20,32.07
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-28-2019,13:00:00,7.00,63,1010.35,23.3,3.7,31.3,230,1006.18,3.50,28.68
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-28-2019,13:00:00,12.00,75,1008.58,25.1,0.0,30.1,000,1006.99,1.80,31.93
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1.50,08-28-2019,13:00:00,8.00,82,1008.98,24.6,5.6,28.0,210,1005.51,3.40,30.84
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-28-2019,13:00:00,10.00,61,1008.53,23.8,14.8,32.3,260,1007.20,1.20,29.54
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-28-2019,13:00:00,10.00,75,1009.68,24.5,7.4,29.5,270,1008.80,0.60,30.72
