WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,WindSpeed,StationPressure,DewPoint,Rainfall24Hr,WindDirection,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.0,07-31-2019,22:00:00,1.60,9.3,974.48,24.1,5.10,350,89,1005.35,30.03,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.2,07-31-2019,22:00:00,0.00,7.4,842.85,18.9,7.00,270,98,1003.33,21.79,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.8,07-31-2019,22:00:00,0.00,3.7,960.72,24.6,14.00,150,88,1004.04,31.00,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.2,07-31-2019,22:00:00,0.00,0.0,958.61,23.6,13.20,000,91,1004.06,29.10,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.4,07-31-2019,22:00:00,5.60,0.0,967.94,24.2,57.00,000,99,1005.69,30.28,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.0,07-31-2019,22:00:00,3.80,0.0,960.17,23.3,47.10,000,96,1005.41,28.53,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.4,07-31-2019,22:00:00,10.00,0.0,978.88,24.7,132.10,000,96,1005.62,31.06,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.8,07-31-2019,22:00:00,0.00,5.6,982.73,22.3,0.80,100,68,1004.26,26.93,11.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.0,07-31-2019,22:00:00,0.30,0.0,982.58,24.1,1.80,000,95,1006.78,30.05,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.4,07-31-2019,22:00:00,0.01,0.0,969.95,25.0,12.00,000,87,1004.21,31.61,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.0,07-31-2019,22:00:00,0.00,0.0,977.12,25.4,4.40,000,86,1004.42,32.52,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.1,07-31-2019,22:00:00,0.00,0.0,970.61,25.5,7.50,000,86,1003.85,32.72,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.8,07-31-2019,22:00:00,0.00,0.0,985.81,25.7,17.70,000,94,1004.24,32.94,12.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.0,07-31-2019,22:00:00,26.40,0.0,982.33,24.3,78.50,000,96,1005.21,30.32,6.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.5,07-31-2019,22:00:00,11.70,0.0,975.22,24.8,82.50,000,96,1005.13,31.25,6.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.0,07-31-2019,22:00:00,0.00,0.0,969.11,25.0,2.40,000,89,1004.43,31.66,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.0,07-31-2019,22:00:00,0.00,0.0,974.24,24.0,5.30,000,89,1003.89,29.76,13.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.0,07-31-2019,22:00:00,4.20,0.0,997.02,24.6,10.60,000,92,1004.33,30.84,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.3,07-31-2019,22:00:00,7.80,0.0,984.46,24.9,10.40,000,97,1004.41,31.41,10.00
48353,LOEI,เลย,เลย,17.45000,101.73333,27.2,07-31-2019,22:00:00,0.00,0.0,975.73,23.4,7.70,000,80,1004.25,28.78,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.7,07-31-2019,22:00:00,6.10,1.9,984.57,24.1,46.60,050,97,1004.84,30.03,9.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.0,07-31-2019,22:00:00,4.10,3.7,982.69,22.7,13.50,200,92,1004.56,27.51,6.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.3,07-31-2019,22:00:00,1.40,0.0,984.41,23.7,8.80,000,97,1004.00,29.31,9.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.0,07-31-2019,22:00:00,10.10,0.0,988.47,23.5,11.30,000,92,1005.28,29.00,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.7,07-31-2019,22:00:00,0.50,0.0,987.95,24.0,30.80,000,96,1005.46,29.77,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,27.3,07-31-2019,22:00:00,0.00,0.0,977.89,24.3,13.70,000,84,1003.53,30.31,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,29.2,07-31-2019,22:00:00,0.00,5.6,998.90,23.5,0.00,260,72,1004.63,29.02,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.5,07-31-2019,22:00:00,0.00,0.0,998.37,24.5,0.00,000,75,1004.50,30.72,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.0,07-31-2019,22:00:00,4.30,0.0,989.24,24.5,8.90,000,87,1005.65,30.83,6.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.0,07-31-2019,22:00:00,7.40,5.6,983.30,23.3,10.60,240,96,1005.81,28.53,6.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.2,07-31-2019,22:00:00,0.00,14.8,991.60,22.0,0.00,260,69,1005.91,26.37,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.8,07-31-2019,22:00:00,0.00,11.1,988.08,22.5,0.00,270,69,1004.32,27.20,10.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,28.0,07-31-2019,22:00:00,0.00,0.0,999.99,25.1,2.40,000,85,1005.19,31.95,10.00
