WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,RelativeHumidity,StationPressure,LandVisibility,Rainfall,AirTemperature,WindDirection,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.46,10-06-2019,13:00:00,23.8,74,979.69,10.00,0.00,29.0,000,0.0,1010.40,1.10
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,23.55,10-06-2019,13:00:00,20.1,88,850.56,8.00,0.00,22.3,200,9.3,1010.70,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.29,10-06-2019,13:00:00,21.3,57,967.54,10.00,0.00,30.8,120,5.6,1010.58,0.01
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,26.23,10-06-2019,13:00:00,21.9,56,965.69,15.00,0.00,31.6,040,11.1,1010.50,1.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.80,10-06-2019,13:00:00,24.0,86,973.60,8.00,0.90,26.6,150,5.6,1011.28,0.90
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.54,10-06-2019,13:00:00,22.1,64,965.55,10.00,0.00,29.6,180,9.3,1010.19,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.13,10-06-2019,13:00:00,23.6,56,984.67,12.00,0.00,33.5,180,5.6,1010.85,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.56,10-06-2019,13:00:00,24.9,71,988.76,10.00,0.10,30.9,030,3.7,1010.26,0.10
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.22,10-06-2019,13:00:00,23.7,68,986.37,10.00,0.00,30.3,000,0.0,1010.24,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.91,10-06-2019,13:00:00,21.7,54,976.08,12.00,0.00,32.0,150,3.7,1010.03,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.95,10-06-2019,13:00:00,22.9,64,983.03,10.00,0.10,30.5,000,0.0,1010.27,0.10
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.07,10-06-2019,13:00:00,21.8,55,976.89,15.00,0.00,31.8,000,0.0,1009.93,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.25,10-06-2019,13:00:00,23.7,58,991.48,8.00,0.00,33.0,360,1.9,1009.64,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.55,10-06-2019,13:00:00,22.7,58,988.09,10.00,0.00,32.0,000,0.0,1010.58,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.65,10-06-2019,13:00:00,22.1,59,981.08,12.00,0.00,31.1,180,5.6,1010.61,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.92,10-06-2019,13:00:00,23.5,64,974.81,8.00,0.00,31.0,000,0.0,1009.85,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,27.55,10-06-2019,13:00:00,22.7,58,980.66,15.00,0.00,32.0,140,5.6,1009.92,1.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.43,10-06-2019,13:00:00,22.6,53,1002.59,10.00,0.00,33.5,000,0.0,1009.76,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.34,10-06-2019,13:00:00,22.6,53,990.84,8.00,0.00,33.6,170,5.6,1010.37,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,25.02,10-06-2019,13:00:00,21.1,52,982.62,12.00,0.00,32.1,160,5.6,1010.87,8.60
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.94,10-06-2019,13:00:00,22.3,55,990.89,15.00,0.00,32.4,060,5.6,1010.76,17.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.13,10-06-2019,13:00:00,23.0,58,990.07,12.00,0.00,32.3,140,11.1,1011.50,5.30
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.40,10-06-2019,13:00:00,20.7,51,991.00,15.00,0.00,32.2,160,18.5,1010.21,0.01
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.58,10-06-2019,13:00:00,20.1,46,993.68,13.00,0.00,33.2,050,3.7,1010.13,1.40
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.68,10-06-2019,13:00:00,20.2,46,993.13,12.00,0.00,33.4,040,3.7,1010.23,4.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.23,10-06-2019,13:00:00,21.9,56,984.08,12.00,0.00,31.6,340,7.4,1009.52,2.50
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.32,10-06-2019,13:00:00,26.4,71,1004.97,8.00,0.00,32.2,000,0.0,1010.68,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.37,10-06-2019,13:00:00,24.3,59,1003.82,8.00,0.00,33.4,000,0.0,1009.90,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.91,10-06-2019,13:00:00,20.4,48,994.45,12.00,0.00,32.8,030,5.6,1010.63,3.80
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.21,10-06-2019,13:00:00,22.5,59,986.17,10.00,0.00,31.4,000,0.0,1008.20,3.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.53,10-06-2019,13:00:00,24.4,60,996.58,7.00,0.00,33.2,000,0.0,1010.73,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.66,10-06-2019,13:00:00,23.9,61,993.73,8.00,0.00,32.5,000,0.0,1009.86,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.97,10-06-2019,13:00:00,22.9,57,1005.37,9.00,0.00,32.5,270,7.4,1010.52,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.07,10-06-2019,13:00:00,20.5,49,995.71,12.00,0.00,32.6,000,0.0,1008.68,0.40
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.19,10-06-2019,13:00:00,23.6,62,1000.91,10.00,0.00,31.7,340,3.7,1010.12,12.30
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.25,10-06-2019,13:00:00,19.9,49,989.40,10.00,0.00,32.0,060,7.4,1010.81,4.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,31.48,10-06-2019,13:00:00,24.9,73,993.20,12.00,0.00,30.3,040,7.4,1010.57,7.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.84,10-06-2019,13:00:00,22.9,55,994.20,12.00,0.00,33.0,090,9.3,1009.76,11.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,32.63,10-06-2019,13:00:00,25.5,73,991.33,10.00,0.00,31.0,000,0.0,1010.02,7.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.96,10-06-2019,13:00:00,19.0,46,958.35,11.00,0.00,32.0,000,0.0,1008.62,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.20,10-06-2019,13:00:00,24.2,60,1006.00,8.00,0.00,32.9,000,0.0,1009.89,0.10
