WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,RelativeHumidity,StationPressure,WindDirection,Rainfall24Hr,LandVisibility,WindSpeed,DewPoint,AirTemperature,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-19-2019,16:00:00,28.50,59,976.29,000,9.70,15.00,0.0,23.2,32.2,1006.57
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-19-2019,16:00:00,23.35,96,846.44,120,26.60,8.00,9.3,20.0,20.6,1006.79
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-19-2019,16:00:00,28.97,66,964.44,180,1.10,10.00,18.5,23.5,30.6,1007.38
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-19-2019,16:00:00,27.55,65,962.75,000,3.00,15.00,0.0,22.7,30.0,1007.66
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.90,09-19-2019,16:00:00,30.43,88,970.51,000,12.60,8.00,0.0,24.3,26.5,1008.08
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,4.00,09-19-2019,16:00:00,28.59,88,963.85,000,12.40,10.00,0.0,23.3,25.5,1009.03
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-19-2019,16:00:00,30.90,79,982.41,360,23.70,10.00,3.7,24.6,28.6,1008.97
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.00,09-19-2019,16:00:00,30.20,84,986.16,210,9.90,10.00,11.1,24.2,27.1,1007.88
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-19-2019,16:00:00,33.01,74,983.01,000,1.80,10.00,0.0,25.7,30.9,1006.74
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-19-2019,16:00:00,28.10,59,972.93,180,85.10,10.00,3.7,23.0,32.0,1006.77
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,19.20,09-19-2019,16:00:00,30.34,87,981.39,000,76.10,10.00,0.0,24.3,26.6,1008.94
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-19-2019,16:00:00,30.08,63,974.17,000,18.90,12.00,0.0,24.1,32.0,1007.10
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,4.10,09-19-2019,16:00:00,33.34,76,989.22,000,6.40,8.00,0.0,25.9,30.5,1007.50
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-19-2019,16:00:00,31.19,69,985.67,000,28.50,10.00,0.0,24.7,31.0,1008.18
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-19-2019,16:00:00,28.75,67,978.53,000,10.40,10.00,0.0,23.4,30.2,1008.07
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-19-2019,16:00:00,31.69,79,973.79,000,19.00,8.00,0.0,25.0,29.0,1009.03
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-19-2019,16:00:00,32.34,72,977.36,000,0.00,15.00,0.0,25.4,31.0,1006.61
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.01,09-19-2019,16:00:00,31.16,76,1000.29,000,0.01,8.00,0.0,24.7,29.3,1007.54
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.20,09-19-2019,16:00:00,31.68,67,987.30,090,3.20,10.00,11.1,25.0,31.8,1006.87
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-19-2019,16:00:00,27.63,62,978.85,360,0.20,15.00,5.6,22.7,30.9,1007.10
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,5.90,09-19-2019,16:00:00,30.12,65,987.51,050,6.00,10.00,3.7,24.2,31.6,1007.38
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,9.30,09-19-2019,16:00:00,29.58,89,986.57,000,9.70,10.00,0.0,23.9,25.9,1008.39
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,6.60,09-19-2019,16:00:00,30.89,89,988.46,140,6.60,15.00,3.7,24.6,26.6,1007.98
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,14.90,09-19-2019,16:00:00,30.62,78,991.28,000,14.90,12.00,0.0,24.4,28.6,1007.94
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.50,09-19-2019,16:00:00,32.55,72,990.94,000,0.60,12.00,0.0,25.5,31.1,1008.13
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,6.80,09-19-2019,16:00:00,30.84,92,981.35,000,6.80,10.00,0.0,24.6,26.0,1007.20
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,4.70,09-19-2019,16:00:00,35.65,86,1001.06,300,7.30,10.00,7.4,27.0,29.5,1006.80
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-19-2019,16:00:00,33.17,78,1001.00,000,10.10,12.00,0.0,25.8,30.0,1007.13
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-19-2019,16:00:00,27.93,61,990.76,000,0.50,12.00,0.0,22.9,31.2,1006.97
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-19-2019,16:00:00,25.93,51,982.32,100,17.20,10.00,11.1,21.7,33.3,1004.11
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.00,09-19-2019,16:00:00,31.72,72,993.50,000,35.50,6.00,0.0,25.0,30.7,1007.72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-19-2019,16:00:00,32.34,72,990.78,000,11.20,8.00,0.0,25.4,31.0,1006.94
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-19-2019,16:00:00,29.25,58,1001.55,060,25.40,10.00,9.3,23.7,33.0,1006.67
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-19-2019,16:00:00,28.55,53,992.13,020,0.40,12.00,5.6,23.3,34.2,1004.99
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,2.50,09-19-2019,16:00:00,34.84,77,997.88,210,54.40,10.00,3.7,26.6,31.2,1007.07
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-19-2019,16:00:00,29.99,63,985.24,030,0.00,10.00,7.4,24.1,32.1,1006.55
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-19-2019,16:00:00,32.58,67,989.43,000,0.00,12.00,0.0,25.5,32.5,1006.61
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.50,09-19-2019,16:00:00,31.28,84,991.43,010,2.60,12.00,3.7,24.8,27.8,1007.22
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-19-2019,16:00:00,33.06,66,987.29,020,0.01,10.00,3.7,25.7,33.0,1005.79
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1.20,09-19-2019,16:00:00,28.80,69,960.37,000,7.30,10.00,0.0,23.4,29.8,1011.12
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-19-2019,16:00:00,30.90,61,1002.50,350,5.00,10.00,7.4,24.6,33.1,1006.38
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-19-2019,16:00:00,24.78,73,913.17,050,9.80,9.00,7.4,20.9,26.1,1006.87
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-19-2019,16:00:00,31.76,71,991.26,080,0.00,10.00,11.1,25.0,31.0,1007.04
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-19-2019,16:00:00,31.92,62,1002.56,000,11.00,10.00,0.0,25.1,33.3,1006.51
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-19-2019,16:00:00,32.81,71,996.98,340,7.80,10.00,9.3,25.6,31.5,1007.50
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,4.50,09-19-2019,16:00:00,32.13,78,1005.22,000,13.50,12.00,0.0,25.2,29.5,1007.14
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.40,09-19-2019,16:00:00,30.86,67,985.88,150,0.40,10.00,11.1,24.6,31.4,1006.42
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-19-2019,16:00:00,30.05,67,988.96,100,0.00,11.00,3.7,24.1,31.0,1006.38
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-19-2019,16:00:00,31.06,67,990.32,100,0.00,10.00,3.7,24.7,31.5,1006.23
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-19-2019,16:00:00,29.31,62,992.73,000,0.00,10.00,0.0,23.7,31.9,1006.53
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-19-2019,16:00:00,30.78,69,992.22,000,0.00,10.00,0.0,24.5,30.8,1006.86
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-19-2019,16:00:00,34.98,76,992.52,220,1.20,10.00,13.0,26.7,31.4,1006.98
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-19-2019,16:00:00,32.30,73,1003.53,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.00,10.00,0.0,25.3,30.7,1006.51
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-19-2019,16:00:00,27.59,54,998.00,040,7.30,10.00,9.3,22.7,33.3,1005.78
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.10,09-19-2019,16:00:00,33.66,86,1005.86,000,3.00,6.00,0.0,26.0,28.7,1006.96
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-19-2019,16:00:00,34.90,76,992.31,000,1.80,8.00,0.0,26.6,31.5,1006.78
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1.00,09-19-2019,16:00:00,23.64,90,873.04,000,1.60,7.00,0.0,20.2,21.9,1007.03
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-19-2019,16:00:00,33.17,78,1000.71,000,9.80,10.00,0.0,25.8,30.0,1006.53
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-19-2019,16:00:00,33.34,76,1006.16,050,49.00,8.00,9.3,25.9,30.5,1006.95
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-19-2019,16:00:00,31.23,71,1006.12,120,24.70,10.00,3.7,24.8,30.6,1006.56
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.30,09-19-2019,16:00:00,34.21,82,995.49,000,0.30,10.00,0.0,26.3,29.8,1006.68
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-19-2019,16:00:00,33.43,74,1005.81,000,8.90,12.00,0.0,25.9,31.1,1006.81
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-19-2019,16:00:00,33.05,76,1005.11,160,8.60,7.00,3.7,25.7,30.5,1006.91
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-19-2019,16:00:00,30.28,66,1005.84,000,0.20,10.00,0.0,24.3,31.4,1006.59
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-19-2019,16:00:00,29.45,67,1006.04,050,7.00,10.00,7.4,23.8,30.7,1006.74
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-19-2019,16:00:00,31.85,77,1007.45,000,38.30,7.00,0.0,25.1,29.5,1008.15
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,3.60,09-19-2019,16:00:00,30.53,82,986.06,270,3.80,10.00,3.7,24.4,27.7,1007.17
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,4.80,09-19-2019,16:00:00,30.02,84,990.60,000,13.30,7.00,0.0,24.1,27.0,1007.32
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,2.20,09-19-2019,16:00:00,32.35,85,991.45,080,15.10,8.00,9.3,25.4,28.2,1007.82
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,3.30,09-19-2019,16:00:00,31.46,80,985.34,000,3.30,10.00,0.0,24.9,28.6,1007.08
