WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,AirTemperature,Rainfall24Hr,WindDirection,WindSpeed,VaporPressure,RelativeHumidity,DewPoint,LandVisibility,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.59,08-20-2019,22:00:00,0.30,27.7,0.30,000,0.0,32.20,87,25.3,10.00,1004.25
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,843.09,08-20-2019,22:00:00,12.20,19.0,12.20,000,0.0,21.73,99,18.8,6.00,1003.73
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.71,08-20-2019,22:00:00,4.40,24.8,4.40,000,0.0,28.64,92,23.3,10.00,1005.37
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,960.04,08-20-2019,22:00:00,3.00,25.5,4.80,000,0.0,29.91,92,24.0,6.00,1005.51
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.79,08-20-2019,22:00:00,0.20,25.0,0.80,000,0.0,30.32,96,24.3,6.00,1005.45
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.24,08-20-2019,22:00:00,0.80,26.0,0.80,000,0.0,31.65,94,25.0,8.00,1004.13
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.79,08-20-2019,22:00:00,0.70,26.8,0.70,180,3.7,31.55,90,24.9,8.00,1005.41
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,982.85,08-20-2019,22:00:00,0.30,25.8,0.30,090,3.7,30.19,91,24.2,15.00,1004.60
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,981.47,08-20-2019,22:00:00,0.00,26.0,0.70,000,0.0,30.84,92,24.6,8.00,1005.56
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,970.19,08-20-2019,22:00:00,0.10,26.6,0.30,000,0.0,30.34,87,24.3,10.00,1004.55
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.94,08-20-2019,22:00:00,38.20,25.0,38.20,000,0.0,30.32,96,24.3,10.00,1005.55
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,970.60,08-20-2019,22:00:00,1.20,26.3,2.80,000,0.0,30.86,90,24.6,10.00,1004.04
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,985.27,08-20-2019,22:00:00,0.00,28.5,0.00,270,5.6,32.10,83,25.2,10.00,1003.59
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.03,08-20-2019,22:00:00,22.80,25.8,22.80,330,9.3,31.00,93,24.6,5.00,1004.84
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.22,08-20-2019,22:00:00,19.10,25.5,19.10,000,0.0,29.64,91,23.9,6.00,1005.13
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,968.98,08-20-2019,22:00:00,27.20,24.5,27.20,000,0.0,29.41,96,23.8,4.00,1004.58
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.76,08-20-2019,22:00:00,0.40,24.0,5.00,000,0.0,29.56,99,23.8,10.00,1004.62
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,997.28,08-20-2019,22:00:00,0.00,29.2,0.00,180,11.1,32.38,80,25.4,7.00,1004.52
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,984.69,08-20-2019,22:00:00,0.00,28.2,3.60,110,5.6,34.94,91,26.7,12.00,1004.45
48353,LOEI,เลย,เลย,17.45000,101.73333,976.03,08-20-2019,22:00:00,0.60,24.7,16.60,000,0.0,29.25,94,23.7,10.00,1004.80
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,984.70,08-20-2019,22:00:00,0.00,28.3,0.30,000,0.0,31.70,82,25.0,12.00,1004.73
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.80,08-20-2019,22:00:00,0.00,25.0,18.70,000,0.0,30.05,95,24.1,10.00,1005.62
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,985.80,08-20-2019,22:00:00,0.00,24.9,24.30,000,0.0,30.40,97,24.3,10.00,1005.38
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,989.31,08-20-2019,22:00:00,0.00,27.2,13.60,000,0.0,28.51,79,23.2,10.00,1006.02
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,989.30,08-20-2019,22:00:00,0.00,24.0,23.00,000,0.0,27.25,91,22.5,10.00,1006.86
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,978.88,08-20-2019,22:00:00,0.00,26.4,0.01,000,0.0,31.05,90,24.7,9.00,1004.63
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,998.53,08-20-2019,22:00:00,0.00,28.0,0.60,000,0.0,34.81,92,26.6,10.00,1004.29
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,998.91,08-20-2019,22:00:00,0.00,28.0,0.00,000,0.0,31.95,85,25.1,10.00,1005.07
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.74,08-20-2019,22:00:00,4.00,25.0,4.00,000,0.0,29.52,93,23.8,8.00,1006.27
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,982.90,08-20-2019,22:00:00,0.50,25.0,0.50,000,0.0,28.74,91,23.4,10.00,1005.32
48376,TAK,ตาก,ตาก,16.87833,99.14333,991.07,08-20-2019,22:00:00,0.01,29.8,0.30,260,11.1,27.17,65,22.5,10.00,1005.30
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,988.31,08-20-2019,22:00:00,0.00,27.5,3.00,120,7.4,29.60,81,23.9,7.00,1004.62
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,999.89,08-20-2019,22:00:00,0.00,26.7,0.00,160,7.4,30.26,86,24.2,10.00,1005.11
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,990.88,08-20-2019,22:00:00,3.70,25.2,4.50,000,0.0,30.42,95,24.3,10.00,1004.12
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,995.52,08-20-2019,22:00:00,0.00,27.0,0.00,180,3.7,31.94,90,25.1,11.00,1004.82
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,983.33,08-20-2019,22:00:00,0.00,27.5,0.00,000,0.0,31.25,85,24.8,8.00,1004.93
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.47,08-20-2019,22:00:00,0.00,27.5,0.00,000,0.0,29.60,81,23.9,12.00,1004.90
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,990.02,08-20-2019,22:00:00,0.00,25.0,1.40,000,0.0,30.32,96,24.3,10.00,1005.94
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,985.20,08-20-2019,22:00:00,0.00,28.2,0.00,200,5.6,30.40,80,24.3,8.00,1003.95
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,957.41,08-20-2019,22:00:00,4.80,23.0,24.20,000,0.0,26.09,93,21.8,7.00,1009.19
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.48,08-20-2019,22:00:00,0.10,25.9,0.10,130,14.8,30.65,92,24.4,8.00,1005.44
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.06,08-20-2019,22:00:00,0.00,21.7,0.20,200,14.8,24.75,95,20.9,4.00,1007.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,989.57,08-20-2019,22:00:00,33.90,25.4,33.90,000,0.0,31.87,98,25.1,8.00,1005.62
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.13,08-20-2019,22:00:00,2.30,25.8,50.60,170,3.7,32.09,97,25.2,8.00,1006.18
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,996.49,08-20-2019,22:00:00,1.20,25.8,1.70,000,0.0,30.46,92,24.3,5.00,1007.21
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.08,08-20-2019,22:00:00,0.00,27.0,3.40,000,0.0,30.02,84,24.1,8.00,1007.01
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.82,08-20-2019,22:00:00,0.60,25.0,8.40,240,7.4,29.00,92,23.5,10.00,1005.79
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,987.86,08-20-2019,22:00:00,2.90,25.5,2.90,220,7.4,30.98,95,24.6,10.00,1005.58
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.01,08-20-2019,22:00:00,2.80,25.8,2.80,190,5.6,31.82,96,25.1,10.00,1005.21
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.69,08-20-2019,22:00:00,0.00,25.4,33.40,180,5.6,30.79,95,24.5,10.00,1006.79
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,992.16,08-20-2019,22:00:00,0.00,25.0,54.00,160,3.7,30.32,96,24.3,9.00,1007.09
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,992.39,08-20-2019,22:00:00,0.00,26.5,2.70,260,9.3,29.35,85,23.7,10.00,1007.09
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.85,08-20-2019,22:00:00,3.30,26.5,33.70,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,32.63,94,25.5,8.00,1005.87
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,998.17,08-20-2019,22:00:00,44.30,24.0,48.30,120,5.6,28.53,96,23.3,6.00,1006.19
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.21,08-20-2019,22:00:00,0.00,25.8,13.10,000,0.0,30.73,93,24.5,6.00,1007.32
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,993.10,08-20-2019,22:00:00,1.20,26.0,1.20,000,0.0,28.18,84,23.1,8.00,1007.85
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.89,08-20-2019,22:00:00,4.20,19.5,72.00,270,9.3,22.42,99,19.3,.10,1008.01
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.75,08-20-2019,22:00:00,14.10,25.5,14.60,000,0.0,31.25,96,24.8,6.00,1006.66
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.32,08-20-2019,22:00:00,1.50,25.7,3.30,000,0.0,31.63,96,25.0,8.00,1007.13
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.16,08-20-2019,22:00:00,0.00,27.4,21.90,230,7.4,31.61,87,25.0,10.00,1006.61
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,996.99,08-20-2019,22:00:00,3.00,24.8,20.50,000,0.0,29.69,95,23.9,3.00,1008.38
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.88,08-20-2019,22:00:00,0.00,27.5,13.10,000,0.0,34.64,94,26.5,10.00,1006.89
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.19,08-20-2019,22:00:00,0.60,26.0,1.80,140,3.7,31.11,93,24.7,8.00,1007.02
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.93,08-20-2019,22:00:00,0.00,27.4,0.00,000,0.0,28.35,78,23.2,5.00,1006.70
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.35,08-20-2019,22:00:00,0.01,26.7,2.40,160,5.6,32.18,92,25.3,9.00,1007.05
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.66,08-20-2019,22:00:00,0.40,25.4,91.10,000,0.0,30.25,93,24.2,7.00,1006.36
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,985.58,08-20-2019,22:00:00,3.50,24.8,3.50,300,13.0,28.64,92,23.3,8.00,1006.88
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,990.35,08-20-2019,22:00:00,7.40,24.6,8.20,000,0.0,29.33,95,23.7,5.00,1007.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,990.58,08-20-2019,22:00:00,14.20,25.0,16.30,000,0.0,30.32,96,24.3,3.00,1007.12
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,984.88,08-20-2019,22:00:00,0.00,25.0,16.40,000,0.0,29.00,92,23.5,10.00,1006.88
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.46,08-20-2019,22:00:00,9.60,23.7,19.00,000,0.0,28.26,96,23.1,6.00,1007.17
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.89,08-20-2019,22:00:00,0.40,26.0,0.60,230,7.4,28.18,84,23.1,10.00,1006.50
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,986.72,08-20-2019,22:00:00,22.60,24.3,30.60,210,16.7,30.36,100,24.3,6.00,1007.74
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.82,08-20-2019,22:00:00,0.20,28.1,1.50,250,11.1,31.87,84,25.1,10.00,1007.26
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.26,08-20-2019,22:00:00,5.00,24.8,22.20,000,0.0,30.22,97,24.2,6.00,1006.69
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.74,08-20-2019,22:00:00,4.60,25.2,50.60,000,0.0,31.49,98,24.9,7.00,1006.70
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1003.83,08-20-2019,22:00:00,0.00,27.9,0.01,000,0.0,28.47,76,23.2,10.00,1007.11
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.95,08-20-2019,22:00:00,0.00,27.0,9.50,000,0.0,33.34,94,25.9,10.00,1007.06
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.97,08-20-2019,22:00:00,0.20,27.0,12.60,000,0.0,32.77,92,25.6,9.00,1007.27
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.00,08-20-2019,22:00:00,0.00,26.5,11.50,000,0.0,33.75,98,26.1,10.00,1007.49
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.01,08-20-2019,22:00:00,0.00,26.0,2.20,150,11.1,32.76,98,25.6,10.00,1007.42
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1000.88,08-20-2019,22:00:00,0.70,25.2,4.10,000,0.0,31.49,98,24.9,10.00,1008.95
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.62,08-20-2019,22:00:00,0.00,28.5,9.30,000,0.0,31.54,81,24.9,10.00,1006.91
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.77,08-20-2019,22:00:00,0.20,26.5,7.20,000,0.0,31.79,92,25.1,10.00,1006.91
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.84,08-20-2019,22:00:00,0.00,26.4,7.70,000,0.0,32.15,93,25.3,10.00,1006.79
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1002.50,08-20-2019,22:00:00,0.40,26.2,3.20,280,5.6,31.49,93,24.9,9.00,1008.12
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.73,08-20-2019,22:00:00,0.00,26.2,5.40,000,0.0,33.15,98,25.8,10.00,1008.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.99,08-20-2019,22:00:00,0.00,27.2,32.20,000,0.0,31.49,87,24.9,11.00,1007.42
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.29,08-20-2019,22:00:00,0.00,26.4,0.00,000,0.0,28.64,83,23.3,10.00,1007.58
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.58,08-20-2019,22:00:00,0.01,27.6,11.90,000,0.0,29.25,79,23.7,10.00,1007.29
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.65,08-20-2019,22:00:00,0.00,27.1,0.00,000,0.0,29.39,82,23.8,10.00,1007.17
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.89,08-20-2019,22:00:00,0.00,26.8,6.80,060,1.9,29.64,84,23.9,11.00,1007.05
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.28,08-20-2019,22:00:00,0.10,27.2,27.90,000,0.0,29.85,83,24.0,7.00,1007.69
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.17,08-20-2019,22:00:00,0.01,27.0,21.60,000,0.0,34.19,96,26.3,8.00,1007.94
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.77,08-20-2019,22:00:00,0.00,28.8,0.20,000,0.0,28.00,71,22.9,10.00,1008.55
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.76,08-20-2019,22:00:00,23.20,25.9,28.30,000,0.0,31.74,95,25.0,7.00,1008.22
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.39,08-20-2019,22:00:00,0.00,27.4,0.00,280,7.4,28.08,77,23.0,10.00,1009.07
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.32,08-20-2019,22:00:00,0.00,28.2,0.00,260,3.7,29.57,77,23.9,10.00,1008.84
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.65,08-20-2019,22:00:00,0.00,28.2,0.00,290,7.4,30.40,80,24.3,10.00,1009.56
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.03,08-20-2019,22:00:00,0.00,29.5,0.00,000,0.0,30.72,75,24.5,10.00,1008.71
