WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,WindDirection,StationPressure,DewPoint
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-02-2019,10:00:00,5.6,31.8,66,30.81,0.00,1011.33,10.00,220,995.36,24.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-02-2019,10:00:00,0.0,31.1,65,29.40,0.00,1012.08,9.00,000,998.17,23.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-02-2019,10:00:00,0.0,31.2,68,30.73,0.00,1012.69,9.00,000,997.99,24.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-02-2019,10:00:00,3.7,31.5,78,36.12,0.00,1012.24,10.00,250,997.71,27.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-02-2019,10:00:00,0.0,30.7,75,33.17,0.00,1011.42,6.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.42,25.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-02-2019,10:00:00,0.0,30.8,75,33.09,0.00,1011.73,8.00,000,1003.85,25.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-02-2019,10:00:00,5.6,31.5,74,34.00,0.00,1011.99,8.00,090,1010.89,26.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-02-2019,10:00:00,0.0,31.2,56,25.22,0.00,1012.42,8.00,000,997.86,21.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.01,10-02-2019,10:00:00,3.7,24.4,76,23.25,0.00,1010.93,6.00,050,877.45,19.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-02-2019,10:00:00,0.0,31.6,73,33.91,0.00,1011.84,7.00,000,1006.02,26.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-02-2019,10:00:00,5.6,32.2,66,31.94,0.00,1011.98,8.00,140,1011.19,25.1
