WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,LandVisibility,AirTemperature,MeanSeaLevelPressure,WindSpeed,Rainfall,RelativeHumidity,DewPoint,VaporPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-20-2019,16:00:00,970.41,15.00,33.2,1000.41,3.7,0.00,61,24.7,31.11,180
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-20-2019,16:00:00,841.04,10.00,27.6,996.42,7.4,0.00,66,20.6,24.30,300
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-20-2019,16:00:00,957.25,10.00,33.3,999.49,3.7,0.00,59,24.2,30.16,210
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1.80,08-20-2019,16:00:00,955.16,15.00,31.0,999.57,0.0,1.80,66,23.8,29.48,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-20-2019,16:00:00,964.05,12.00,30.8,1000.84,13.0,0.00,73,25.4,32.51,180
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-20-2019,16:00:00,955.82,12.00,32.0,999.66,13.0,0.00,60,23.3,28.66,200
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-20-2019,16:00:00,974.91,12.00,31.3,1001.03,5.6,0.00,75,26.4,34.46,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-20-2019,16:00:00,980.42,17.00,32.5,1001.63,11.1,0.00,59,23.4,28.81,210
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,42.90,08-20-2019,16:00:00,978.72,10.00,32.0,1002.26,0.0,0.00,66,24.9,31.52,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,08-20-2019,16:00:00,966.94,10.00,32.8,1000.48,7.4,0.00,56,23.0,28.00,250
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-20-2019,16:00:00,974.15,10.00,33.6,1000.87,0.0,0.00,58,24.2,30.20,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-20-2019,16:00:00,967.36,12.00,34.4,999.80,5.6,0.00,51,22.8,27.81,240
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.00,08-20-2019,16:00:00,983.00,15.00,33.6,1000.97,5.6,0.00,59,24.5,30.78,260
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-20-2019,16:00:00,978.87,10.00,32.7,1001.09,0.0,0.00,67,25.7,33.01,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-20-2019,16:00:00,971.65,12.00,31.6,1000.84,0.0,0.00,74,26.4,34.51,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.01,08-20-2019,16:00:00,966.40,8.00,31.7,1001.07,0.0,0.00,68,25.0,31.77,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-20-2019,16:00:00,972.43,15.00,31.0,1001.53,14.8,0.00,73,25.7,32.93,320
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.90,08-20-2019,16:00:00,995.37,7.00,33.5,1002.49,5.6,0.00,61,25.0,31.75,120
