WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,RelativeHumidity,WindSpeed,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,MeanSeaLevelPressure,Rainfall
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-25-2019,16:00:00,1005.00,64,3.7,32.5,10.00,0.00,090,31.11,24.7,1012.91,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-25-2019,16:00:00,1010.45,54,13.0,33.8,12.00,0.00,040,28.59,23.3,1010.73,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-25-2019,16:00:00,1007.23,63,0.0,32.0,10.00,0.00,000,30.08,24.1,1010.32,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-25-2019,16:00:00,1003.62,62,13.0,31.7,10.00,14.90,020,28.91,23.5,1010.48,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-25-2019,16:00:00,1006.69,58,7.4,33.0,8.00,0.00,050,29.25,23.7,1012.21,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-25-2019,16:00:00,1002.29,61,11.1,32.5,8.00,12.80,090,29.66,23.9,1011.48,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-25-2019,16:00:00,1010.99,67,14.8,31.2,8.00,0.20,340,30.45,24.3,1012.24,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-25-2019,16:00:00,1011.08,62,0.0,33.0,11.00,0.40,000,30.99,24.6,1011.51,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-25-2019,16:00:00,999.23,57,11.1,31.7,6.00,2.50,040,26.69,22.2,1011.35,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-25-2019,16:00:00,1010.64,63,9.3,32.0,6.00,0.00,010,30.08,24.1,1011.35,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-25-2019,16:00:00,1008.66,66,11.1,33.1,6.00,6.30,160,33.58,26.0,1011.06,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-25-2019,16:00:00,1010.79,70,5.6,31.5,12.00,0.00,240,32.52,25.4,1011.30,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-25-2019,16:00:00,1005.69,57,3.7,32.6,12.00,15.60,090,27.89,22.9,1010.77,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-25-2019,16:00:00,1010.13,53,13.0,34.0,10.00,0.00,040,28.43,23.2,1010.54,0.00
