WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindDirection,Rainfall,DewPoint,Rainfall24Hr,StationPressure,WindSpeed,LandVisibility,AirTemperature,RelativeHumidity,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.79,08-25-2019,16:00:00,230,0.80,25.6,31.40,971.65,5.6,10.00,28.7,83,1002.15
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,23.02,08-25-2019,16:00:00,130,0.00,19.8,0.00,842.26,5.6,8.00,22.1,87,1000.95
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.39,08-25-2019,16:00:00,150,0.00,22.0,0.00,958.26,3.7,12.00,33.4,51,1000.53
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.08,08-25-2019,16:00:00,000,0.00,23.0,3.00,956.73,0.0,15.00,32.7,57,1000.96
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,28.09,08-25-2019,16:00:00,000,0.90,23.0,8.80,965.54,0.0,8.00,31.0,63,1002.36
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.25,08-25-2019,16:00:00,210,0.00,23.7,0.00,956.27,7.4,12.00,33.0,58,999.99
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.42,08-25-2019,16:00:00,000,0.00,25.4,0.60,975.98,0.0,12.00,34.5,59,1001.85
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.84,08-25-2019,16:00:00,090,0.00,23.4,1.70,980.80,9.3,15.00,33.5,56,1001.95
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,27.80,08-25-2019,16:00:00,000,0.00,22.8,1.90,979.63,0.0,10.00,29.7,67,1003.38
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,28.80,08-25-2019,16:00:00,180,0.00,23.4,5.80,967.86,3.7,10.00,33.2,57,1001.39
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.25,08-25-2019,16:00:00,000,0.00,19.9,0.00,976.16,0.0,10.00,32.0,49,1003.08
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.72,08-25-2019,16:00:00,000,0.30,24.5,3.80,969.21,0.0,12.00,29.5,75,1002.24
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.74,08-25-2019,16:00:00,000,0.00,25.0,4.40,983.50,0.0,15.00,32.8,64,1001.53
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.29,08-25-2019,16:00:00,000,0.00,24.3,3.40,979.08,0.0,10.00,34.2,56,1001.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.43,08-25-2019,16:00:00,000,0.00,23.2,13.40,972.87,0.0,12.00,34.0,53,1001.87
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.49,08-25-2019,16:00:00,000,0.00,24.4,0.00,967.26,0.0,7.00,31.5,66,1001.97
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,31.94,08-25-2019,16:00:00,000,0.00,25.1,1.20,972.57,0.0,17.00,32.2,66,1001.56
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,32.41,08-25-2019,16:00:00,220,0.00,25.4,7.30,995.38,5.6,10.00,32.7,66,1002.51
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.67,08-25-2019,16:00:00,180,0.00,25.5,0.00,981.78,3.7,18.00,34.2,61,1001.09
48353,LOEI,เลย,เลย,17.45000,101.73333,28.25,08-25-2019,16:00:00,240,0.00,23.1,1.20,973.76,11.1,15.00,32.5,58,1001.72
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,32.28,08-25-2019,16:00:00,090,16.00,25.3,60.10,982.44,5.6,15.00,27.6,87,1002.47
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.09,08-25-2019,16:00:00,240,0.00,25.2,6.50,981.81,3.7,12.00,29.9,76,1003.24
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.67,08-25-2019,16:00:00,250,0.40,25.5,18.20,982.95,5.6,8.00,28.5,84,1002.24
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.52,08-25-2019,16:00:00,130,0.00,24.4,11.00,986.61,7.4,10.00,29.4,74,1003.15
