WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,AirTemperature,DewPoint,StationPressure,Rainfall,LandVisibility,VaporPressure,WindDirection,RelativeHumidity,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.8,09-19-2019,19:00:00,28.7,25.3,977.11,0.00,12.00,32.22,000,82,1007.78,9.70,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.0,09-19-2019,19:00:00,18.6,18.4,847.46,0.00,8.00,21.22,120,99,1009.16,26.60,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,33.5,09-19-2019,19:00:00,26.4,23.5,965.50,0.40,10.00,28.90,170,84,1009.10,1.50,1.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,32.2,09-19-2019,19:00:00,26.0,23.1,963.66,0.00,12.00,28.18,000,84,1009.23,3.00,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.5,09-19-2019,19:00:00,25.0,24.7,972.66,0.00,6.00,31.12,000,98,1010.51,12.60,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,33.0,09-19-2019,19:00:00,24.0,22.5,964.41,0.00,8.00,27.25,000,91,1009.85,12.40,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,30.0,09-19-2019,19:00:00,27.3,25.0,982.88,0.00,8.00,31.69,000,87,1009.56,23.70,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,33.2,09-19-2019,19:00:00,26.8,24.6,987.24,0.30,14.00,31.00,000,88,1009.01,10.20,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,32.0,09-19-2019,19:00:00,27.0,25.6,984.80,0.00,8.00,32.77,000,92,1008.89,1.80,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,33.3,09-19-2019,19:00:00,26.5,24.3,974.69,4.00,10.00,30.43,040,88,1009.22,89.10,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.5,09-19-2019,19:00:00,25.7,24.1,982.09,0.00,10.00,30.01,000,91,1009.74,76.10,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,32.5,09-19-2019,19:00:00,25.6,24.4,975.78,6.80,10.00,30.63,000,93,1009.48,25.70,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,33.3,09-19-2019,19:00:00,27.5,25.1,988.95,0.00,8.00,31.80,270,87,1007.40,6.40,1.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.0,09-19-2019,19:00:00,28.1,25.3,986.32,0.00,10.00,32.15,000,85,1009.06,25.80,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,30.5,09-19-2019,19:00:00,27.0,24.8,979.46,0.00,9.00,31.38,000,88,1009.34,10.40,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.0,09-19-2019,19:00:00,25.0,24.3,974.77,0.20,6.00,30.32,000,96,1010.53,19.20,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,32.0,09-19-2019,19:00:00,24.9,23.6,979.22,4.30,6.00,29.08,000,92,1009.13,4.30,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,35.2,09-19-2019,19:00:00,27.7,22.9,1000.67,0.00,8.00,27.83,000,75,1007.97,0.01,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.2,09-19-2019,19:00:00,30.0,25.0,988.50,0.00,10.00,31.72,100,75,1008.21,3.20,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,31.9,09-19-2019,19:00:00,25.0,22.9,980.47,2.80,12.00,27.96,250,88,1009.34,3.00,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,32.0,09-19-2019,19:00:00,26.4,23.8,988.81,4.50,10.00,29.43,000,86,1009.05,10.50,0.0
