WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,AirTemperature,DewPoint,StationPressure,Rainfall,LandVisibility,VaporPressure,WindDirection,RelativeHumidity,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.0,09-19-2019,19:00:00,26.0,24.6,987.34,0.00,10.00,30.84,000,92,1009.16,9.70,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.8,09-19-2019,19:00:00,26.5,25.2,989.42,0.00,13.00,32.07,000,93,1008.96,6.60,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.5,09-19-2019,19:00:00,28.5,22.8,992.56,0.00,10.00,27.71,000,71,1009.25,14.90,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.2,09-19-2019,19:00:00,27.4,23.8,992.18,0.00,10.00,29.42,000,81,1009.60,0.60,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.0,09-19-2019,19:00:00,26.0,25.3,982.46,0.40,9.00,32.20,000,96,1008.33,7.20,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.0,09-19-2019,19:00:00,27.2,26.2,1001.99,0.00,10.00,34.03,300,94,1007.78,7.30,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,33.5,09-19-2019,19:00:00,27.5,25.4,1001.56,0.00,10.00,32.36,000,88,1007.74,10.10,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,34.5,09-19-2019,19:00:00,29.5,25.2,991.91,0.00,10.00,32.13,000,78,1008.23,0.50,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,34.3,09-19-2019,19:00:00,27.6,23.1,983.89,0.00,10.00,28.18,000,76,1006.14,17.20,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,33.0,09-19-2019,19:00:00,26.0,24.6,994.85,9.00,7.00,30.84,000,92,1009.32,44.50,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,33.5,09-19-2019,19:00:00,26.5,25.8,992.24,0.00,7.00,33.19,000,96,1008.67,11.20,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.9,09-19-2019,19:00:00,30.0,24.3,1002.42,0.00,10.00,30.31,300,71,1007.59,23.50,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,34.3,09-19-2019,19:00:00,29.3,23.7,992.96,0.00,12.00,29.22,000,72,1006.05,0.40,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,33.7,09-19-2019,19:00:00,29.5,26.0,998.81,0.00,10.00,33.58,000,81,1008.06,54.40,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,33.7,09-19-2019,19:00:00,28.2,25.8,986.89,0.50,6.00,33.20,090,87,1008.51,0.50,11.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,35.8,09-19-2019,19:00:00,29.0,25.5,990.84,0.00,10.00,32.55,000,81,1008.24,0.00,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,31.8,09-19-2019,19:00:00,26.5,25.1,992.16,1.70,10.00,31.79,000,92,1008.03,4.30,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,33.6,09-19-2019,19:00:00,28.2,24.8,989.02,0.01,8.00,31.23,050,82,1007.85,0.01,5.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,30.0,09-19-2019,19:00:00,26.5,24.3,957.95,0.00,8.00,30.43,000,88,1009.15,7.30,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.4,09-19-2019,19:00:00,31.0,25.4,1003.26,0.00,10.00,32.34,270,72,1007.17,5.00,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,27.5,09-19-2019,19:00:00,22.8,21.0,914.02,0.00,6.00,24.80,060,89,1008.90,9.80,5.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.3,09-19-2019,19:00:00,26.8,25.4,992.19,0.60,10.00,32.38,000,92,1008.20,0.60,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,34.0,09-19-2019,19:00:00,30.5,25.6,1003.37,0.00,8.00,32.75,270,75,1007.36,11.00,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,31.8,09-19-2019,19:00:00,28.7,26.0,998.06,0.00,8.00,33.66,340,86,1008.70,7.80,9.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,31.6,09-19-2019,19:00:00,28.6,25.8,1006.34,0.20,8.00,33.16,150,85,1008.27,13.70,9.3
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,32.0,09-19-2019,19:00:00,26.3,24.4,987.25,12.20,10.00,30.59,000,89,1008.18,12.60,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.0,09-19-2019,19:00:00,27.5,25.2,990.32,0.20,10.00,32.08,330,87,1007.97,0.20,3.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.7,09-19-2019,19:00:00,28.2,25.5,991.68,0.80,10.00,32.63,000,85,1007.79,0.80,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,33.3,09-19-2019,19:00:00,26.0,24.1,995.30,9.30,6.00,30.03,040,89,1009.41,9.30,3.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,33.0,09-19-2019,19:00:00,24.8,23.5,994.88,25.10,7.00,28.90,000,92,1009.85,25.10,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,32.5,09-19-2019,19:00:00,26.0,25.8,994.13,7.10,4.00,33.32,160,99,1008.87,8.30,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.4,09-19-2019,19:00:00,29.3,26.1,1004.33,0.00,10.00,33.74,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",83,1007.33,26.00,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,33.4,09-19-2019,19:00:00,28.7,25.6,999.64,0.00,10.00,32.79,120,83,1007.55,7.30,7.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.2,09-19-2019,19:00:00,27.8,25.7,1007.08,0.00,6.00,32.96,000,88,1008.19,3.00,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,32.2,09-19-2019,19:00:00,29.0,26.9,993.80,0.00,8.00,35.46,000,89,1008.41,0.00,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.3,09-19-2019,19:00:00,19.1,18.6,874.64,0.00,8.00,21.43,000,97,1010.22,1.60,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,32.5,09-19-2019,19:00:00,26.8,25.7,1002.36,0.60,10.00,32.94,000,94,1008.25,10.40,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.4,09-19-2019,19:00:00,28.5,26.2,1007.35,0.00,8.00,34.11,000,88,1008.15,49.00,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.4,09-19-2019,19:00:00,29.0,25.3,1007.43,0.00,10.00,32.26,140,81,1007.88,24.70,11.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,32.8,09-19-2019,19:00:00,27.5,25.8,996.97,0.00,6.00,33.21,000,90,1008.27,0.30,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,32.5,09-19-2019,19:00:00,28.5,25.7,1007.24,0.00,10.00,32.96,000,85,1008.25,8.90,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.8,09-19-2019,19:00:00,28.4,26.1,1006.22,0.00,7.00,33.90,160,88,1008.04,8.60,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,32.9,09-19-2019,19:00:00,29.4,25.9,1008.70,0.00,6.00,33.37,000,81,1009.47,0.20,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.9,09-19-2019,19:00:00,29.2,24.5,1007.14,0.01,8.00,30.68,150,76,1007.84,7.00,9.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.8,09-19-2019,19:00:00,28.5,25.8,1007.26,0.00,7.00,33.24,000,85,1007.96,36.70,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,32.1,09-19-2019,19:00:00,27.0,24.8,987.37,0.00,10.00,31.38,210,88,1008.55,3.80,1.9
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,33.1,09-19-2019,19:00:00,25.5,24.6,991.94,2.00,7.00,30.98,000,95,1008.77,15.30,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,33.5,09-19-2019,19:00:00,25.3,24.4,992.60,2.30,7.00,30.60,000,95,1009.16,17.40,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,31.2,09-19-2019,19:00:00,27.6,24.7,986.64,0.00,10.00,31.16,000,84,1008.48,3.30,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.7,09-19-2019,19:00:00,23.5,22.8,965.18,0.00,8.00,27.66,070,96,1009.00,24.30,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.5,09-19-2019,19:00:00,26.5,24.3,987.76,0.00,10.00,30.43,030,88,1008.38,21.00,3.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.1,09-19-2019,19:00:00,26.2,26.2,988.95,0.00,8.00,34.00,180,100,1009.88,69.40,7.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,32.1,09-19-2019,19:00:00,26.9,24.4,1008.28,1.00,8.00,30.64,320,86,1008.71,2.50,7.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,29.4,09-19-2019,19:00:00,27.4,26.0,1006.76,0.00,6.00,33.58,000,92,1008.18,3.70,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.5,09-19-2019,19:00:00,27.8,26.1,1003.99,0.00,7.00,33.82,000,91,1008.92,99.30,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,32.4,09-19-2019,19:00:00,28.3,24.1,1004.92,0.00,9.00,30.04,220,78,1008.21,33.20,9.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,31.8,09-19-2019,19:00:00,29.4,26.0,1007.02,0.00,10.00,33.66,000,82,1008.12,26.50,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.0,09-19-2019,19:00:00,29.0,25.9,1007.74,0.00,8.00,33.41,000,83,1008.04,22.30,0.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.8,09-19-2019,19:00:00,29.0,25.5,1007.41,0.00,10.00,32.55,000,81,1008.09,30.20,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,35.5,09-19-2019,19:00:00,29.3,25.3,1007.75,0.00,10.00,32.30,000,79,1008.24,33.90,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.4,09-19-2019,19:00:00,28.6,25.0,1006.92,0.00,10.00,31.74,000,81,1008.33,24.00,0.0
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.8,09-19-2019,19:00:00,29.1,28.0,1006.53,0.00,8.00,37.79,200,94,1008.20,2.20,20.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.8,09-19-2019,19:00:00,27.0,25.6,1002.17,0.00,10.00,32.77,000,92,1010.20,12.00,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.2,09-19-2019,19:00:00,28.0,25.9,1007.93,6.90,6.00,33.37,140,88,1008.21,13.60,9.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.6,09-19-2019,19:00:00,28.0,24.7,1005.19,0.00,10.00,31.11,000,82,1008.31,1.00,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.5,09-19-2019,19:00:00,26.9,25.2,1001.24,0.00,10.00,32.02,170,90,1008.19,0.00,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.7,09-19-2019,19:00:00,28.5,25.7,1003.72,0.00,10.00,32.96,000,85,1009.30,22.50,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.5,09-19-2019,19:00:00,27.0,24.8,998.81,0.00,9.00,31.38,000,88,1008.14,0.00,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,31.5,09-19-2019,19:00:00,25.5,23.4,1008.07,18.40,5.00,28.85,230,88,1009.34,23.60,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.4,09-19-2019,19:00:00,28.0,25.1,1007.87,0.00,11.00,31.95,240,85,1008.30,0.30,7.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,32.0,09-19-2019,19:00:00,24.8,24.1,996.64,2.00,8.00,29.95,000,96,1009.01,27.40,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.5,09-19-2019,19:00:00,26.5,24.2,1007.78,0.00,10.00,30.16,000,87,1008.50,0.00,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.6,09-19-2019,19:00:00,26.0,24.7,1006.01,0.40,8.00,31.11,360,93,1008.46,38.20,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.6,09-19-2019,19:00:00,26.8,25.4,1009.11,0.30,7.00,32.38,000,92,1009.63,41.60,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,30.7,09-19-2019,19:00:00,25.7,24.7,1003.51,0.01,8.00,31.08,000,94,1008.70,60.80,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.8,09-19-2019,19:00:00,25.0,24.0,1008.91,24.10,6.00,29.79,000,94,1009.33,27.10,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,28.6,09-19-2019,19:00:00,27.0,26.3,1005.89,10.00,3.00,34.19,000,96,1008.66,14.30,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,32.6,09-19-2019,19:00:00,25.4,23.3,1008.20,0.00,10.00,28.67,000,88,1008.99,0.00,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.6,09-19-2019,19:00:00,25.8,24.1,1009.34,0.00,7.00,29.93,100,90,1009.80,46.70,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.7,09-19-2019,19:00:00,26.0,23.7,1009.07,0.00,7.00,29.23,000,87,1009.75,0.50,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,32.0,09-19-2019,19:00:00,27.4,23.3,1007.77,0.00,8.00,28.61,000,78,1009.29,0.00,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.8,09-19-2019,19:00:00,27.0,23.3,1009.67,0.00,10.00,28.67,200,80,1010.59,5.90,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,32.5,09-19-2019,19:00:00,27.7,24.4,1009.04,0.00,12.00,30.53,260,82,1009.73,1.50,5.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,34.5,09-19-2019,19:00:00,26.9,24.3,1009.36,0.00,10.00,30.37,000,86,1010.16,0.00,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,34.1,09-19-2019,19:00:00,27.5,23.9,1009.04,0.00,10.00,29.60,150,81,1009.68,0.00,7.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,33.4,09-19-2019,19:00:00,25.0,24.3,1010.12,46.20,8.00,30.32,000,96,1010.53,46.20,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,33.5,09-19-2019,19:00:00,27.2,22.2,1008.86,0.00,5.00,26.67,000,74,1013.09,0.40,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,33.5,09-19-2019,19:00:00,25.0,23.5,1007.10,0.00,10.00,29.00,000,92,1008.72,0.80,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.0,09-19-2019,19:00:00,26.2,25.2,1007.06,0.70,6.00,32.04,200,94,1010.55,1.80,5.6
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,33.0,09-19-2019,19:00:00,25.0,24.7,1008.82,1.10,7.00,31.12,000,98,1010.19,12.30,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.3,09-19-2019,19:00:00,26.8,24.9,1009.29,0.00,10.00,31.55,000,90,1010.18,1.00,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.7,09-19-2019,19:00:00,27.0,24.4,1006.95,0.00,10.00,30.56,190,86,1010.52,0.00,5.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.9,09-19-2019,19:00:00,28.0,23.9,1009.39,0.00,10.00,29.74,320,79,1009.82,0.20,3.7
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.7,09-19-2019,19:00:00,27.7,24.4,1008.69,0.00,10.00,30.53,000,82,1009.68,1.80,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.6,09-19-2019,19:00:00,27.0,23.0,1009.45,0.00,10.00,28.14,330,79,1010.26,0.80,5.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,33.2,09-19-2019,19:00:00,27.5,24.5,1008.76,0.00,7.00,30.70,000,84,1010.57,0.00,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.1,09-19-2019,19:00:00,27.4,23.9,1009.27,0.00,5.00,29.69,000,81,1010.02,0.20,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,32.7,09-19-2019,19:00:00,27.5,24.2,1005.84,0.00,6.00,30.15,320,82,1009.84,0.60,7.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.0,09-19-2019,19:00:00,28.1,25.1,1009.19,0.00,6.00,31.87,000,84,1009.87,0.20,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,33.9,09-19-2019,19:00:00,27.1,24.1,1010.45,0.00,10.00,29.93,030,84,1011.57,0.20,5.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,32.2,09-19-2019,19:00:00,27.8,25.7,1006.81,0.00,8.00,32.96,000,88,1009.72,0.50,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,32.5,09-19-2019,19:00:00,24.7,24.4,1009.12,2.70,4.00,30.56,170,98,1009.81,33.10,5.6
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,33.8,09-19-2019,19:00:00,25.0,23.5,1006.52,0.40,5.00,29.00,080,92,1010.69,0.40,5.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,31.5,09-19-2019,19:00:00,27.5,22.9,1010.49,0.00,6.00,28.00,000,76,1011.08,0.50,0.0
