WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,DewPoint,Rainfall24Hr,RelativeHumidity,AirTemperature,WindSpeed,StationPressure,MeanSeaLevelPressure,LandVisibility,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,5.80,09-09-2019,16:00:00,230,25.2,9.10,86,27.8,1.9,973.71,1004.36,5.00,32.12
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-09-2019,16:00:00,290,19.8,2.60,83,22.8,18.5,842.92,1001.34,8.00,23.14
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-09-2019,16:00:00,240,23.6,3.00,62,31.7,13.0,959.31,1001.86,10.00,29.19
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-09-2019,16:00:00,000,23.4,0.00,69,29.6,0.0,957.53,1002.26,15.00,28.69
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-09-2019,16:00:00,170,25.0,0.00,71,31.0,3.7,966.04,1002.88,12.00,31.76
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-09-2019,16:00:00,210,24.0,0.00,60,32.7,3.7,958.30,1002.15,11.00,29.79
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-09-2019,16:00:00,180,25.0,1.60,74,30.1,5.6,977.20,1003.48,12.00,31.64
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-09-2019,16:00:00,210,23.7,0.00,61,32.0,7.4,982.62,1003.91,14.00,29.22
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1.30,09-09-2019,16:00:00,000,25.4,2.10,80,29.2,0.0,981.74,1005.58,8.00,32.38
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-09-2019,16:00:00,220,24.3,0.00,64,31.9,3.7,969.05,1002.77,10.00,30.44
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-09-2019,16:00:00,000,24.3,4.00,64,32.0,0.0,976.33,1003.25,10.00,30.36
