WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,LandVisibility,StationPressure,WindSpeed,Rainfall24Hr,AirTemperature,WindDirection,RelativeHumidity,Rainfall,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.68,10-09-2019,04:00:00,21.5,8.00,981.60,0.0,3.10,22.9,000,92,0.00,1013.02
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.54,10-09-2019,04:00:00,16.3,8.00,849.43,13.0,0.00,17.5,140,93,0.00,1012.16
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.62,10-09-2019,04:00:00,20.2,10.00,968.52,0.0,0.00,22.5,000,87,0.00,1012.84
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.44,10-09-2019,04:00:00,20.0,12.00,966.34,0.0,0.00,21.3,000,93,0.00,1012.77
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.15,10-09-2019,04:00:00,21.2,4.00,973.12,0.0,0.00,21.5,000,98,0.00,1011.45
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.83,10-09-2019,04:00:00,22.2,7.00,967.27,0.0,0.00,23.0,000,96,0.00,1013.01
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.17,10-09-2019,04:00:00,21.8,4.00,985.93,0.0,0.00,22.3,000,97,0.00,1013.16
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.50,10-09-2019,04:00:00,22.7,10.00,989.99,0.0,2.70,23.7,000,94,0.00,1012.04
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.18,10-09-2019,04:00:00,23.1,5.00,988.10,0.0,0.00,23.8,000,96,0.00,1012.54
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.76,10-09-2019,04:00:00,20.3,10.00,977.63,3.7,0.00,23.2,130,84,0.00,1012.66
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.58,10-09-2019,04:00:00,22.7,10.00,985.30,0.0,5.70,23.6,000,95,0.00,1013.25
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.84,10-09-2019,04:00:00,21.6,7.00,978.58,0.0,0.00,22.7,000,94,0.00,1012.71
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.68,10-09-2019,04:00:00,22.8,4.00,993.12,0.0,0.00,24.1,000,92,0.00,1011.86
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.75,10-09-2019,04:00:00,22.2,6.00,989.72,0.0,0.00,23.4,000,93,0.00,1012.90
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.36,10-09-2019,04:00:00,20.7,7.00,982.78,0.0,0.00,21.6,000,94,0.00,1013.32
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.41,10-09-2019,04:00:00,22.6,4.00,976.69,0.0,0.00,23.2,000,96,0.00,1012.74
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,28.20,10-09-2019,04:00:00,23.1,5.00,981.91,0.0,0.00,24.4,000,92,0.00,1011.95
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.25,10-09-2019,04:00:00,22.5,7.00,1003.93,0.0,7.70,24.0,000,91,0.00,1011.33
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.79,10-09-2019,04:00:00,23.4,6.00,991.41,5.6,10.40,24.3,340,95,0.00,1011.56
48353,LOEI,เลย,เลย,17.45000,101.73333,26.94,10-09-2019,04:00:00,22.3,6.00,983.78,7.4,0.00,25.0,330,85,0.00,1012.75
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.58,10-09-2019,04:00:00,22.1,10.00,991.60,9.3,0.00,23.9,290,90,0.00,1012.06
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.34,10-09-2019,04:00:00,22.6,10.00,989.55,0.0,0.00,23.9,000,92,0.00,1011.59
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,29.15,10-09-2019,04:00:00,23.6,10.00,991.41,3.7,0.01,24.5,270,95,0.00,1011.12
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,27.50,10-09-2019,04:00:00,22.7,11.00,994.36,0.0,10.60,23.7,000,94,0.00,1011.35
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.83,10-09-2019,04:00:00,22.2,8.00,993.67,0.0,7.50,23.0,000,96,0.00,1011.37
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.68,10-09-2019,04:00:00,22.2,10.00,984.82,11.1,0.00,24.7,320,86,0.00,1010.88
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.38,10-09-2019,04:00:00,24.8,8.00,1005.27,0.0,0.00,26.0,000,93,0.00,1011.10
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.17,10-09-2019,04:00:00,24.7,5.00,1004.30,0.0,0.00,25.6,000,95,0.00,1010.54
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.25,10-09-2019,04:00:00,22.5,8.00,995.84,0.0,0.10,24.0,000,91,0.00,1012.53
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.25,10-09-2019,04:00:00,22.5,8.00,987.73,3.7,0.00,24.0,150,91,0.00,1010.34
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.25,10-09-2019,04:00:00,23.7,10.00,997.80,0.0,0.00,24.7,000,94,0.00,1012.37
