WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,VaporPressure,Rainfall,RelativeHumidity,StationPressure,WindSpeed,MaximumTemperature,AirTemperature,WindDirection,LandVisibility,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,3.20,10-07-2019,19:00:00,24.5,30.72,0.00,82,978.52,0.0,31.6,27.8,000,12.00,1009.32
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-07-2019,19:00:00,20.2,23.60,0.00,94,848.79,14.8,25.3,21.1,200,8.00,1009.28
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-07-2019,19:00:00,19.6,22.73,0.00,63,966.16,0.0,32.6,27.1,000,10.00,1009.69
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-07-2019,19:00:00,21.4,25.50,0.00,67,963.80,0.0,32.7,28.0,000,13.00,1009.06
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-07-2019,19:00:00,23.1,28.29,0.00,82,972.89,0.0,32.0,26.5,000,7.00,1010.56
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-07-2019,19:00:00,22.0,26.43,0.00,83,965.34,0.0,31.5,25.0,000,8.00,1010.68
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,4.60,10-07-2019,19:00:00,22.5,27.19,4.60,86,983.41,0.0,34.3,25.0,000,8.00,1010.32
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.00,10-07-2019,19:00:00,25.1,31.88,0.00,93,988.53,3.7,33.7,26.4,140,13.00,1010.35
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.90,10-07-2019,19:00:00,24.0,29.87,0.00,77,985.32,0.0,34.9,28.5,000,10.00,1009.30
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,10-07-2019,19:00:00,23.5,28.86,0.00,75,975.52,0.0,33.9,28.4,000,10.00,1009.86
