WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,StationPressure,WindDirection,Rainfall24Hr,AirTemperature,DewPoint,MeanSeaLevelPressure,VaporPressure,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-09-2019,04:00:00,0.0,972.27,000,11.80,25.7,24.7,1003.10,31.08,7.00,94
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-09-2019,04:00:00,31.5,840.59,270,0.30,19.8,19.3,1000.29,22.40,8.00,97
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-09-2019,04:00:00,0.0,956.92,000,0.00,27.2,24.6,1000.02,30.94,10.00,86
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-09-2019,04:00:00,0.0,955.37,000,0.00,26.5,25.1,1000.46,31.79,10.00,92
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-09-2019,04:00:00,0.0,963.72,000,0.00,25.6,25.3,1001.15,32.26,6.00,98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-09-2019,04:00:00,0.0,956.60,000,0.00,26.0,24.1,1001.37,30.03,8.00,89
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-09-2019,04:00:00,0.0,974.82,000,0.01,26.8,25.7,1001.33,32.94,7.00,94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-09-2019,04:00:00,3.7,980.16,090,0.00,26.7,24.2,1001.78,30.26,13.00,86
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-09-2019,04:00:00,0.0,979.70,000,1.20,25.8,24.6,1003.76,31.00,6.00,93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-09-2019,04:00:00,0.0,967.59,000,0.01,27.0,24.1,1001.82,30.02,10.00,84
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-09-2019,04:00:00,0.0,974.04,000,0.00,27.1,24.2,1001.34,30.20,10.00,84
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-09-2019,04:00:00,0.0,968.41,000,0.01,26.5,24.3,1001.76,30.43,10.00,88
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-09-2019,04:00:00,3.7,982.51,220,0.00,26.9,24.7,1000.88,31.19,12.00,88
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-09-2019,04:00:00,0.0,978.32,000,0.00,27.0,25.6,1000.95,32.77,10.00,92
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-09-2019,04:00:00,0.0,966.58,000,0.00,27.0,25.6,1001.80,32.77,7.00,92
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-09-2019,04:00:00,0.0,970.58,000,0.00,26.0,24.4,1000.12,30.57,10.00,91
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-09-2019,04:00:00,0.0,994.49,000,0.00,27.5,24.6,1001.74,30.97,8.00,84
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-09-2019,04:00:00,9.3,980.42,100,0.00,29.0,27.6,1000.04,36.96,11.00,92
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-09-2019,04:00:00,0.0,971.86,000,0.00,28.0,24.7,1000.19,31.11,12.00,82
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-09-2019,04:00:00,0.0,980.30,000,0.00,28.5,24.6,1000.22,30.98,10.00,80
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.80,08-09-2019,04:00:00,0.0,979.27,000,24.30,26.0,24.6,1000.92,30.84,8.00,92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-09-2019,04:00:00,1.9,981.29,310,0.00,27.0,25.1,1000.64,31.94,10.00,90
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.40,08-09-2019,04:00:00,0.0,984.54,000,2.70,25.2,24.2,1001.28,30.15,10.00,94
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.20,08-09-2019,04:00:00,0.0,984.13,000,13.60,25.1,24.1,1001.54,29.97,10.00,94
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-09-2019,04:00:00,0.0,974.21,000,0.00,25.8,23.9,999.89,29.66,10.00,89
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-09-2019,04:00:00,3.7,995.21,230,0.00,27.6,24.6,1000.95,30.89,10.00,84
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-09-2019,04:00:00,0.0,994.93,000,0.00,27.3,25.0,1001.07,31.69,10.00,87
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-09-2019,04:00:00,3.7,985.77,170,0.00,27.0,24.0,1002.13,29.75,8.00,83
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-09-2019,04:00:00,0.0,980.16,000,1.30,24.5,23.5,1002.56,28.89,10.00,94
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-09-2019,04:00:00,18.5,988.06,260,0.00,28.0,22.9,1002.33,27.85,8.00,74
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-09-2019,04:00:00,0.0,984.98,000,0.00,28.6,23.4,1001.18,28.70,8.00,73
