WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,DewPoint,RelativeHumidity,LandVisibility,StationPressure,WindDirection,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,VaporPressure
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-04-2019,01:00:00,26.1,22.2,79,7.00,989.63,000,0.00,0.0,1010.62,26.80
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-04-2019,01:00:00,26.6,25.2,92,10.00,992.43,000,0.00,0.0,1010.17,31.99
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-04-2019,01:00:00,27.5,26.1,92,8.00,993.95,000,0.00,0.0,1010.13,33.78
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-04-2019,01:00:00,26.0,22.1,79,9.00,997.28,000,0.00,0.0,1011.43,26.63
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-04-2019,01:00:00,25.5,23.7,90,8.00,996.93,000,0.00,0.0,1011.91,29.38
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-04-2019,01:00:00,26.5,25.8,96,6.00,997.02,000,19.10,0.0,1011.79,33.19
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-04-2019,01:00:00,28.2,24.5,80,5.00,1007.30,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.0,1010.31,30.67
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-04-2019,01:00:00,26.8,24.8,89,8.00,1002.69,000,0.00,0.0,1010.67,31.27
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-04-2019,01:00:00,{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': '%'}},{'@attributes': {'Unit': 'km'}},{'@attributes': {'unit': 'hPa'}},"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.0,{'@attributes': {'Unit': 'hPa'}},{'@attributes': {'Unit': 'mb'}}
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-04-2019,01:00:00,27.2,24.0,83,8.00,993.57,130,0.00,3.7,1008.27,29.85
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-04-2019,01:00:00,19.6,19.4,99,4.00,876.95,190,11.60,5.6,1012.65,22.57
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-04-2019,01:00:00,25.0,23.5,92,10.00,1005.19,000,26.60,0.0,1011.14,29.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-04-2019,01:00:00,27.0,22.1,75,7.00,1010.55,000,15.10,0.0,1011.36,26.58
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,3.40,10-04-2019,01:00:00,27.2,26.5,96,6.00,1010.23,140,3.40,11.1,1010.68,34.60
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-04-2019,01:00:00,25.0,23.5,92,4.00,1000.19,000,0.00,0.0,1011.62,29.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-04-2019,01:00:00,27.0,23.3,80,7.00,1009.93,000,0.00,0.0,1010.95,28.67
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-04-2019,01:00:00,27.4,23.9,81,7.00,1009.19,150,0.00,3.7,1011.02,29.69
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-04-2019,01:00:00,25.1,22.7,87,7.00,1009.90,000,0.00,0.0,1010.67,27.62
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-04-2019,01:00:00,27.3,25.2,88,9.00,1010.63,080,0.00,5.6,1011.34,31.97
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-04-2019,01:00:00,27.8,24.6,83,7.00,1011.88,050,0.00,3.7,1012.59,31.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-04-2019,01:00:00,25.1,23.3,90,6.00,989.61,000,0.40,0.0,1010.98,28.66
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-04-2019,01:00:00,26.3,24.4,89,6.00,994.36,000,0.01,0.0,1011.18,30.59
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-04-2019,01:00:00,25.3,24.6,96,6.00,995.15,190,27.00,3.7,1011.75,30.87
