WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,VaporPressure,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,AirTemperature,DewPoint,StationPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-01-2019,16:00:00,66,30.90,0.00,1006.98,0.00,15.00,31.7,24.6,976.63,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,3.7,10-01-2019,16:00:00,66,20.73,0.00,1004.68,0.00,8.00,24.9,18.1,846.74,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,10-01-2019,16:00:00,54,25.16,0.00,1006.82,0.00,12.00,31.6,21.2,964.04,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-01-2019,16:00:00,71,28.37,0.00,1007.40,0.00,15.00,29.0,23.2,962.36,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-01-2019,16:00:00,59,29.42,0.00,1007.00,0.00,10.00,32.8,23.8,970.22,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,5.6,10-01-2019,16:00:00,74,27.85,0.00,1007.96,0.00,10.00,28.0,22.9,963.18,060
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.6,10-01-2019,16:00:00,49,26.60,0.00,1007.47,0.00,12.00,34.5,22.1,981.45,160
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.4,10-01-2019,16:00:00,65,31.35,0.00,1007.18,0.00,11.00,32.2,24.8,985.83,100
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-01-2019,16:00:00,62,30.99,0.00,1007.01,0.00,10.00,33.0,24.6,983.43,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,10-01-2019,16:00:00,47,26.36,0.00,1006.11,0.00,10.00,34.8,22.0,972.60,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-01-2019,16:00:00,56,28.84,0.00,1008.04,0.00,10.00,33.5,23.4,981.13,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,10-01-2019,16:00:00,52,27.98,0.00,1006.27,0.00,10.00,34.2,22.9,973.60,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,9.3,10-01-2019,16:00:00,63,27.68,0.00,1007.28,0.00,6.00,30.5,22.8,989.01,180
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-01-2019,16:00:00,51,28.02,0.00,1006.95,0.00,10.00,34.5,23.0,984.73,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,10-01-2019,16:00:00,54,28.31,0.00,1006.80,0.00,12.00,33.8,23.1,977.64,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-01-2019,16:00:00,72,33.83,0.00,1007.17,0.00,8.00,31.7,26.1,972.29,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,10-01-2019,16:00:00,54,30.01,0.00,1006.10,0.00,9.00,34.9,24.1,977.22,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-01-2019,16:00:00,53,30.27,0.00,1007.01,0.00,8.00,35.3,24.2,999.90,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,9.3,10-01-2019,16:00:00,53,30.27,0.00,1006.95,0.00,5.00,35.3,24.2,987.60,230
48353,LOEI,เลย,เลย,17.45000,101.73333,5.6,10-01-2019,16:00:00,46,26.11,0.00,1006.50,0.00,7.00,35.1,21.8,978.64,260
