WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,VaporPressure,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,AirTemperature,DewPoint,StationPressure,WindDirection
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,7.4,10-01-2019,16:00:00,49,26.60,0.00,1007.50,0.00,8.00,34.5,22.1,987.82,090
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,10-01-2019,16:00:00,53,28.43,0.00,1007.50,0.00,6.00,34.0,23.2,986.27,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,7.4,10-01-2019,16:00:00,48,25.63,0.00,1007.33,0.00,8.00,34.0,21.5,988.29,290
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,10-01-2019,16:00:00,48,25.35,0.00,1007.88,0.00,9.00,34.0,21.3,991.51,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,10-01-2019,16:00:00,50,25.08,0.00,1008.28,0.00,7.00,33.0,21.1,991.20,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,10-01-2019,16:00:00,52,26.87,0.00,1006.47,0.00,7.00,33.5,22.3,981.27,090
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,3.7,10-01-2019,16:00:00,59,32.34,0.00,1006.67,0.00,8.00,34.6,25.3,1001.03,210
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,10-01-2019,16:00:00,64,34.20,0.00,1007.00,0.00,8.00,34.2,26.3,1000.96,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-01-2019,16:00:00,57,27.27,0.00,1007.96,0.00,9.00,32.0,22.5,991.78,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,13.0,10-01-2019,16:00:00,57,29.09,0.00,1006.23,0.00,10.00,33.2,23.6,984.38,250
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.6,10-01-2019,16:00:00,56,27.72,0.00,1007.98,0.00,8.00,32.8,22.8,993.86,180
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-01-2019,16:00:00,56,29.87,0.00,1006.92,0.00,8.00,34.0,24.0,990.91,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,7.4,10-01-2019,16:00:00,50,28.18,0.00,1007.00,0.00,8.00,35.0,23.1,1001.91,240
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,5.6,10-01-2019,16:00:00,51,29.43,0.00,1005.41,0.00,10.00,35.6,23.8,992.60,030
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,10-01-2019,16:00:00,80,32.38,2.40,1007.67,2.40,6.00,29.2,25.4,998.41,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,10-01-2019,16:00:00,53,29.29,0.00,1007.06,0.00,8.00,34.7,23.7,985.92,090
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,10-01-2019,16:00:00,49,26.60,0.00,1007.25,0.00,12.00,34.5,22.1,990.17,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,10-01-2019,16:00:00,51,27.01,0.00,1006.88,0.00,12.00,34.0,22.4,991.41,060
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.9,10-01-2019,16:00:00,60,32.29,0.00,1006.23,0.00,7.00,34.3,25.3,987.81,040
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-01-2019,16:00:00,82,28.84,16.70,1010.38,16.70,10.00,26.8,23.4,959.18,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,10-01-2019,16:00:00,56,30.85,0.00,1006.95,0.00,4.00,34.6,24.6,1003.09,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.6,10-01-2019,16:00:00,71,24.87,0.00,1007.79,0.00,7.00,26.6,21.0,914.15,200
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,10-01-2019,16:00:00,58,29.79,0.00,1007.35,0.00,10.00,33.4,24.0,991.69,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.9,10-01-2019,16:00:00,58,33.89,0.00,1007.37,0.00,7.00,35.7,26.1,1003.44,270
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.4,10-01-2019,16:00:00,65,28.89,0.01,1008.62,0.01,7.00,30.7,23.5,998.06,010
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,10-01-2019,16:00:00,54,30.52,0.00,1007.71,0.00,10.00,35.0,24.4,1005.83,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,10-01-2019,16:00:00,53,28.43,0.00,1006.53,0.00,7.00,34.0,23.2,986.16,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,3.7,10-01-2019,16:00:00,56,29.25,0.00,1007.15,0.00,10.00,33.7,23.7,989.87,240
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.4,10-01-2019,16:00:00,58,28.33,0.00,1007.37,0.00,10.00,32.4,23.1,991.48,170
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.6,10-01-2019,16:00:00,48,24.67,0.00,1007.82,0.00,9.00,33.5,20.9,994.08,080
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,10-01-2019,16:00:00,58,28.85,0.00,1008.32,0.00,8.00,32.8,23.4,993.76,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.7,10-01-2019,16:00:00,60,31.50,0.00,1008.09,0.00,10.00,33.8,24.9,993.73,180
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-01-2019,16:00:00,52,30.75,0.00,1007.25,0.00,8.00,35.8,24.5,1004.31,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,10-01-2019,16:00:00,64,33.69,0.00,1007.06,0.00,10.00,33.7,26.0,999.28,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.6,10-01-2019,16:00:00,62,30.32,0.00,1007.45,0.00,8.00,32.4,24.3,1006.36,170
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,10-01-2019,16:00:00,63,32.21,0.00,1007.42,0.00,8.00,33.3,25.3,993.03,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,10-01-2019,16:00:00,91,24.03,0.01,1009.03,0.01,8.00,22.0,20.5,874.82,190
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,9.3,10-01-2019,16:00:00,56,31.76,0.00,1007.30,0.00,7.00,35.3,25.0,1001.57,270
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,7.4,10-01-2019,16:00:00,68,29.03,0.00,1007.64,0.00,8.00,30.2,23.5,1006.84,230
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.3,10-01-2019,16:00:00,75,32.75,0.00,1007.71,60.20,10.00,30.5,25.6,1007.27,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.4,10-01-2019,16:00:00,59,29.09,0.00,1008.63,0.00,7.00,32.5,23.6,997.52,010
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,10-01-2019,16:00:00,52,29.81,0.00,1007.63,0.00,8.00,35.5,24.0,1006.64,210
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.4,10-01-2019,16:00:00,61,32.75,0.00,1007.68,0.00,8.00,34.1,25.6,1005.90,170
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,10-01-2019,16:00:00,60,30.87,0.00,1007.32,0.00,11.00,33.5,24.6,1006.57,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.3,10-01-2019,16:00:00,73,32.72,0.00,1008.36,0.01,9.00,30.9,25.5,1007.67,180
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,10-01-2019,16:00:00,53,30.70,0.00,1007.39,3.20,7.00,35.5,24.5,1006.71,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,5.6,10-01-2019,16:00:00,53,28.47,0.00,1006.86,0.01,7.00,34.3,23.2,986.21,320
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.6,10-01-2019,16:00:00,60,29.70,0.00,1007.47,0.00,10.00,32.8,23.9,991.06,110
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,10-01-2019,16:00:00,57,30.46,0.00,1007.88,0.00,7.00,34.0,24.3,991.81,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,10-01-2019,16:00:00,55,29.00,0.00,1007.11,0.00,6.00,34.0,23.5,985.74,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,18.5,10-01-2019,16:00:00,61,27.46,0.00,1007.63,0.00,4.00,31.1,22.6,964.93,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.7,10-01-2019,16:00:00,60,30.45,0.00,1007.11,0.00,8.00,33.3,24.3,986.97,060
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,10-01-2019,16:00:00,69,32.35,0.00,1009.34,0.00,6.00,31.7,25.4,988.80,080
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-01-2019,16:00:00,67,31.60,0.00,1007.53,0.00,10.00,31.9,25.0,1007.11,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-01-2019,16:00:00,64,34.05,0.00,1007.58,0.00,11.00,34.0,26.2,1006.20,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-01-2019,16:00:00,64,33.39,0.00,1007.08,0.00,8.00,33.7,25.9,1002.25,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,10-01-2019,16:00:00,40,24.59,0.00,1007.17,0.00,12.00,36.6,20.8,1003.98,330
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,10-01-2019,16:00:00,49,29.23,0.00,1007.35,0.00,10.00,36.2,23.7,1006.27,270
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.4,10-01-2019,16:00:00,70,33.42,0.00,1007.79,1.00,10.00,32.2,25.9,1007.49,140
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,10-01-2019,16:00:00,69,33.34,0.00,1007.53,2.10,10.00,32.3,25.9,1006.86,170
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.9,10-01-2019,16:00:00,66,31.94,0.00,1007.58,3.60,7.00,32.2,25.1,1007.10,150
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,14.8,10-01-2019,16:00:00,83,29.56,57.20,1008.29,71.00,8.00,26.9,23.8,1006.88,220
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,24.1,10-01-2019,16:00:00,83,35.89,0.00,1008.10,2.10,5.00,30.3,27.1,1006.44,200
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,7.4,10-01-2019,16:00:00,87,28.69,0.01,1009.53,0.01,.80,25.7,23.3,1001.47,180
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,10-01-2019,16:00:00,68,33.17,0.00,1007.65,0.00,10.00,32.5,25.8,1007.38,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,10-01-2019,16:00:00,74,33.65,0.00,1007.41,0.00,10.00,31.2,26.0,1004.32,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,10-01-2019,16:00:00,72,32.34,0.00,1008.57,0.00,10.00,31.0,25.4,1001.71,210
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.4,10-01-2019,16:00:00,59,32.42,0.00,1007.76,0.00,7.00,34.5,25.4,1002.29,300
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,16.7,10-01-2019,16:00:00,77,33.98,0.00,1009.29,0.00,6.00,30.8,26.2,1000.08,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,11.1,10-01-2019,16:00:00,58,32.18,0.00,1008.53,0.00,8.00,34.8,25.3,1007.30,140
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,7.4,10-01-2019,16:00:00,63,34.11,0.00,1007.93,0.00,11.00,34.3,26.2,1007.51,170
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,7.4,10-01-2019,16:00:00,63,30.08,0.00,1007.82,0.00,6.00,32.0,24.1,995.76,040
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,13.0,10-01-2019,16:00:00,67,31.39,0.00,1008.19,0.00,6.00,31.8,24.9,1007.48,150
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,14.8,10-01-2019,16:00:00,71,31.76,0.00,1008.91,0.00,7.00,31.0,25.0,1006.51,210
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,11.1,10-01-2019,16:00:00,75,33.81,0.00,1009.06,0.00,8.00,31.0,26.1,1008.54,220
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,3.7,10-01-2019,16:00:00,69,30.78,0.00,1008.50,0.10,13.00,30.8,24.5,1003.40,210
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,3.7,10-01-2019,16:00:00,68,31.35,0.00,1008.75,1.60,8.00,31.5,24.8,1008.35,160
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-01-2019,16:00:00,72,31.60,0.00,1009.02,4.30,8.00,30.5,25.0,1006.27,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,18.5,10-01-2019,16:00:00,76,34.90,0.00,1008.56,0.00,10.00,31.5,26.6,1007.78,180
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.0,10-01-2019,16:00:00,79,33.25,0.00,1009.47,15.50,8.00,29.9,25.8,1009.01,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,9.3,10-01-2019,16:00:00,62,32.13,0.00,1008.23,0.00,12.00,33.4,25.2,1007.56,050
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.7,10-01-2019,16:00:00,62,29.63,0.00,1008.80,0.40,10.00,32.2,23.9,1007.30,050
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.4,10-01-2019,16:00:00,69,31.19,0.00,1009.92,0.60,10.00,31.0,24.7,1009.01,260
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,9.3,10-01-2019,16:00:00,73,31.68,0.00,1009.39,0.00,12.00,30.4,25.0,1008.71,100
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,10-01-2019,16:00:00,64,33.25,0.00,1008.73,0.00,10.00,33.5,25.8,1007.95,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,7.4,10-01-2019,16:00:00,68,32.40,0.00,1008.60,0.00,10.00,32.0,25.4,1007.97,320
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,10-01-2019,16:00:00,69,32.35,0.00,1008.85,0.00,10.00,31.7,25.4,1008.45,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,10-01-2019,16:00:00,82,32.63,2.80,1011.25,2.80,5.00,28.9,25.5,1007.05,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,9.3,10-01-2019,16:00:00,70,30.86,0.00,1008.56,27.20,12.00,30.7,24.6,1006.97,240
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,3.7,10-01-2019,16:00:00,74,34.00,0.00,1008.06,21.40,8.00,31.5,26.2,1004.63,200
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.5,10-01-2019,16:00:00,59,29.42,0.00,1010.17,0.00,10.00,32.8,23.8,1008.83,300
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,11.1,10-01-2019,16:00:00,91,34.23,0.60,1009.72,0.60,8.00,28.0,26.3,1008.84,090
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,11.1,10-01-2019,16:00:00,69,31.01,0.00,1009.19,1.20,10.00,30.9,24.6,1005.67,190
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,5.6,10-01-2019,16:00:00,62,30.03,2.80,1009.04,5.60,10.00,32.4,24.1,1008.61,270
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,5.6,10-01-2019,16:00:00,69,32.06,0.00,1009.01,0.20,10.00,31.7,25.2,1008.03,250
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,11.1,10-01-2019,16:00:00,72,33.32,0.00,1009.15,0.40,10.00,31.6,25.9,1008.35,220
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,9.3,10-01-2019,16:00:00,83,31.99,0.00,1009.82,0.00,10.00,28.3,25.2,1008.01,140
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,10-01-2019,16:00:00,69,30.90,0.00,1008.53,0.00,12.00,31.0,24.6,1007.79,050
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,16.7,10-01-2019,16:00:00,56,27.52,0.00,1008.21,2.80,10.00,32.7,22.7,1004.28,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,9.3,10-01-2019,16:00:00,66,29.56,6.40,1009.09,17.90,10.00,30.9,23.9,1008.41,230
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,7.4,10-01-2019,16:00:00,84,29.93,2.00,1008.21,13.00,10.00,27.1,24.1,1007.10,320
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,7.4,10-01-2019,16:00:00,62,29.63,0.00,1008.64,0.60,12.00,32.2,23.9,1005.76,260
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,9.3,10-01-2019,16:00:00,65,31.35,0.00,1008.79,0.00,11.00,32.2,24.8,1008.12,050
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.6,10-01-2019,16:00:00,75,30.40,4.20,1008.72,8.30,8.00,29.2,24.3,1004.62,160
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,13.0,10-01-2019,16:00:00,67,29.45,0.00,1008.58,0.00,10.00,30.7,23.8,1008.00,100
