WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,AirTemperature,Rainfall,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,VaporPressure,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.6,09-20-2019,13:00:00,977.66,30.1,1.40,300,1.40,1008.20,15.00,32.79,77,5.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.5,09-20-2019,13:00:00,847.18,20.1,0.00,110,0.00,1007.96,8.00,22.60,96,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.5,09-20-2019,13:00:00,965.68,30.3,0.00,000,0.40,1008.72,10.00,27.30,63,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.5,09-20-2019,13:00:00,963.91,30.0,0.00,000,0.00,1008.87,15.00,28.91,68,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.6,09-20-2019,13:00:00,972.86,31.0,0.00,000,10.30,1009.96,10.00,30.90,69,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.1,09-20-2019,13:00:00,964.15,30.8,0.00,300,5.40,1008.55,10.00,29.93,67,3.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.2,09-20-2019,13:00:00,983.07,31.5,0.00,000,0.20,1009.39,10.00,30.20,65,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.2,09-20-2019,13:00:00,987.82,27.6,5.80,080,7.10,1009.54,11.00,33.99,92,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.3,09-20-2019,13:00:00,984.60,32.5,0.00,000,0.00,1008.24,10.00,28.53,58,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.7,09-20-2019,13:00:00,974.36,32.2,0.00,020,4.00,1008.22,10.00,27.66,58,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.1,09-20-2019,13:00:00,981.39,29.7,0.10,000,19.30,1008.66,8.00,29.99,72,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.2,09-20-2019,13:00:00,975.41,30.8,0.00,000,6.80,1008.52,10.00,30.21,68,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.3,09-20-2019,13:00:00,989.25,33.9,0.00,010,4.10,1007.32,15.00,32.32,61,5.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.8,09-20-2019,13:00:00,986.18,31.1,0.00,000,0.80,1008.69,10.00,29.40,65,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.0,09-20-2019,13:00:00,979.63,30.0,0.00,000,0.00,1009.22,12.00,28.09,66,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.9,09-20-2019,13:00:00,973.51,30.2,0.00,000,0.20,1008.60,8.00,31.56,74,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.2,09-20-2019,13:00:00,978.38,31.8,0.00,070,22.00,1007.58,14.00,30.24,64,9.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.4,09-20-2019,13:00:00,1000.17,33.5,0.00,000,0.01,1007.32,9.00,28.84,56,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.9,09-20-2019,13:00:00,988.82,33.4,0.00,080,3.20,1008.32,16.00,31.54,61,13.0
48353,LOEI,เลย,เลย,17.45000,101.73333,22.6,09-20-2019,13:00:00,979.83,33.5,0.00,090,20.80,1007.87,15.00,27.43,53,5.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.2,09-20-2019,13:00:00,988.46,31.7,0.00,090,11.00,1008.34,15.00,26.69,57,11.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.9,09-20-2019,13:00:00,987.20,32.1,0.00,060,9.30,1008.58,15.00,29.71,62,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.8,09-20-2019,13:00:00,988.26,32.4,0.00,050,6.60,1007.40,15.00,29.46,61,7.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.5,09-20-2019,13:00:00,991.36,33.7,0.00,020,18.30,1007.75,10.00,27.26,52,7.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.9,09-20-2019,13:00:00,991.05,32.9,0.00,080,0.50,1008.13,12.00,29.62,59,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.7,09-20-2019,13:00:00,981.75,31.3,0.00,000,20.80,1007.15,15.00,29.24,64,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.4,09-20-2019,13:00:00,1002.73,33.2,0.00,000,4.70,1008.41,10.00,36.58,72,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.0,09-20-2019,13:00:00,1001.58,33.0,0.00,000,0.20,1007.65,12.00,33.66,67,0.0
