WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,Rainfall24Hr,Rainfall,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,StationPressure,DewPoint,VaporPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-14-2019,04:00:00,000,0.20,0.00,1007.24,25.4,93,976.26,24.2,30.25,7.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,59.3,08-14-2019,04:00:00,300,0.00,0.00,1005.20,19.0,97,844.33,18.5,21.30,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,3.7,08-14-2019,04:00:00,160,1.40,1.10,1005.72,26.1,91,962.22,24.5,30.76,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-14-2019,04:00:00,000,1.00,1.00,1005.68,25.5,92,960.20,24.0,29.91,10.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-14-2019,04:00:00,000,6.40,0.30,1006.61,25.4,98,968.95,25.1,31.87,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,9.3,08-14-2019,04:00:00,100,0.70,0.00,1006.34,25.2,90,961.23,23.4,28.83,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,08-14-2019,04:00:00,000,0.50,0.00,1007.31,26.3,91,980.60,24.7,31.13,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-14-2019,04:00:00,000,0.40,0.00,1008.21,25.2,95,986.34,24.3,30.42,10.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-14-2019,04:00:00,000,7.10,0.00,1008.16,25.5,96,983.97,24.8,31.25,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-14-2019,04:00:00,000,4.60,0.00,1006.57,26.3,88,972.11,24.1,30.05,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-14-2019,04:00:00,000,0.00,0.00,1007.37,26.0,90,979.80,24.3,30.30,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-14-2019,04:00:00,000,0.20,0.00,1006.50,26.0,88,972.95,23.8,29.50,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.9,08-14-2019,04:00:00,180,3.50,0.00,1006.85,24.5,96,988.22,23.8,29.41,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-14-2019,04:00:00,000,0.10,0.00,1006.94,26.1,92,984.09,24.7,31.03,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-14-2019,04:00:00,000,0.00,0.00,1006.84,25.4,89,976.88,23.5,28.93,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-14-2019,04:00:00,000,0.00,0.00,1007.45,25.5,96,971.86,24.8,31.25,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-14-2019,04:00:00,000,2.40,0.00,1006.11,25.2,97,976.31,24.6,30.96,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-14-2019,04:00:00,000,2.70,0.00,1007.19,25.2,94,999.84,24.2,30.15,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,08-14-2019,04:00:00,000,1.60,0.00,1005.71,26.8,96,985.84,26.1,33.79,10.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,08-14-2019,04:00:00,000,1.00,0.00,1006.88,26.5,88,978.22,24.3,30.43,13.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,08-14-2019,04:00:00,230,1.80,0.00,1005.61,26.6,90,985.46,24.7,31.16,10.00
