WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,Rainfall,WindDirection,RelativeHumidity,DewPoint,StationPressure,VaporPressure,WindSpeed,MeanSeaLevelPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,3.00,08-21-2019,13:00:00,12.00,0.30,000,67,24.1,972.99,29.93,0.0,1003.31,30.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.10,08-21-2019,13:00:00,7.00,1.20,120,99,19.4,842.97,22.57,9.3,1003.23,19.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,4.60,08-21-2019,13:00:00,8.00,0.20,090,88,24.3,961.10,30.43,18.5,1004.48,26.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,5.50,08-21-2019,13:00:00,15.00,0.00,000,71,23.2,959.05,28.37,0.0,1003.94,29.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,65.60,08-21-2019,13:00:00,12.00,0.01,000,82,23.6,968.06,29.21,0.0,1005.48,27.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,9.20,08-21-2019,13:00:00,8.00,0.00,100,70,24.0,959.51,29.75,13.0,1003.81,30.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,21.40,08-21-2019,13:00:00,9.00,0.00,110,77,23.9,978.96,29.68,5.6,1005.44,28.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.30,08-21-2019,13:00:00,18.00,0.00,240,62,23.8,982.50,29.51,5.6,1003.79,32.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.30,08-21-2019,13:00:00,10.00,0.00,000,66,24.9,979.69,31.52,0.0,1003.26,32.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.30,08-21-2019,13:00:00,10.00,0.01,090,73,24.6,969.90,30.87,3.7,1003.86,30.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,47.30,08-21-2019,13:00:00,10.00,0.00,000,69,25.1,976.80,31.93,0.0,1003.78,31.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,4.90,08-21-2019,13:00:00,12.00,2.10,000,77,26.2,969.92,34.06,0.0,1002.85,30.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.20,08-21-2019,13:00:00,15.00,0.00,000,73,24.7,985.48,31.15,0.0,1003.71,30.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,90.10,08-21-2019,13:00:00,6.00,0.10,000,79,23.8,982.44,29.44,0.0,1005.12,27.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,61.50,08-21-2019,13:00:00,7.00,0.01,150,81,24.1,975.12,29.98,5.6,1004.80,27.7
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.80,08-21-2019,13:00:00,7.00,0.00,000,74,25.3,968.41,32.26,0.0,1003.30,30.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.20,08-21-2019,13:00:00,17.00,0.00,120,72,24.7,974.14,31.19,9.3,1003.36,30.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-21-2019,13:00:00,10.00,0.00,000,77,25.7,997.02,33.00,0.0,1004.22,30.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,78.40,08-21-2019,13:00:00,12.00,1.70,150,90,25.5,985.44,32.61,5.6,1005.28,27.2
48353,LOEI,เลย,เลย,17.45000,101.73333,16.60,08-21-2019,13:00:00,17.00,0.00,180,66,24.4,975.47,30.49,11.1,1003.57,31.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,63.90,08-21-2019,13:00:00,15.00,24.90,030,86,24.2,985.19,30.26,3.7,1005.33,26.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,41.20,08-21-2019,13:00:00,12.00,0.01,160,75,24.8,984.43,31.32,3.7,1005.92,29.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.00,08-21-2019,13:00:00,10.00,0.30,160,75,24.6,985.42,31.00,7.4,1004.69,29.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.00,08-21-2019,13:00:00,12.00,0.20,000,73,24.4,988.98,30.55,0.0,1005.54,29.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,6.40,08-21-2019,13:00:00,12.00,0.80,280,78,24.9,988.48,31.53,3.7,1005.73,29.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-21-2019,13:00:00,13.00,0.00,070,80,24.7,978.27,31.06,9.3,1003.83,28.4
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.60,08-21-2019,13:00:00,10.00,0.00,000,71,26.1,999.16,33.88,0.0,1004.84,32.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-21-2019,13:00:00,12.00,0.00,210,71,25.6,998.51,32.81,11.1,1004.59,31.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,4.00,08-21-2019,13:00:00,10.00,0.00,210,68,23.5,989.14,28.91,5.6,1005.39,30.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.50,08-21-2019,13:00:00,10.00,0.00,180,74,23.9,981.46,29.74,5.6,1003.55,29.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,3.10,08-21-2019,13:00:00,5.00,2.80,230,85,25.3,991.24,32.23,7.4,1005.55,28.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,3.00,08-21-2019,13:00:00,7.00,0.00,140,62,24.6,987.47,30.86,9.3,1003.49,32.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-21-2019,13:00:00,10.00,0.00,140,75,26.5,1000.04,34.60,9.3,1005.18,31.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,4.50,08-21-2019,13:00:00,12.00,0.00,000,73,25.3,990.98,32.30,0.0,1003.98,30.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-21-2019,13:00:00,13.00,0.00,110,63,24.2,995.44,30.20,7.4,1004.59,32.2
