WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,RelativeHumidity,Rainfall,WindSpeed,LandVisibility,MeanSeaLevelPressure,AirTemperature,StationPressure,WindDirection,Rainfall24Hr,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-14-2019,04:00:00,23.3,96,0.00,0.0,6.00,1012.07,24.0,980.80,000,3.30,28.53
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-14-2019,04:00:00,15.3,93,0.00,11.1,8.00,1010.58,16.5,847.60,180,15.30,17.36
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-14-2019,04:00:00,21.9,91,2.00,3.7,10.00,1012.53,23.4,968.35,020,30.10,26.25
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-14-2019,04:00:00,22.0,97,2.50,0.0,10.00,1012.74,22.5,966.49,000,13.00,26.50
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-14-2019,04:00:00,21.8,100,0.80,0.0,5.00,1013.82,21.8,975.44,000,29.80,26.10
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-14-2019,04:00:00,22.9,94,0.00,0.0,10.00,1013.12,23.9,967.51,000,0.00,27.84
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-14-2019,04:00:00,22.7,95,0.00,0.0,5.00,1013.59,23.6,986.47,000,1.10,27.58
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-14-2019,04:00:00,23.8,97,0.00,0.0,10.00,1011.74,24.2,989.72,000,12.90,29.39
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-14-2019,04:00:00,23.3,96,0.00,0.0,6.00,1011.81,24.0,987.41,000,0.90,28.53
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-14-2019,04:00:00,22.6,91,0.00,0.0,10.00,1012.38,24.1,977.47,000,6.60,27.42
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-14-2019,04:00:00,23.2,97,0.00,0.0,10.00,1012.39,23.6,984.47,000,0.30,28.34
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-14-2019,04:00:00,22.8,96,0.00,0.0,8.00,1011.94,23.4,977.91,000,0.20,27.75
