WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,MaximumTemperature,RelativeHumidity,AirTemperature,VaporPressure,StationPressure,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,WindDirection
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-19-2019,19:00:00,23.3,40.1,55,33.5,28.56,973.05,0.0,0.00,999.75,10.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-19-2019,19:00:00,21.2,39.6,42,36.3,25.12,966.46,0.0,0.00,998.66,15.00,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-19-2019,19:00:00,22.7,38.7,50,34.6,27.65,981.76,3.7,0.00,999.65,15.00,200
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-19-2019,19:00:00,24.2,38.5,52,35.7,30.24,977.34,0.0,0.00,999.31,10.00,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-19-2019,19:00:00,25.9,36.8,65,33.4,33.33,970.52,0.0,0.00,999.51,12.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-19-2019,19:00:00,22.5,39.8,45,36.4,27.31,964.05,0.0,0.00,998.09,6.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-19-2019,19:00:00,24.8,38.0,65,32.3,31.27,971.32,0.0,0.00,1000.26,15.00,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-19-2019,19:00:00,22.6,39.5,48,35.5,27.48,993.21,0.0,0.00,1000.27,12.00,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-19-2019,19:00:00,26.8,37.8,63,34.8,35.26,980.95,0.0,0.00,1000.20,12.00,000
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-19-2019,19:00:00,23.5,37.3,55,34.0,29.00,972.60,5.6,0.00,1000.39,15.00,160
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-19-2019,19:00:00,24.7,37.7,57,34.3,31.09,981.11,3.7,0.00,1000.67,15.00,110
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-19-2019,19:00:00,27.9,37.0,75,32.8,37.54,980.13,0.0,0.00,1001.31,12.00,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-19-2019,19:00:00,25.9,36.5,66,33.2,33.50,982.03,3.7,0.00,1001.00,12.00,150
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-19-2019,19:00:00,25.7,35.5,69,32.0,32.99,985.86,0.0,0.00,1002.25,12.00,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-19-2019,19:00:00,26.3,36.6,75,31.2,34.24,985.11,0.0,0.00,1002.19,10.00,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-19-2019,19:00:00,25.1,37.9,57,34.9,31.79,975.42,3.7,0.00,1000.36,11.00,170
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-19-2019,19:00:00,26.4,38.8,62,34.7,34.40,994.53,5.6,0.00,1000.13,10.00,120
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-19-2019,19:00:00,26.5,38.0,67,33.6,34.69,994.41,0.0,0.00,1000.42,10.00,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-19-2019,19:00:00,23.9,38.0,61,32.5,29.66,985.77,0.0,0.00,1001.82,10.00,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-19-2019,19:00:00,22.1,33.2,70,28.0,26.54,980.17,5.6,0.00,1002.30,10.00,210
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-19-2019,19:00:00,23.8,37.2,62,32.0,29.51,987.89,16.7,0.00,1001.97,10.00,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-19-2019,19:00:00,22.5,39.5,54,33.0,27.28,984.77,11.1,0.00,1000.73,8.00,230
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-19-2019,19:00:00,23.8,37.5,53,34.8,29.50,995.68,0.0,0.00,1000.74,10.00,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-19-2019,19:00:00,23.4,37.3,52,34.7,28.71,986.76,0.0,0.00,999.53,12.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-19-2019,19:00:00,23.0,38.4,50,34.8,28.06,991.91,5.6,0.00,1000.95,12.00,260
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-19-2019,19:00:00,24.0,37.0,56,34.1,29.79,979.94,3.7,15.30,1001.00,10.00,130
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-19-2019,19:00:00,26.0,38.5,60,35.0,33.54,984.68,0.0,28.70,1001.64,10.00,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-19-2019,19:00:00,25.0,36.5,67,31.8,31.68,986.09,0.0,0.80,1001.59,10.00,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-19-2019,19:00:00,24.5,39.0,54,35.1,30.73,981.81,0.0,0.01,1000.08,10.00,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-19-2019,19:00:00,22.5,32.5,75,27.2,27.19,954.61,0.0,0.00,1005.51,8.00,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-19-2019,19:00:00,25.5,37.0,65,33.1,32.68,998.09,5.6,0.00,1001.95,10.00,180
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-19-2019,19:00:00,21.1,27.8,85,23.7,25.03,909.86,5.6,0.00,1004.01,8.00,280
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-19-2019,19:00:00,26.0,39.2,62,34.2,33.58,986.08,0.0,0.00,1001.61,10.00,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-19-2019,19:00:00,25.8,37.3,64,33.5,33.25,997.74,0.0,0.00,1001.67,10.00,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-19-2019,19:00:00,23.1,37.2,56,33.1,28.32,992.04,0.0,0.00,1002.45,9.00,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-19-2019,19:00:00,24.9,36.3,66,32.0,31.52,1002.08,3.7,0.00,1003.97,12.00,150
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-19-2019,19:00:00,22.9,39.1,50,35.0,27.89,981.22,0.0,0.00,1001.43,10.00,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-19-2019,19:00:00,23.1,37.3,52,34.3,28.18,984.27,0.0,0.00,1001.42,11.00,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-19-2019,19:00:00,24.5,37.8,56,34.7,30.76,985.55,7.4,0.00,1001.22,10.00,160
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-19-2019,19:00:00,24.4,35.7,61,32.9,30.49,989.02,3.7,0.00,1002.72,10.00,170
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-19-2019,19:00:00,25.4,35.9,68,32.0,32.40,988.74,0.0,0.00,1003.27,10.00,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-19-2019,19:00:00,26.3,36.6,68,33.0,34.27,988.88,0.0,2.70,1003.20,8.00,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-19-2019,19:00:00,23.9,37.8,56,33.9,29.66,998.78,0.0,0.00,1001.71,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-19-2019,19:00:00,25.4,36.5,62,33.8,32.40,993.70,0.0,0.00,1001.43,10.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-19-2019,19:00:00,24.3,36.7,60,33.1,30.32,1000.94,11.1,0.00,1002.02,8.00,180
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-19-2019,19:00:00,21.1,34.8,56,30.8,25.02,988.54,0.0,0.00,1002.99,8.00,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-19-2019,19:00:00,21.4,25.6,97,21.9,25.53,870.36,5.6,37.40,1003.93,2.00,190
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-19-2019,19:00:00,25.8,38.4,64,33.5,33.25,996.32,0.0,0.00,1002.05,10.00,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-19-2019,19:00:00,24.7,38.1,49,37.2,31.11,1002.60,11.1,0.00,1003.37,10.00,230
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-19-2019,19:00:00,25.6,32.5,77,30.1,32.79,1003.21,22.2,0.00,1003.65,10.00,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-19-2019,19:00:00,24.3,33.5,83,27.5,30.42,993.88,0.0,0.00,1005.14,8.00,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-19-2019,19:00:00,24.1,37.9,84,27.1,29.93,1002.94,9.3,0.00,1003.95,12.00,190
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-19-2019,19:00:00,24.5,36.5,60,33.3,30.74,1000.58,0.0,0.00,1002.35,10.00,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,48.90,07-19-2019,19:00:00,25.2,37.8,98,25.5,32.07,1003.49,0.0,48.90,1004.26,6.00,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-19-2019,19:00:00,25.0,33.1,75,30.0,31.72,1003.32,25.9,15.00,1004.02,10.00,200
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-19-2019,19:00:00,24.9,37.1,64,32.7,31.53,1002.48,9.3,0.00,1003.17,10.00,200
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.01,07-19-2019,19:00:00,25.2,38.0,78,29.5,32.13,981.91,13.0,0.01,1002.80,9.00,170
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-19-2019,19:00:00,23.8,35.6,59,32.8,29.42,986.55,0.0,0.00,1002.88,10.00,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-19-2019,19:00:00,24.4,36.6,66,31.5,30.49,987.23,0.0,0.00,1003.35,9.00,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-19-2019,19:00:00,24.2,36.9,59,33.5,30.28,981.04,3.7,0.00,1002.34,10.00,250
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-19-2019,19:00:00,22.2,33.2,62,30.3,26.76,960.19,0.0,0.00,1002.78,10.00,000
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-19-2019,19:00:00,22.8,36.3,73,28.1,27.77,983.14,3.7,0.00,1003.55,10.00,230
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-19-2019,19:00:00,25.0,36.0,67,31.8,31.68,984.14,13.0,0.00,1004.58,10.00,170
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-19-2019,19:00:00,24.9,32.5,74,30.2,31.56,1003.27,18.5,0.00,1003.70,10.00,240
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-19-2019,19:00:00,24.5,35.5,68,31.1,30.82,1002.06,9.3,0.00,1003.45,8.00,210
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-19-2019,19:00:00,24.2,34.8,78,28.4,30.23,999.15,7.4,0.00,1004.04,8.00,210
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-19-2019,19:00:00,23.8,37.7,64,31.4,29.43,1000.66,3.7,0.00,1003.89,12.00,200
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,07-19-2019,19:00:00,26.0,37.7,76,30.6,33.55,1002.71,7.4,0.01,1003.80,5.00,210
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-19-2019,19:00:00,26.0,34.7,77,30.5,33.63,1003.64,11.1,0.00,1003.94,10.00,190
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-19-2019,19:00:00,25.0,34.9,75,29.8,31.60,1002.77,7.4,0.00,1003.45,10.00,210
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-19-2019,19:00:00,24.7,35.3,69,31.0,31.19,1002.86,0.0,0.00,1003.34,10.00,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-19-2019,19:00:00,25.4,35.3,73,30.8,32.51,1002.10,25.9,0.00,1003.48,10.00,200
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-19-2019,19:00:00,26.9,31.6,84,30.0,35.53,1001.84,44.4,0.00,1003.50,10.00,190
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-19-2019,19:00:00,23.3,36.2,80,27.1,28.59,997.93,7.4,0.00,1005.92,10.00,270
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-19-2019,19:00:00,26.3,35.6,78,30.5,34.22,1003.32,14.8,0.00,1003.60,10.00,200
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-19-2019,19:00:00,24.5,32.7,75,29.5,30.72,1001.32,9.3,0.00,1004.42,10.00,300
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-19-2019,19:00:00,24.7,32.5,78,29.0,31.13,997.73,5.6,0.00,1004.61,12.00,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-19-2019,19:00:00,26.3,35.7,79,30.4,34.31,999.04,0.0,0.00,1004.56,8.00,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-19-2019,19:00:00,25.3,37.1,81,29.0,32.26,996.00,24.1,0.00,1005.23,8.00,210
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-19-2019,19:00:00,25.5,35.8,87,27.9,32.60,1003.48,0.0,4.20,1004.74,10.00,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-19-2019,19:00:00,23.7,36.6,76,28.3,29.22,1003.60,18.5,0.00,1004.03,11.00,260
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.30,07-19-2019,19:00:00,24.5,35.1,91,26.1,30.76,992.63,3.7,3.10,1004.90,10.00,260
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-19-2019,19:00:00,23.9,32.5,77,28.4,29.68,1003.82,7.4,0.00,1004.53,10.00,190
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-19-2019,19:00:00,24.2,34.9,73,29.5,30.16,1002.98,14.8,0.01,1005.39,10.00,180
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-19-2019,19:00:00,26.4,32.0,82,29.9,34.42,1004.42,14.8,0.00,1004.94,12.00,220
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-19-2019,19:00:00,25.2,34.6,79,29.3,32.01,999.68,3.7,0.00,1004.79,11.00,200
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-19-2019,19:00:00,25.9,31.5,83,29.0,33.41,1005.32,5.6,26.70,1005.73,7.00,190
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-19-2019,19:00:00,26.2,32.2,93,27.5,34.07,1003.40,0.0,40.00,1006.16,8.00,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.30,07-19-2019,19:00:00,23.7,35.2,77,28.2,29.30,1005.01,5.6,0.30,1005.79,10.00,360
48501,TRAD,ตราด,ตราด,11.76667,102.88333,19.40,07-19-2019,19:00:00,25.0,29.4,97,25.6,31.71,1006.08,7.4,119.20,1006.54,6.00,070
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.60,07-19-2019,19:00:00,24.3,31.1,96,25.0,30.32,1005.65,0.0,45.10,1006.34,6.00,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,14.00,07-19-2019,19:00:00,23.8,30.6,97,24.4,29.49,1005.27,1.9,97.40,1006.81,5.00,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,47.00,07-19-2019,19:00:00,23.6,30.0,96,24.3,29.05,1006.65,5.6,86.00,1007.57,6.00,190
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-19-2019,19:00:00,25.0,32.8,83,28.1,31.59,1005.87,0.0,0.10,1006.55,10.00,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.20,07-19-2019,19:00:00,25.8,30.5,96,26.5,33.19,1006.73,0.0,15.10,1007.53,9.00,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-19-2019,19:00:00,24.7,32.2,85,27.4,31.05,1006.12,0.0,0.90,1006.75,10.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-19-2019,19:00:00,24.5,29.6,85,27.2,30.67,1006.66,0.0,0.01,1007.07,10.00,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-19-2019,19:00:00,24.1,31.2,84,27.1,29.93,1004.39,3.7,0.20,1008.60,6.00,270
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.20,07-19-2019,19:00:00,24.2,31.8,95,25.1,30.23,1005.83,0.0,14.40,1007.45,8.00,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.01,07-19-2019,19:00:00,24.0,31.5,92,25.5,29.91,1004.82,0.0,4.20,1008.32,7.00,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-19-2019,19:00:00,25.4,31.0,87,27.7,32.48,1005.35,0.0,5.90,1006.70,8.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.60,07-19-2019,19:00:00,25.3,27.6,87,27.6,32.28,1005.89,11.1,202.40,1006.78,8.00,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,9.30,07-19-2019,19:00:00,23.7,26.4,97,24.3,29.31,1003.66,0.0,111.30,1007.25,10.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.60,07-19-2019,19:00:00,25.8,29.5,96,26.5,33.19,1006.57,0.0,27.80,1007.01,10.00,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,15.20,07-19-2019,19:00:00,25.0,30.3,96,25.7,31.63,1005.59,3.7,38.60,1006.59,5.00,120
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-19-2019,19:00:00,25.4,29.5,96,26.1,32.40,1006.43,11.1,114.20,1007.25,10.00,150
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.80,07-19-2019,19:00:00,23.9,28.3,90,25.7,29.74,1005.53,0.0,13.40,1007.35,7.00,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-19-2019,19:00:00,24.0,33.2,72,29.5,29.88,1006.09,3.7,53.80,1006.83,10.00,160
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-19-2019,19:00:00,24.2,32.4,79,28.2,30.12,1002.82,0.0,0.60,1006.80,10.00,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-19-2019,19:00:00,25.9,30.0,86,28.4,33.33,1006.50,0.0,2.60,1007.18,10.00,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-19-2019,19:00:00,24.7,32.5,77,29.1,31.05,1005.44,0.0,1.00,1006.55,10.00,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-19-2019,19:00:00,25.5,31.9,83,28.8,32.71,1003.91,0.0,0.00,1006.81,10.00,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1.00,07-19-2019,19:00:00,25.1,33.1,93,26.3,31.96,1005.96,0.0,13.30,1006.65,6.00,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-19-2019,19:00:00,24.9,32.1,89,26.9,31.46,1003.37,3.7,1.60,1007.49,5.00,020
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.60,07-19-2019,19:00:00,21.7,33.0,80,25.5,26.02,1007.30,5.6,36.00,1007.90,7.00,260
