WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,MaximumTemperature,RelativeHumidity,AirTemperature,VaporPressure,StationPressure,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-19-2019,19:00:00,25.0,37.5,62,33.2,31.70,970.22,3.7,0.00,1000.22,15.00,150
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-19-2019,19:00:00,19.8,27.8,76,24.3,23.09,841.79,3.7,1.70,999.14,8.00,200
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-19-2019,19:00:00,21.7,37.4,49,33.7,25.87,957.12,3.7,0.00,999.29,15.00,220
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-19-2019,19:00:00,22.9,37.5,59,31.9,27.91,955.42,0.0,0.00,999.70,15.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-19-2019,19:00:00,21.5,37.0,48,34.0,25.63,963.18,0.0,0.00,999.54,12.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-19-2019,19:00:00,25.0,38.0,61,33.5,31.75,956.02,0.0,0.00,999.65,15.00,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-19-2019,19:00:00,23.9,39.1,50,36.1,29.61,973.80,3.7,0.00,999.48,12.00,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-19-2019,19:00:00,21.5,40.4,46,35.0,25.63,979.02,3.7,0.00,1000.03,15.00,090
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-19-2019,19:00:00,23.6,35.8,70,29.7,29.16,979.12,0.0,0.00,1002.86,10.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-19-2019,19:00:00,22.8,39.0,47,35.9,27.73,965.67,3.7,0.00,998.83,10.00,160
