WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,WindSpeed,DewPoint,VaporPressure,Rainfall,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,WindDirection
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.8,08-09-2019,22:00:00,10.00,27.8,24.9,31.56,0.40,84,11.20,1009.48,1008.67,260
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.0,08-09-2019,22:00:00,9.00,5.6,23.4,28.78,1.50,97,29.50,1009.60,1007.76,110
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.2,08-09-2019,22:00:00,10.00,14.8,22.7,27.54,0.00,86,3.10,1009.21,1008.45,250
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.0,08-09-2019,22:00:00,10.00,9.3,23.2,28.48,4.40,90,19.20,1009.79,1005.76,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.0,08-09-2019,22:00:00,10.00,0.0,24.0,29.79,7.60,94,42.40,1011.70,1011.01,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.5,08-09-2019,22:00:00,9.00,0.0,23.3,28.63,0.40,93,11.20,1009.42,1008.29,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.2,08-09-2019,22:00:00,9.00,0.0,23.2,28.36,3.10,94,26.70,1009.99,1007.03,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.6,08-09-2019,22:00:00,7.00,0.0,23.0,28.09,3.00,96,3.00,1009.29,1008.59,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.2,08-09-2019,22:00:00,6.00,7.4,22.6,27.41,3.80,96,3.80,1010.80,1006.61,260
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,26.0,08-09-2019,22:00:00,6.00,18.5,22.1,26.63,0.10,79,0.10,1009.28,1008.69,280
