WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,WindDirection,Rainfall24Hr,DewPoint,StationPressure,Rainfall,LandVisibility,WindSpeed,VaporPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1002.71,08-30-2019,04:00:00,26.4,000,0.50,25.1,971.96,0.00,7.00,0.0,31.88,93
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1002.43,08-30-2019,04:00:00,19.7,000,0.00,19.4,842.34,0.00,8.00,0.0,22.48,98
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1000.42,08-30-2019,04:00:00,26.1,000,0.00,24.4,957.16,0.00,10.00,0.0,30.48,90
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1000.59,08-30-2019,04:00:00,25.2,000,0.00,24.0,955.29,0.00,12.00,0.0,29.89,93
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1001.09,08-30-2019,04:00:00,25.5,000,0.00,24.8,963.66,0.00,8.00,0.0,31.25,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1000.77,08-30-2019,04:00:00,25.5,070,0.00,24.9,955.96,0.00,10.00,5.6,31.52,97
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1001.09,08-30-2019,04:00:00,26.8,280,1.30,25.7,974.58,1.00,6.00,3.7,32.94,94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1000.87,08-30-2019,04:00:00,25.7,000,0.00,24.7,979.20,0.00,12.00,0.0,31.08,94
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1003.20,08-30-2019,04:00:00,26.0,000,0.00,24.6,979.17,0.00,6.00,0.0,30.84,92
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1002.02,08-30-2019,04:00:00,26.5,000,0.01,24.3,967.73,0.00,10.00,0.0,30.43,88
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1000.83,08-30-2019,04:00:00,26.3,000,1.20,25.9,973.48,0.00,10.00,0.0,33.35,98
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1001.71,08-30-2019,04:00:00,26.0,000,0.00,24.8,968.31,0.00,10.00,0.0,31.38,93
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,999.93,08-30-2019,04:00:00,26.7,000,0.00,25.8,981.57,0.00,10.00,0.0,33.30,95
48331,NAN,น่าน,น่าน,18.77972,100.77778,999.95,08-30-2019,04:00:00,27.2,000,0.00,26.3,977.35,0.00,10.00,0.0,34.31,95
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1000.83,08-30-2019,04:00:00,25.2,000,0.20,24.6,971.02,0.20,6.00,0.0,30.96,97
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,999.79,08-30-2019,04:00:00,26.5,000,0.00,25.8,964.58,0.00,7.00,0.0,33.19,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,997.46,08-30-2019,04:00:00,26.0,310,0.01,24.8,968.00,0.01,5.00,3.7,31.38,93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.89,08-30-2019,04:00:00,27.5,000,0.00,25.4,992.65,0.00,8.00,0.0,32.36,88
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,996.68,08-30-2019,04:00:00,27.8,310,0.00,26.1,977.05,0.00,10.00,7.4,33.82,91
48353,LOEI,เลย,เลย,17.45000,101.73333,997.72,08-30-2019,04:00:00,27.0,240,0.01,24.1,969.38,0.01,10.00,7.4,30.02,84
