WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,WindDirection,Rainfall24Hr,DewPoint,StationPressure,Rainfall,LandVisibility,WindSpeed,VaporPressure,RelativeHumidity
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,996.59,08-30-2019,04:00:00,27.0,300,1.30,25.1,976.64,1.30,10.00,13.0,31.94,90
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,995.48,08-30-2019,04:00:00,27.4,320,11.70,24.7,974.05,0.50,12.00,11.1,31.05,85
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,994.39,08-30-2019,04:00:00,26.9,290,16.00,25.6,975.16,0.00,10.00,13.0,32.86,93
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,993.75,08-30-2019,04:00:00,25.9,350,44.10,24.4,977.18,0.30,10.00,9.3,30.65,92
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,993.77,08-30-2019,04:00:00,25.9,120,47.20,24.7,976.54,0.50,10.00,3.7,31.19,93
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,996.51,08-30-2019,04:00:00,26.5,000,1.80,25.8,970.98,1.80,10.00,0.0,33.19,96
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.69,08-30-2019,04:00:00,27.6,270,0.00,24.4,993.95,0.00,10.00,11.1,30.61,83
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1001.50,08-30-2019,04:00:00,28.0,000,0.00,25.9,995.37,0.00,10.00,0.0,33.37,88
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1000.64,08-30-2019,04:00:00,26.3,000,0.00,24.9,984.28,0.00,8.00,0.0,31.41,92
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1001.61,08-30-2019,04:00:00,25.2,000,0.00,22.8,979.28,0.00,10.00,0.0,27.80,87
48376,TAK,ตาก,ตาก,16.87833,99.14333,1001.46,08-30-2019,04:00:00,27.7,270,0.00,22.2,987.18,0.00,10.00,16.7,26.78,72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1000.12,08-30-2019,04:00:00,28.8,120,0.00,23.3,983.95,0.00,7.00,9.3,28.54,72
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.42,08-30-2019,04:00:00,26.8,000,0.00,25.4,995.23,0.00,10.00,0.0,32.38,92
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,998.57,08-30-2019,04:00:00,26.7,000,0.00,24.8,985.47,0.00,10.00,0.0,31.35,90
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1000.29,08-30-2019,04:00:00,26.5,000,0.00,24.3,991.01,0.00,10.00,0.0,30.43,88
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,996.44,08-30-2019,04:00:00,25.4,280,15.40,24.8,974.88,11.60,6.00,18.5,31.33,97
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,999.32,08-30-2019,04:00:00,24.0,190,166.20,24.0,981.78,72.60,1.00,27.8,29.82,100
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,997.96,08-30-2019,04:00:00,24.0,000,104.90,23.3,982.11,25.40,9.00,0.0,28.53,96
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,995.15,08-30-2019,04:00:00,25.8,230,20.50,24.9,976.42,13.00,5.00,9.3,31.55,95
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1007.45,08-30-2019,04:00:00,23.4,000,1.00,22.5,955.82,0.00,6.00,0.0,27.24,95
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1000.25,08-30-2019,04:00:00,27.0,000,0.00,26.1,996.32,0.00,6.00,0.0,33.91,95
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1003.26,08-30-2019,04:00:00,20.7,250,0.01,20.2,908.28,0.00,.80,9.3,23.70,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,996.22,08-30-2019,04:00:00,24.5,300,166.60,24.2,980.27,0.80,2.00,5.6,30.20,98
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1000.24,08-30-2019,04:00:00,27.3,000,0.01,24.7,996.24,0.01,9.00,0.0,31.14,86
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1001.23,08-30-2019,04:00:00,26.0,000,2.40,25.0,990.58,0.10,6.00,0.0,31.65,94
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1001.48,08-30-2019,04:00:00,25.8,000,32.70,24.6,999.56,0.00,8.00,0.0,31.00,93
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,999.38,08-30-2019,04:00:00,25.2,240,6.40,24.9,978.56,4.80,6.00,3.7,31.49,98
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,995.67,08-30-2019,04:00:00,25.0,230,102.70,24.3,978.09,56.20,8.00,14.8,30.32,96
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,995.84,08-30-2019,04:00:00,24.8,240,85.50,24.4,979.75,52.40,5.00,16.7,30.48,97
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,998.61,08-30-2019,04:00:00,23.7,220,84.00,22.7,984.54,24.30,5.00,14.8,27.50,94
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,999.48,08-30-2019,04:00:00,23.7,000,109.00,23.5,984.60,17.60,5.00,0.0,29.03,99
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,999.08,08-30-2019,04:00:00,24.5,240,41.40,24.1,984.41,13.60,4.00,18.5,29.93,97
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1000.80,08-30-2019,04:00:00,27.1,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1.20,25.5,997.81,0.00,10.00,0.0,32.69,91
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1000.35,08-30-2019,04:00:00,26.5,000,0.20,24.9,992.44,0.20,7.00,0.0,31.52,91
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1001.65,08-30-2019,04:00:00,26.2,210,0.70,24.6,1000.55,0.70,6.00,5.6,30.94,91
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,998.81,08-30-2019,04:00:00,25.0,270,41.40,24.7,984.14,4.10,2.00,7.4,31.12,98
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1002.53,08-30-2019,04:00:00,19.1,270,5.60,18.9,867.97,3.40,.10,14.8,21.87,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.59,08-30-2019,04:00:00,25.6,180,0.80,23.8,994.72,0.60,8.00,5.6,29.56,90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1001.62,08-30-2019,04:00:00,26.8,230,0.20,23.9,1000.82,0.01,4.00,7.4,29.64,84
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1002.13,08-30-2019,04:00:00,28.4,240,2.20,23.8,1001.69,0.10,8.00,5.6,29.41,76
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1003.94,08-30-2019,04:00:00,24.6,000,0.00,23.7,992.59,0.00,3.00,0.0,29.33,95
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1001.65,08-30-2019,04:00:00,27.2,000,0.00,24.0,1000.64,0.00,10.00,0.0,29.85,83
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1001.24,08-30-2019,04:00:00,26.0,150,0.60,24.6,999.42,0.20,7.00,5.6,30.84,92
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1001.43,08-30-2019,04:00:00,27.5,230,0.20,22.3,1000.67,0.00,3.00,3.7,26.95,73
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1002.01,08-30-2019,04:00:00,26.3,240,0.01,22.4,1001.31,0.00,10.00,11.1,27.15,79
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1001.44,08-30-2019,04:00:00,26.7,000,1.30,25.0,1000.74,0.80,6.00,0.0,31.63,90
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,999.63,08-30-2019,04:00:00,25.2,250,4.30,24.0,978.51,1.20,6.00,7.4,29.89,93
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,999.58,08-30-2019,04:00:00,24.9,220,12.30,24.0,982.88,3.20,5.00,5.6,29.87,95
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1000.22,08-30-2019,04:00:00,24.7,210,13.50,23.7,983.78,3.70,5.00,7.4,29.25,94
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1006.88,08-30-2019,04:00:00,25.1,000,4.00,24.2,984.90,2.30,4.00,0.0,30.23,95
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1006.40,08-30-2019,04:00:00,23.9,190,4.70,22.6,962.75,1.40,8.00,14.8,27.34,92
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,999.45,08-30-2019,04:00:00,25.2,230,5.10,24.0,978.93,1.30,3.00,3.7,29.89,93
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,999.96,08-30-2019,04:00:00,24.3,230,15.20,24.3,979.11,9.00,6.00,20.4,30.36,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1002.26,08-30-2019,04:00:00,26.2,280,0.70,23.3,1001.83,0.00,10.00,3.7,28.54,84
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1001.33,08-30-2019,04:00:00,25.8,000,1.40,24.6,999.92,1.00,6.00,0.0,31.00,93
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.97,08-30-2019,04:00:00,25.2,000,10.00,24.9,997.03,1.20,6.00,0.0,31.49,98
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.11,08-30-2019,04:00:00,27.7,260,0.00,22.5,998.84,0.00,10.00,7.4,27.31,74
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1001.67,08-30-2019,04:00:00,26.8,250,0.01,23.3,1000.57,0.00,10.00,3.7,28.57,81
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1002.09,08-30-2019,04:00:00,27.5,000,0.01,22.8,1001.79,0.00,10.00,0.0,27.73,76
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1002.46,08-30-2019,04:00:00,27.2,000,0.00,24.0,1001.98,0.00,10.00,0.0,29.85,83
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1001.73,08-30-2019,04:00:00,27.3,240,0.00,22.9,1000.33,0.00,10.00,16.7,27.90,77
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.98,08-30-2019,04:00:00,25.0,000,6.30,23.5,995.95,2.30,10.00,0.0,29.00,92
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1001.96,08-30-2019,04:00:00,28.0,000,0.50,23.9,1001.68,0.20,10.00,0.0,29.74,79
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.20,08-30-2019,04:00:00,27.2,000,0.70,24.3,999.08,0.00,10.00,0.0,30.39,84
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1002.78,08-30-2019,04:00:00,28.0,210,0.00,23.6,995.89,0.00,10.00,13.0,29.19,77
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.69,08-30-2019,04:00:00,25.5,000,2.80,24.8,996.09,0.20,7.00,0.0,31.25,96
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1003.42,08-30-2019,04:00:00,25.3,270,2.30,23.7,1002.16,0.00,10.00,3.7,29.28,91
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1002.43,08-30-2019,04:00:00,26.9,000,6.30,22.6,1002.00,0.00,11.00,0.0,27.44,77
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1002.85,08-30-2019,04:00:00,24.6,000,0.00,23.0,990.55,0.00,8.00,0.0,28.03,91
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1002.52,08-30-2019,04:00:00,26.7,000,0.00,23.2,1001.81,0.00,10.00,0.0,28.39,81
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.35,08-30-2019,04:00:00,28.5,230,0.01,22.8,1001.93,0.01,10.00,7.4,27.71,71
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1002.51,08-30-2019,04:00:00,28.5,270,0.90,23.6,1002.00,0.00,10.00,16.7,29.05,75
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.49,08-30-2019,04:00:00,27.2,300,0.01,22.6,997.36,0.00,9.00,5.6,27.45,76
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1002.57,08-30-2019,04:00:00,26.5,000,8.80,24.6,1002.15,0.30,7.00,0.0,30.97,89
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1003.10,08-30-2019,04:00:00,26.0,000,40.70,25.3,1000.34,0.00,8.00,0.0,32.20,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1003.52,08-30-2019,04:00:00,26.8,210,2.80,23.9,1002.74,0.00,10.00,11.1,29.64,84
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1002.70,08-30-2019,04:00:00,27.0,230,75.50,24.8,1002.25,0.70,6.00,9.3,31.38,88
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1004.33,08-30-2019,04:00:00,24.9,000,13.60,23.9,1003.65,0.00,8.00,0.0,29.61,94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.17,08-30-2019,04:00:00,24.2,000,31.40,22.1,1003.63,0.00,7.00,0.0,26.59,88
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1005.21,08-30-2019,04:00:00,25.2,200,53.90,24.0,1004.29,0.60,10.00,7.4,29.89,93
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1005.30,08-30-2019,04:00:00,26.9,000,0.50,23.4,1004.61,0.00,10.00,0.0,28.76,81
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1005.76,08-30-2019,04:00:00,23.7,200,6.80,23.5,1004.96,0.40,7.00,3.7,29.03,99
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1006.09,08-30-2019,04:00:00,23.9,000,9.90,23.3,1005.45,0.00,10.00,0.0,28.61,97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1006.12,08-30-2019,04:00:00,24.0,210,7.60,23.6,1005.71,0.60,10.00,7.4,29.04,97
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.96,08-30-2019,04:00:00,25.5,230,5.20,22.5,1002.73,0.00,5.00,7.4,27.29,84
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.15,08-30-2019,04:00:00,23.3,000,17.00,23.0,1006.52,0.40,9.00,0.0,28.08,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.32,08-30-2019,04:00:00,23.5,000,22.40,22.8,1003.80,0.00,8.00,0.0,27.66,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.05,08-30-2019,04:00:00,25.0,280,8.30,24.1,1004.69,0.30,6.00,9.3,30.05,95
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1005.91,08-30-2019,04:00:00,24.6,120,63.00,24.4,1005.02,1.00,10.00,5.6,30.65,99
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.42,08-30-2019,04:00:00,23.5,000,67.80,23.3,1002.83,21.70,7.00,0.0,28.68,99
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1006.91,08-30-2019,04:00:00,26.0,000,5.80,24.3,1006.47,4.00,6.00,0.0,30.30,90
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.06,08-30-2019,04:00:00,27.2,290,25.40,24.0,1006.06,13.40,10.00,9.3,29.85,83
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1006.41,08-30-2019,04:00:00,26.1,280,0.00,23.6,1005.59,0.00,10.00,11.1,29.15,86
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.42,08-30-2019,04:00:00,24.0,000,25.90,23.3,1004.59,0.60,8.00,0.0,28.53,96
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.46,08-30-2019,04:00:00,25.1,300,1.00,23.2,1005.71,0.00,11.00,1.9,28.40,89
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.41,08-30-2019,04:00:00,24.0,240,22.60,23.4,1002.38,0.00,10.00,5.6,28.78,97
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1007.04,08-30-2019,04:00:00,24.8,000,20.20,23.9,1006.35,8.00,7.00,0.0,29.69,95
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.09,08-30-2019,04:00:00,23.8,000,8.40,23.2,1005.96,0.00,10.00,0.0,28.43,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.84,08-30-2019,04:00:00,24.2,000,16.90,23.8,1003.89,0.00,10.00,0.0,29.39,97
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1006.49,08-30-2019,04:00:00,24.5,000,0.30,22.7,1005.89,0.00,8.00,0.0,27.60,90
