WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,WindSpeed,RelativeHumidity,Rainfall24Hr,MinimumTemperature,DewPoint,MeanSeaLevelPressure,VaporPressure,WindDirection,StationPressure,LandVisibility
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,9.40,08-31-2019,07:00:00,24.6,11.1,97,96.90,22.5,24.2,1001.44,30.12,190,982.51,7.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-31-2019,07:00:00,23.0,0.0,94,11.20,21.5,21.9,1002.39,26.33,000,950.96,8.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10.20,08-31-2019,07:00:00,24.8,9.3,97,112.20,24.6,24.4,1002.23,30.48,170,998.26,4.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,6.20,08-31-2019,07:00:00,20.4,9.3,98,71.30,19.8,20.1,1002.14,23.49,270,907.17,.40
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,2.80,08-31-2019,07:00:00,25.0,5.6,96,119.80,22.8,24.3,1002.82,30.32,190,986.79,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,3.10,08-31-2019,07:00:00,25.0,0.0,97,54.10,24.5,24.4,1002.03,30.58,000,997.99,5.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,2.60,08-31-2019,07:00:00,24.5,0.0,97,53.30,24.2,24.1,1003.73,29.93,000,993.00,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.30,08-31-2019,07:00:00,25.0,0.0,92,15.00,24.4,23.5,1002.85,29.00,000,1000.92,6.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,2.30,08-31-2019,07:00:00,24.1,5.6,97,72.30,23.8,23.5,1002.58,28.96,180,981.61,7.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-31-2019,07:00:00,25.2,18.5,93,168.30,23.5,24.0,1003.25,29.89,180,985.55,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.20,08-31-2019,07:00:00,25.1,7.4,96,172.20,23.7,24.4,1002.99,30.50,160,986.80,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,2.50,08-31-2019,07:00:00,24.9,7.4,96,9.80,24.2,24.2,1004.94,30.13,160,990.84,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1.60,08-31-2019,07:00:00,24.5,0.0,97,8.40,23.5,24.1,1005.32,29.93,000,990.39,7.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.10,08-31-2019,07:00:00,25.0,0.0,97,8.50,24.0,24.4,1005.32,30.58,000,990.57,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,2.20,08-31-2019,07:00:00,25.2,0.0,97,29.80,24.6,24.6,1001.77,30.96,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",998.75,7.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,2.80,08-31-2019,07:00:00,24.8,0.0,96,50.40,24.2,24.1,1002.95,29.95,000,994.98,8.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-31-2019,07:00:00,25.5,5.6,93,2.40,24.6,24.3,1002.45,30.44,130,1001.34,7.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,7.10,08-31-2019,07:00:00,26.8,0.0,94,93.10,23.4,25.7,1002.03,32.94,000,987.41,6.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.40,08-31-2019,07:00:00,19.2,13.0,99,39.60,18.6,19.0,1004.64,22.01,190,869.85,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,2.80,08-31-2019,07:00:00,25.0,0.0,98,59.80,23.9,24.7,1003.29,31.12,000,997.39,5.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-31-2019,07:00:00,26.0,0.0,92,1.50,25.5,24.6,1003.26,30.84,000,1002.46,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-31-2019,07:00:00,28.0,11.1,79,0.50,27.8,24.1,1002.93,30.01,230,1002.48,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,08-31-2019,07:00:00,24.8,0.0,96,0.20,24.3,24.1,1003.57,29.95,000,992.22,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.01,08-31-2019,07:00:00,26.2,0.0,90,0.40,25.5,24.5,1002.93,30.67,000,1001.92,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.20,08-31-2019,07:00:00,25.0,0.0,96,5.80,25.0,24.3,1002.81,30.32,000,1000.98,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-31-2019,07:00:00,25.7,0.0,89,0.20,25.2,23.8,1003.06,29.48,000,1002.29,6.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-31-2019,07:00:00,27.7,11.1,80,0.60,25.9,23.9,1003.25,29.71,190,1002.55,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.30,08-31-2019,07:00:00,26.5,3.7,92,5.60,25.8,25.1,1002.82,31.79,240,1002.12,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.10,08-31-2019,07:00:00,24.4,0.0,98,56.20,23.7,24.1,1003.18,30.02,000,981.92,6.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.10,08-31-2019,07:00:00,25.1,0.0,94,25.40,23.7,24.1,1004.22,29.97,000,987.44,6.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.20,08-31-2019,07:00:00,24.8,5.6,96,32.20,23.5,24.1,1004.86,29.95,230,988.35,8.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,08-31-2019,07:00:00,24.5,0.0,96,50.30,24.3,23.8,1003.27,29.41,000,981.32,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.01,08-31-2019,07:00:00,24.5,7.4,83,9.40,23.6,21.5,1003.37,25.60,250,959.93,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.20,08-31-2019,07:00:00,24.8,0.0,97,36.60,24.0,24.4,1003.81,30.48,000,983.17,8.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-31-2019,07:00:00,24.8,16.7,100,73.00,23.9,24.8,1005.18,31.28,180,984.26,7.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-31-2019,07:00:00,28.0,9.3,79,0.01,27.2,23.9,1002.79,29.74,210,1002.36,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-31-2019,07:00:00,25.0,0.0,96,8.20,24.8,24.3,1003.49,30.32,000,1002.07,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-31-2019,07:00:00,25.9,0.0,91,5.40,25.0,24.3,1003.76,30.38,000,998.82,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-31-2019,07:00:00,26.3,0.0,85,0.20,24.5,23.5,1002.99,28.98,000,999.70,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,08-31-2019,07:00:00,25.9,0.0,92,0.50,25.2,24.4,1003.11,30.65,000,1002.01,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-31-2019,07:00:00,28.0,7.4,83,1.00,27.5,24.8,1003.16,31.39,210,1002.86,8.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-31-2019,07:00:00,27.5,0.0,84,1.20,27.0,24.6,1003.25,30.97,000,1002.57,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-31-2019,07:00:00,26.5,0.0,94,1.40,26.1,25.5,1002.24,32.63,000,1001.75,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-31-2019,07:00:00,27.4,7.4,83,1.40,26.1,24.2,1003.10,30.23,180,1001.70,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.01,08-31-2019,07:00:00,28.4,31.5,91,0.01,27.6,26.9,1003.09,35.36,200,1001.43,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-31-2019,07:00:00,25.8,0.0,87,3.90,25.3,23.5,1005.38,28.87,000,997.35,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-31-2019,07:00:00,28.0,0.0,77,0.01,27.1,23.6,1003.62,29.19,000,1003.34,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-31-2019,07:00:00,28.4,7.4,77,0.01,27.0,23.9,1003.56,29.68,100,1000.45,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-31-2019,07:00:00,27.8,0.0,80,0.00,26.8,24.0,1003.80,29.90,000,996.90,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-31-2019,07:00:00,25.4,0.0,93,1.20,24.5,24.2,1004.51,30.25,000,998.90,10.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-31-2019,07:00:00,28.3,0.0,88,0.00,26.5,26.2,1003.94,33.99,000,994.69,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-31-2019,07:00:00,25.5,0.0,93,0.01,25.4,24.2,1008.60,30.17,000,1007.33,12.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.01,08-31-2019,07:00:00,27.6,5.6,79,0.01,26.1,23.5,1003.38,28.98,230,1002.95,8.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-31-2019,07:00:00,25.5,0.0,88,0.60,25.2,23.3,1003.85,28.59,000,991.57,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-31-2019,07:00:00,27.5,0.0,81,0.00,26.1,23.9,1003.82,29.60,000,1003.11,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-31-2019,07:00:00,28.8,14.8,76,0.01,27.5,24.0,1004.35,29.90,240,1001.93,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-31-2019,07:00:00,28.5,27.8,81,0.01,27.8,24.9,1004.37,31.54,250,1003.85,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-31-2019,07:00:00,27.9,9.3,77,0.10,27.1,23.5,1003.99,29.01,270,998.87,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1.80,08-31-2019,07:00:00,26.9,0.0,91,5.30,26.4,25.3,1004.90,32.30,000,1004.49,5.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-31-2019,07:00:00,27.5,5.6,84,2.90,25.8,24.6,1005.39,30.97,200,1002.63,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-31-2019,07:00:00,25.7,3.7,92,16.70,24.3,24.2,1004.96,30.28,210,1004.17,4.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,08-31-2019,07:00:00,27.0,9.3,92,11.60,25.9,25.6,1006.14,32.77,240,1005.68,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,08-31-2019,07:00:00,24.5,0.0,96,48.60,24.3,23.8,1005.97,29.41,000,1005.29,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-31-2019,07:00:00,24.8,3.7,90,39.60,24.4,23.0,1005.92,28.13,260,1004.39,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,6.90,08-31-2019,07:00:00,24.1,5.6,95,65.90,24.0,23.2,1007.05,28.44,190,1006.13,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-31-2019,07:00:00,27.2,5.6,82,1.50,25.2,23.9,1006.55,29.58,260,1005.86,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-31-2019,07:00:00,24.0,0.0,98,10.60,23.5,23.7,1007.25,29.30,000,1006.45,9.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-31-2019,07:00:00,25.7,0.0,89,4.70,24.8,23.8,1006.44,29.48,000,1005.81,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-31-2019,07:00:00,25.7,11.1,96,2.40,24.2,25.0,1007.31,31.63,170,1006.90,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-31-2019,07:00:00,26.7,0.0,82,1.20,25.3,23.3,1008.47,28.65,000,1004.26,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-31-2019,07:00:00,23.2,0.0,98,14.30,22.9,22.9,1007.57,27.91,000,1005.94,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-31-2019,07:00:00,23.5,0.0,98,14.80,23.0,23.2,1007.93,28.42,000,1004.42,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-31-2019,07:00:00,23.3,0.0,99,16.10,23.3,23.1,1007.42,28.33,000,1006.05,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-31-2019,07:00:00,28.0,11.1,79,44.00,24.5,24.1,1006.46,30.01,240,1005.58,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-31-2019,07:00:00,24.0,0.0,99,30.80,22.9,23.8,1007.33,29.56,000,1003.74,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.20,08-31-2019,07:00:00,25.2,0.0,97,21.00,24.2,24.6,1007.33,30.96,000,1006.89,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-31-2019,07:00:00,25.8,0.0,96,60.20,22.2,25.1,1007.06,31.82,000,1006.06,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-31-2019,07:00:00,25.9,0.0,93,26.60,24.6,24.6,1007.50,30.92,000,1006.68,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-31-2019,07:00:00,23.3,0.0,98,42.20,22.7,23.0,1007.73,28.08,000,1005.89,7.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-31-2019,07:00:00,24.7,0.0,94,16.80,23.8,23.7,1007.53,29.25,000,1006.77,8.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-31-2019,07:00:00,23.6,0.0,99,10.40,21.5,23.4,1007.57,28.85,000,1003.53,3.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-31-2019,07:00:00,23.5,0.0,96,18.80,22.6,22.8,1008.49,27.66,000,1007.79,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-31-2019,07:00:00,23.9,0.0,97,3.60,23.2,23.5,1006.99,28.86,000,1005.86,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-31-2019,07:00:00,22.8,0.0,98,25.90,21.0,22.5,1007.65,27.24,000,1004.69,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-31-2019,07:00:00,23.6,0.0,98,0.80,23.0,23.3,1007.28,28.60,000,1006.58,8.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-31-2019,07:00:00,23.8,0.0,97,0.00,23.5,23.2,1007.94,28.43,000,1003.77,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-31-2019,07:00:00,25.0,0.0,92,0.00,.0,23.5,1008.43,29.00,000,1007.84,9.00
