WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,WindSpeed,RelativeHumidity,Rainfall24Hr,MinimumTemperature,DewPoint,MeanSeaLevelPressure,VaporPressure,WindDirection,StationPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,34.30,08-31-2019,07:00:00,25.0,0.0,95,34.40,22.4,24.1,1000.53,30.05,000,969.71,2.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-31-2019,07:00:00,18.4,14.8,99,2.60,18.2,18.2,1001.41,20.93,120,840.85,7.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-31-2019,07:00:00,26.0,5.6,87,1.00,25.2,23.7,1001.84,29.23,020,958.50,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-31-2019,07:00:00,24.8,0.0,96,2.00,22.8,24.1,1001.63,29.95,000,956.23,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-31-2019,07:00:00,24.0,0.0,96,9.40,23.3,23.3,1001.63,28.53,000,963.99,10.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-31-2019,07:00:00,24.6,0.0,97,29.60,23.8,24.2,1001.28,30.12,000,956.31,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-31-2019,07:00:00,24.9,0.0,97,12.10,24.4,24.3,1001.33,30.40,000,974.65,7.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,14.90,08-31-2019,07:00:00,24.0,0.0,98,97.30,23.8,23.7,1001.71,29.30,000,979.90,5.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,15.30,08-31-2019,07:00:00,24.5,0.0,97,25.20,23.3,24.1,1001.64,29.93,000,977.53,4.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.60,08-31-2019,07:00:00,25.0,0.0,93,9.20,24.5,23.8,1001.21,29.52,000,966.79,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.60,08-31-2019,07:00:00,24.0,0.0,97,32.90,23.2,23.6,1002.44,29.04,000,974.83,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-31-2019,07:00:00,24.9,0.0,94,20.50,24.8,23.9,1001.01,29.61,000,967.51,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.80,08-31-2019,07:00:00,24.7,0.0,97,61.00,24.4,24.3,1001.33,30.30,000,982.82,2.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-31-2019,07:00:00,25.0,0.0,96,3.70,24.8,24.3,1001.08,30.32,000,978.29,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-31-2019,07:00:00,24.0,0.0,98,16.00,23.8,23.7,1001.42,29.30,000,971.48,8.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,3.80,08-31-2019,07:00:00,24.5,0.0,91,49.60,23.5,22.9,1001.64,27.86,000,966.13,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.30,08-31-2019,07:00:00,23.0,0.0,99,60.70,22.9,22.8,1000.75,27.82,000,970.90,3.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-31-2019,07:00:00,26.0,0.0,95,36.60,25.4,25.1,1001.08,31.93,000,993.80,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,4.20,08-31-2019,07:00:00,24.0,13.0,100,29.60,23.2,24.0,1001.56,29.82,150,981.59,10.00
48353,LOEI,เลย,เลย,17.45000,101.73333,4.10,08-31-2019,07:00:00,23.6,7.4,95,29.60,23.3,22.7,1000.83,27.58,280,972.07,5.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.30,08-31-2019,07:00:00,24.0,7.4,94,30.80,23.7,23.0,1001.24,28.01,130,981.00,6.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.40,08-31-2019,07:00:00,23.8,0.0,94,57.00,23.5,22.8,1004.11,27.67,000,982.23,5.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,9.20,08-31-2019,07:00:00,23.7,7.4,98,48.40,23.0,23.4,1002.98,28.77,350,983.37,8.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,7.00,08-31-2019,07:00:00,24.5,0.0,92,52.60,23.3,23.2,1004.68,28.37,000,987.84,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.40,08-31-2019,07:00:00,24.4,0.0,97,69.50,22.2,23.8,1004.86,29.49,000,987.35,8.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,2.40,08-31-2019,07:00:00,23.3,9.3,99,30.80,23.1,23.1,1000.08,28.33,170,974.19,9.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.50,08-31-2019,07:00:00,25.0,5.6,97,34.30,22.9,24.6,1000.95,30.85,270,995.16,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.60,08-31-2019,07:00:00,24.7,5.6,100,42.50,24.5,24.7,1001.10,31.10,230,994.90,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.01,08-31-2019,07:00:00,24.3,9.3,96,84.40,23.9,23.6,1002.21,29.05,170,985.71,7.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,11.50,08-31-2019,07:00:00,23.8,0.0,96,50.50,23.0,23.1,1000.98,28.18,000,978.56,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,4.80,08-31-2019,07:00:00,24.3,0.0,96,50.70,23.7,23.6,1002.06,29.05,000,987.62,5.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,12.50,08-31-2019,07:00:00,24.0,0.0,97,101.90,23.8,23.4,1001.54,28.78,000,985.09,6.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.90,08-31-2019,07:00:00,24.9,0.0,97,52.40,24.0,24.3,1001.85,30.40,000,996.61,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,39.50,08-31-2019,07:00:00,24.0,0.0,97,105.10,23.3,23.6,1000.67,29.04,000,987.42,5.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,2.70,08-31-2019,07:00:00,24.6,0.0,99,80.10,23.9,24.4,1002.01,30.65,000,992.66,5.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,6.20,08-31-2019,07:00:00,24.0,9.3,99,57.10,22.6,23.8,1002.32,29.56,180,980.52,6.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,3.80,08-31-2019,07:00:00,24.5,11.1,100,183.70,22.5,24.5,1002.96,30.73,180,985.39,6.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.50,08-31-2019,07:00:00,24.8,3.7,95,123.70,22.8,23.9,1003.25,29.69,120,987.36,10.00
