WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,WindSpeed,Rainfall,DewPoint,MeanSeaLevelPressure,StationPressure,WindDirection,AirTemperature,VaporPressure,Rainfall24Hr
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,57,08-06-2019,10:00:00,10.00,7.4,0.00,23.8,1008.28,1007.89,270,33.4,29.50,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,65,08-06-2019,10:00:00,8.00,9.3,0.00,23.2,1009.82,1005.65,250,30.6,28.42,2.50
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,59,08-06-2019,10:00:00,10.00,11.1,0.00,22.1,1008.53,1006.94,280,31.1,26.65,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,68,08-06-2019,10:00:00,12.00,0.0,0.00,24.3,1008.75,1005.31,000,31.0,30.33,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,74,08-06-2019,10:00:00,8.00,5.6,0.00,25.3,1008.46,1007.12,180,30.4,32.26,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,63,08-06-2019,10:00:00,10.00,14.8,0.00,23.1,1008.64,1007.77,240,31.1,28.29,2.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,59,08-06-2019,10:00:00,10.00,0.0,0.00,23.0,1008.48,1004.98,000,32.0,28.10,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,55,08-06-2019,10:00:00,10.00,13.0,0.00,22.4,1008.52,1008.09,280,32.6,27.05,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,62,08-06-2019,10:00:00,10.00,5.6,0.00,24.0,1008.29,1007.32,310,32.2,29.91,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,75,08-06-2019,10:00:00,10.00,20.4,0.00,25.7,1008.79,1007.98,280,30.8,33.09,6.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,72,08-06-2019,10:00:00,10.00,5.6,0.00,25.9,1008.61,1006.82,230,31.5,33.40,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,63,08-06-2019,10:00:00,10.00,3.7,0.00,23.9,1008.83,1008.09,220,31.9,29.59,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,72,08-06-2019,10:00:00,10.00,9.3,0.00,24.9,1009.19,1005.23,190,30.6,31.51,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,65,08-06-2019,10:00:00,10.00,5.6,0.00,24.0,1009.39,1008.72,260,31.3,29.80,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,68,08-06-2019,10:00:00,10.00,5.6,0.00,24.5,1008.85,1007.75,220,31.2,30.73,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,72,08-06-2019,10:00:00,11.00,13.0,0.00,25.7,1009.12,1006.24,260,31.5,33.10,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,78,08-06-2019,10:00:00,8.00,0.0,0.00,25.8,1008.09,1007.41,000,30.0,33.17,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,71,08-06-2019,10:00:00,8.00,7.4,0.00,23.8,1009.50,1005.40,230,29.7,29.44,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,74,08-06-2019,10:00:00,10.00,5.6,0.00,23.4,1009.18,1008.59,280,28.5,28.78,0.00
