WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,LandVisibility,WindDirection,AirTemperature,VaporPressure,RelativeHumidity,Rainfall,StationPressure,DewPoint,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,32.5,08-23-2019,19:00:00,10.00,000,29.6,33.20,80,0.00,1006.92,25.8,0.0,1007.40,4.40
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,32.4,08-23-2019,19:00:00,10.00,190,29.9,31.80,75,0.00,1006.11,25.1,11.1,1007.50,1.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.5,08-23-2019,19:00:00,10.00,170,29.5,37.77,92,0.00,1005.94,28.0,22.2,1007.60,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,35.3,08-23-2019,19:00:00,10.00,000,28.2,33.20,87,0.00,1001.01,25.8,0.0,1009.00,0.01
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.5,08-23-2019,19:00:00,10.00,000,30.0,29.47,69,0.00,1007.06,23.8,0.0,1007.35,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.5,08-23-2019,19:00:00,10.00,000,29.0,31.13,78,0.00,1004.25,24.7,0.0,1007.36,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.0,08-23-2019,19:00:00,10.00,210,29.0,31.13,78,0.00,1000.63,24.7,5.6,1007.53,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,34.8,08-23-2019,19:00:00,7.00,000,26.0,31.38,93,1.30,1002.50,24.8,0.0,1008.12,23.90
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,33.2,08-23-2019,19:00:00,10.00,210,29.4,31.65,77,0.00,998.58,25.0,14.8,1007.83,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,33.1,08-23-2019,19:00:00,10.00,280,28.7,29.16,74,0.01,1007.13,23.6,3.7,1008.39,0.01
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.6,08-23-2019,19:00:00,11.00,300,30.2,27.93,65,0.00,1006.91,22.9,5.6,1007.34,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,33.0,08-23-2019,19:00:00,10.00,000,28.3,27.08,70,0.00,995.93,22.4,0.0,1008.14,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,33.8,08-23-2019,19:00:00,10.00,000,29.5,28.50,69,0.00,1007.07,23.2,0.0,1007.78,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,34.3,08-23-2019,19:00:00,10.00,180,30.8,29.65,67,0.01,1005.62,23.9,7.4,1008.03,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.4,08-23-2019,19:00:00,10.00,220,29.3,31.45,77,0.00,1007.46,24.9,14.8,1007.98,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,33.7,08-23-2019,19:00:00,10.00,200,28.9,30.10,76,0.00,1002.51,24.1,5.6,1007.64,0.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.8,08-23-2019,19:00:00,7.00,180,29.0,31.69,79,0.00,1008.09,25.0,5.6,1008.50,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.5,08-23-2019,19:00:00,8.00,000,28.0,31.95,85,0.00,1006.43,25.1,0.0,1009.19,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,38.0,08-23-2019,19:00:00,10.00,310,28.5,26.91,69,0.00,1007.33,22.3,18.5,1008.12,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.0,08-23-2019,19:00:00,8.00,290,28.5,32.96,85,0.00,1008.39,25.7,5.6,1008.85,1.30
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.4,08-23-2019,19:00:00,8.00,260,27.2,29.58,82,0.00,1008.70,23.9,3.7,1009.38,0.60
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,31.5,08-23-2019,19:00:00,8.00,000,27.2,28.51,79,0.00,1007.48,23.2,0.0,1009.01,1.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.0,08-23-2019,19:00:00,8.00,250,27.0,32.77,92,0.01,1010.04,25.6,9.3,1010.96,8.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,35.7,08-23-2019,19:00:00,12.00,000,29.3,28.94,71,0.00,1008.76,23.5,0.0,1009.44,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,34.0,08-23-2019,19:00:00,10.00,000,29.0,31.13,78,0.00,1009.31,24.7,0.0,1010.11,1.50
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,35.0,08-23-2019,19:00:00,10.00,000,28.4,28.59,74,0.00,1008.54,23.3,0.0,1009.18,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,36.2,08-23-2019,19:00:00,10.00,000,29.4,28.59,70,0.00,1008.89,23.3,0.0,1009.29,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,34.6,08-23-2019,19:00:00,6.00,000,28.8,27.46,69,0.00,1007.40,22.6,0.0,1011.60,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,33.4,08-23-2019,19:00:00,8.00,000,27.6,29.52,80,0.00,1008.27,23.8,0.0,1009.88,8.50
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.2,08-23-2019,19:00:00,10.00,000,25.5,30.44,93,0.00,1006.61,24.3,0.0,1010.11,1.90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,33.8,08-23-2019,19:00:00,8.00,000,28.2,28.49,75,0.00,1007.93,23.2,0.0,1009.28,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.5,08-23-2019,19:00:00,10.00,340,28.0,31.95,85,0.00,1008.88,25.1,11.1,1009.76,27.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,31.7,08-23-2019,19:00:00,10.00,000,27.8,32.12,86,0.00,1005.87,25.2,0.0,1009.43,17.80
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.5,08-23-2019,19:00:00,10.00,000,28.6,32.88,84,0.00,1009.66,25.6,0.0,1010.10,29.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.5,08-23-2019,19:00:00,10.00,210,28.5,31.54,81,0.00,1008.56,24.9,5.6,1009.55,24.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.9,08-23-2019,19:00:00,10.00,000,27.4,30.78,84,0.00,1008.81,24.5,0.0,1009.62,42.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,32.9,08-23-2019,19:00:00,10.00,000,28.0,30.56,81,0.00,1007.98,24.4,0.0,1009.79,1.30
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,33.5,08-23-2019,19:00:00,11.00,060,30.0,30.59,72,0.00,1008.89,24.4,1.9,1009.63,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,34.3,08-23-2019,19:00:00,10.00,290,30.0,28.37,67,0.00,1005.36,23.2,5.6,1009.32,1.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,33.4,08-23-2019,19:00:00,10.00,000,29.8,29.91,71,0.00,1008.87,24.0,0.0,1009.54,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,34.2,08-23-2019,19:00:00,10.00,000,29.5,34.16,83,0.00,1007.80,26.3,0.0,1008.91,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,33.2,08-23-2019,19:00:00,10.00,000,29.9,33.25,79,0.00,1006.49,25.8,0.0,1009.39,0.01
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,34.9,08-23-2019,19:00:00,8.00,000,26.8,32.94,94,3.10,1008.62,25.7,0.0,1009.31,3.10
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,35.4,08-23-2019,19:00:00,6.00,000,25.6,28.77,88,6.00,1005.60,23.4,0.0,1009.76,6.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,33.9,08-23-2019,19:00:00,10.00,000,30.0,27.55,65,0.00,1010.18,22.7,0.0,1010.77,0.00
