WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,StationPressure,Rainfall,AirTemperature,RelativeHumidity,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.4,09-14-2019,13:00:00,12.00,976.09,0.00,31.7,69,32.35,1006.42,0.01,0.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.4,09-14-2019,13:00:00,8.00,846.94,0.00,21.0,91,22.54,1007.15,0.00,24.1,100
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.8,09-14-2019,13:00:00,15.00,964.68,0.00,30.4,68,29.42,1007.65,21.40,5.6,330
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.9,09-14-2019,13:00:00,15.00,963.25,0.00,32.0,66,31.52,1007.89,0.20,0.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.2,09-14-2019,13:00:00,12.00,970.17,0.00,33.1,63,32.08,1006.91,0.20,0.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.4,09-14-2019,13:00:00,8.00,963.72,0.00,28.5,74,28.78,1008.44,0.00,16.7,180
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.0,09-14-2019,13:00:00,12.00,981.30,0.00,33.7,60,31.59,1007.38,0.00,0.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.5,09-14-2019,13:00:00,15.00,985.37,0.00,31.2,68,30.73,1006.78,3.90,24.1,140
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.1,09-14-2019,13:00:00,10.00,982.61,0.00,32.0,63,30.08,1006.25,0.00,0.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.6,09-14-2019,13:00:00,12.00,972.99,0.00,33.6,56,29.04,1006.66,29.70,3.7,360
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.7,09-14-2019,13:00:00,10.00,980.69,0.60,29.6,71,29.24,1007.95,0.60,3.7,300
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.8,09-14-2019,13:00:00,12.00,973.64,0.00,33.0,62,31.28,1006.45,0.80,0.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.3,09-14-2019,13:00:00,15.00,988.53,0.10,31.9,68,32.19,1006.70,0.30,3.7,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.7,09-14-2019,13:00:00,10.00,984.72,0.00,33.5,60,31.16,1007.02,0.20,0.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.8,09-14-2019,13:00:00,12.00,977.36,0.00,32.4,57,27.77,1006.64,0.00,0.0,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.9,09-14-2019,13:00:00,6.00,972.53,6.00,25.8,95,31.55,1008.11,6.00,11.1,180
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.8,09-14-2019,13:00:00,16.00,977.59,0.00,32.0,70,33.29,1006.75,4.50,5.6,100
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.5,09-14-2019,13:00:00,11.00,999.25,0.00,33.0,61,30.69,1006.41,16.70,7.4,090
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.6,09-14-2019,13:00:00,20.00,987.80,0.00,34.0,62,32.84,1007.24,0.40,13.0,100
48353,LOEI,เลย,เลย,17.45000,101.73333,23.5,09-14-2019,13:00:00,15.00,979.52,0.00,33.0,58,28.97,1007.60,4.30,9.3,130
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.8,09-14-2019,13:00:00,15.00,987.81,0.00,32.7,56,27.80,1007.60,0.00,7.4,040
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.4,09-14-2019,13:00:00,15.00,986.76,0.00,31.9,61,28.74,1008.15,0.00,7.4,100
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.4,09-14-2019,13:00:00,15.00,988.04,0.00,31.8,61,28.82,1007.22,0.00,5.6,110
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.2,09-14-2019,13:00:00,12.00,990.74,0.00,33.0,60,30.11,1007.15,0.00,0.0,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.7,09-14-2019,13:00:00,10.00,990.79,0.00,32.4,64,31.19,1007.89,0.00,3.7,090
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.1,09-14-2019,13:00:00,15.00,980.89,0.00,32.4,58,28.33,1006.18,0.00,9.3,070
