WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,StationPressure,Rainfall,AirTemperature,RelativeHumidity,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,WindDirection
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.6,09-14-2019,13:00:00,10.00,1000.79,0.00,33.6,71,36.88,1006.45,0.00,3.7,330
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.7,09-14-2019,13:00:00,12.00,1000.57,0.00,33.3,68,34.94,1006.63,1.40,0.0,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.4,09-14-2019,13:00:00,12.00,991.17,0.00,33.5,56,28.84,1007.26,1.50,0.0,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.8,09-14-2019,13:00:00,10.00,983.41,0.00,31.0,66,29.48,1005.40,0.00,0.0,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,19.9,09-14-2019,13:00:00,9.00,992.72,0.00,34.6,42,23.23,1006.75,0.00,7.4,110
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.4,09-14-2019,13:00:00,8.00,990.42,0.20,32.0,73,34.49,1006.53,0.70,0.0,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.7,09-14-2019,13:00:00,10.00,1002.02,4.60,28.0,82,31.11,1007.23,4.60,13.0,290
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.5,09-14-2019,13:00:00,12.00,992.52,0.00,34.1,57,30.67,1005.39,0.00,9.3,020
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.3,09-14-2019,13:00:00,15.00,997.41,0.00,34.2,56,30.29,1006.51,0.00,7.4,340
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.5,09-14-2019,13:00:00,10.00,985.90,0.00,32.3,63,30.69,1007.22,8.20,7.4,080
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.6,09-14-2019,13:00:00,10.00,990.58,0.00,32.7,63,30.94,1007.77,0.00,7.4,080
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.0,09-14-2019,13:00:00,12.00,990.80,0.00,32.6,61,29.87,1006.33,0.00,3.7,080
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.5,09-14-2019,13:00:00,10.00,987.84,0.00,32.5,63,30.82,1006.37,0.80,3.7,050
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.8,09-14-2019,13:00:00,11.00,954.81,2.20,28.2,72,27.69,1005.54,3.00,0.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.3,09-14-2019,13:00:00,9.00,1002.27,0.00,33.7,58,30.41,1006.14,0.00,5.6,080
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.6,09-14-2019,13:00:00,8.00,913.26,0.00,27.4,71,25.74,1006.55,0.01,11.1,320
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.4,09-14-2019,13:00:00,10.00,991.44,0.00,32.5,70,34.38,1007.14,9.30,0.0,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.6,09-14-2019,13:00:00,10.00,1002.42,0.00,34.0,62,32.84,1006.36,0.50,0.0,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.4,09-14-2019,13:00:00,10.00,996.91,0.00,32.7,66,32.41,1007.39,5.50,3.7,020
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.5,09-14-2019,13:00:00,10.00,1005.34,0.00,32.5,67,32.58,1007.24,10.80,5.6,360
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.8,09-14-2019,13:00:00,10.00,986.74,0.00,31.7,63,29.47,1007.28,20.60,3.7,060
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.3,09-14-2019,13:00:00,10.00,989.75,0.00,31.0,68,30.33,1007.19,20.20,11.1,020
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.0,09-14-2019,13:00:00,10.00,990.73,0.00,32.3,62,29.83,1006.60,19.60,5.6,040
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.0,09-14-2019,13:00:00,10.00,992.98,0.00,32.0,63,29.79,1006.78,0.40,7.4,160
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.2,09-14-2019,13:00:00,10.00,991.83,0.00,31.4,70,32.01,1006.43,2.20,0.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.0,09-14-2019,13:00:00,10.00,992.48,0.00,32.0,71,33.58,1006.91,0.00,3.7,240
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.6,09-14-2019,13:00:00,10.00,1003.32,0.00,34.4,57,31.01,1006.26,0.10,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.2,09-14-2019,13:00:00,10.00,998.59,0.00,32.5,65,31.98,1006.39,8.10,5.6,150
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.6,09-14-2019,13:00:00,8.00,1005.53,0.00,31.8,70,32.86,1006.62,1.60,3.7,350
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,21.7,09-14-2019,13:00:00,8.00,992.18,0.00,32.0,54,25.91,1006.62,4.50,0.0,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.4,09-14-2019,13:00:00,4.00,872.77,0.00,23.1,90,25.52,1006.15,0.00,0.0,000
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.5,09-14-2019,13:00:00,9.00,1002.20,0.00,33.0,61,30.69,1007.97,12.20,3.7,250
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.5,09-14-2019,13:00:00,9.00,1006.24,0.00,33.0,61,30.69,1007.02,1.50,5.6,050
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.3,09-14-2019,13:00:00,10.00,1006.85,0.00,30.0,71,30.31,1007.29,5.50,9.3,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.5,09-14-2019,13:00:00,10.00,996.60,0.00,32.5,63,30.82,1007.70,7.20,0.0,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.7,09-14-2019,13:00:00,14.00,1005.85,0.00,34.0,58,31.04,1006.83,0.20,3.7,340
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.2,09-14-2019,13:00:00,13.00,1005.06,0.00,32.5,70,34.07,1006.85,23.40,11.1,270
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.7,09-14-2019,13:00:00,9.00,1005.69,0.01,32.9,59,29.33,1006.44,9.20,0.0,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.7,09-14-2019,13:00:00,10.00,1006.37,0.00,29.8,70,29.36,1007.07,15.40,3.7,170
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.9,09-14-2019,13:00:00,8.00,1005.81,0.30,31.4,73,33.48,1006.51,1.20,3.7,220
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.7,09-14-2019,13:00:00,12.00,985.81,0.00,31.3,64,29.24,1006.66,2.10,9.3,080
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.5,09-14-2019,13:00:00,11.00,990.16,0.00,32.0,64,30.65,1006.59,3.70,0.0,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.5,09-14-2019,13:00:00,10.00,990.61,0.00,32.0,64,30.65,1006.77,11.00,0.0,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.7,09-14-2019,13:00:00,10.00,984.81,0.00,32.9,62,31.07,1006.23,2.50,5.6,020
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.0,09-14-2019,13:00:00,14.00,963.69,0.00,30.0,75,31.72,1006.49,0.00,11.1,270
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.1,09-14-2019,13:00:00,11.00,986.13,0.00,31.5,69,31.93,1006.38,16.20,11.1,340
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.6,09-14-2019,13:00:00,10.00,988.15,0.00,30.4,76,32.84,1008.77,0.00,11.1,040
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.3,09-14-2019,13:00:00,10.00,1006.35,0.00,32.5,58,28.53,1006.78,0.01,5.6,350
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.3,09-14-2019,13:00:00,11.00,1005.39,0.30,29.8,82,34.21,1006.79,2.70,0.0,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.1,09-14-2019,13:00:00,8.00,1001.74,0.90,29.6,82,33.79,1006.63,15.40,0.0,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.7,09-14-2019,13:00:00,12.00,1003.23,0.00,34.0,52,27.58,1006.45,0.00,3.7,060
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.3,09-14-2019,13:00:00,10.00,1005.73,0.00,33.0,64,32.16,1006.82,0.30,0.0,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.4,09-14-2019,13:00:00,10.00,1006.35,0.00,31.4,67,30.57,1006.65,2.00,3.7,300
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.0,09-14-2019,13:00:00,10.00,1005.71,0.00,31.3,65,29.80,1006.38,2.00,5.6,280
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.9,09-14-2019,13:00:00,10.00,1006.04,0.00,30.7,71,31.43,1006.52,2.40,0.0,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.3,09-14-2019,13:00:00,10.00,1004.36,0.00,31.7,65,30.32,1005.74,0.60,11.1,340
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,26.3,09-14-2019,13:00:00,10.00,1005.48,7.00,27.0,96,34.19,1007.16,7.00,18.5,230
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.3,09-14-2019,13:00:00,10.00,1001.34,1.90,29.0,81,32.26,1009.31,5.80,0.0,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.8,09-14-2019,13:00:00,8.00,1006.71,0.80,28.8,79,31.29,1006.99,1.40,5.6,300
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.4,09-14-2019,13:00:00,10.00,1003.60,26.00,26.5,93,32.35,1006.74,26.00,0.0,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.9,09-14-2019,13:00:00,12.00,1000.66,0.00,29.1,74,29.65,1007.55,0.00,9.3,290
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.4,09-14-2019,13:00:00,10.00,1001.26,0.30,29.5,79,32.42,1006.81,20.20,7.4,300
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.8,09-14-2019,13:00:00,10.00,999.84,18.50,26.5,90,31.24,1009.18,18.50,5.6,280
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.9,09-14-2019,13:00:00,15.00,1006.94,0.00,32.5,61,29.66,1008.18,0.01,11.1,350
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.7,09-14-2019,13:00:00,11.00,1006.82,0.00,32.4,64,31.19,1007.24,2.10,7.4,140
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.0,09-14-2019,13:00:00,10.00,994.99,0.00,32.3,58,28.13,1007.04,0.00,11.1,280
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.2,09-14-2019,13:00:00,10.00,1006.70,0.00,31.1,67,30.25,1007.41,0.00,7.4,130
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.3,09-14-2019,13:00:00,10.00,1005.14,0.00,30.0,71,30.31,1007.55,1.90,11.1,270
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.2,09-14-2019,13:00:00,10.00,1006.41,0.00,29.2,79,32.10,1006.92,3.10,5.6,280
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.1,09-14-2019,13:00:00,11.00,1001.85,0.00,29.8,67,28.26,1006.96,1.90,16.7,290
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.2,09-14-2019,13:00:00,8.00,1006.50,0.00,29.6,77,32.05,1006.91,18.70,0.0,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.2,09-14-2019,13:00:00,8.00,1004.93,0.20,30.7,77,34.06,1007.67,41.10,0.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.2,09-14-2019,13:00:00,10.00,1007.11,0.00,30.5,65,28.50,1007.89,0.01,11.1,290
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.9,09-14-2019,13:00:00,8.00,1006.54,0.00,29.7,80,33.41,1006.99,93.90,7.4,270
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.1,09-14-2019,13:00:00,8.00,1008.53,0.30,28.7,76,29.98,1009.21,2.00,9.3,270
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,22.3,09-14-2019,13:00:00,8.00,1008.58,0.60,28.2,70,26.90,1010.11,4.00,11.1,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.6,09-14-2019,13:00:00,7.00,1010.35,8.30,25.1,92,29.18,1011.27,19.20,5.6,230
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.6,09-14-2019,13:00:00,7.00,1009.53,8.00,26.0,92,30.84,1010.22,8.90,14.8,290
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,22.8,09-14-2019,13:00:00,10.00,1009.71,8.20,24.6,90,27.78,1010.51,8.20,5.6,240
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,22.6,09-14-2019,13:00:00,12.00,1007.93,0.00,33.5,53,27.43,1008.55,8.00,7.4,330
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.6,09-14-2019,13:00:00,10.00,1007.75,0.00,33.0,65,32.76,1008.15,16.10,7.4,240
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.0,09-14-2019,13:00:00,6.00,1008.37,0.50,31.2,70,31.60,1012.54,1.10,16.7,230
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,21.8,09-14-2019,13:00:00,10.00,1008.16,0.00,31.8,55,26.07,1009.75,11.80,0.0,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.7,09-14-2019,13:00:00,10.00,1006.11,0.00,31.3,64,29.24,1009.54,1.50,11.1,220
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,22.7,09-14-2019,13:00:00,10.00,1008.16,0.00,31.7,59,27.52,1009.50,0.00,5.6,210
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.7,09-14-2019,13:00:00,10.00,1009.93,1.20,29.0,78,31.13,1010.82,3.00,13.0,270
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.3,09-14-2019,13:00:00,10.00,1006.14,0.00,30.6,69,30.38,1009.67,10.20,9.3,290
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.1,09-14-2019,13:00:00,10.00,1009.48,3.60,32.0,63,30.08,1009.91,3.60,9.3,270
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.0,09-14-2019,13:00:00,8.00,1009.06,0.01,30.3,74,31.76,1010.04,0.01,5.6,330
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.3,09-14-2019,13:00:00,10.00,1009.45,0.00,29.3,74,30.32,1010.26,6.00,27.8,300
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.0,09-14-2019,13:00:00,9.00,1008.76,1.00,27.1,78,28.06,1010.58,1.30,5.6,180
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.8,09-14-2019,13:00:00,12.00,1008.58,1.50,29.0,74,29.46,1009.33,1.50,3.7,220
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.2,09-14-2019,13:00:00,10.00,1006.06,0.01,29.7,64,26.72,1010.03,0.01,16.7,250
48570,SATUN,สตูล,สตูล,6.65000,100.08333,21.8,09-14-2019,13:00:00,10.00,1010.65,0.20,27.8,70,26.18,1011.33,0.50,11.1,250
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.4,09-14-2019,13:00:00,10.00,1009.36,14.20,25.6,93,30.63,1010.49,14.20,0.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.1,09-14-2019,13:00:00,10.00,1007.42,1.00,29.7,68,28.34,1010.32,1.00,13.0,280
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.6,09-14-2019,13:00:00,10.00,1008.74,2.10,25.5,89,29.11,1009.43,4.50,18.5,320
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.7,09-14-2019,13:00:00,10.00,1005.22,0.00,32.2,58,27.66,1009.28,2.00,14.8,210
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.3,09-14-2019,13:00:00,12.00,1007.41,0.00,33.5,52,26.87,1007.99,0.60,11.1,260
