WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,Rainfall,WindSpeed,AirTemperature,VaporPressure,WindDirection,StationPressure,DewPoint
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,94,10-11-2019,22:00:00,10.00,1010.00,0.00,0.00,0.0,27.3,33.95,000,992.30,26.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,85,10-11-2019,22:00:00,10.00,1009.30,0.00,0.00,0.0,29.0,33.99,000,993.21,26.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,84,10-11-2019,22:00:00,10.00,1010.00,0.60,0.00,0.0,28.3,32.27,000,995.99,25.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,91,10-11-2019,22:00:00,8.00,1010.36,0.00,0.00,0.0,26.8,32.10,000,995.47,25.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,92,10-11-2019,22:00:00,10.00,1010.29,0.00,0.00,0.0,27.0,32.77,000,995.57,25.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,85,10-11-2019,22:00:00,10.00,1009.66,0.00,0.00,0.0,28.7,33.37,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1006.65,25.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,86,10-11-2019,22:00:00,8.00,1010.18,0.00,0.00,0.0,28.2,32.92,000,1002.24,25.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,83,10-11-2019,22:00:00,6.00,1009.99,0.00,0.00,0.0,29.5,34.16,000,1008.89,26.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,83,10-11-2019,22:00:00,8.00,1010.70,0.00,0.00,0.0,28.2,31.79,000,996.02,25.1
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,10-11-2019,22:00:00,6.00,1013.27,14.60,0.00,0.0,19.0,21.73,000,877.23,18.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,81,10-11-2019,22:00:00,10.00,1009.92,0.00,0.00,0.0,27.5,29.60,000,1004.03,23.9
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,77,10-11-2019,22:00:00,8.00,1010.22,0.00,0.00,3.7,29.6,32.05,180,1009.42,25.2
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,73,10-11-2019,22:00:00,10.00,1009.90,0.00,0.00,7.4,30.3,31.48,210,1009.45,24.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,88,10-11-2019,22:00:00,6.00,1011.19,0.40,0.00,0.0,26.5,30.43,000,999.82,24.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,82,10-11-2019,22:00:00,7.00,1010.28,28.80,0.00,0.0,29.1,33.04,000,1009.27,25.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,86,10-11-2019,22:00:00,8.00,1010.23,0.00,0.00,0.0,28.9,34.36,000,1008.41,26.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,90,10-11-2019,22:00:00,7.00,1009.84,9.40,0.00,0.0,27.4,33.01,000,1009.07,25.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,76,10-11-2019,22:00:00,9.00,1010.46,1.60,0.00,9.3,29.0,30.57,200,1009.75,24.4
