WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindSpeed,Rainfall24Hr,Rainfall,DewPoint,RelativeHumidity,LandVisibility,WindDirection,AirTemperature,VaporPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,982.51,10-06-2019,10:00:00,0.0,1.20,0.00,23.7,87,10.00,000,26.0,29.23,1013.63
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,852.56,10-06-2019,10:00:00,13.0,0.00,0.00,18.7,91,8.00,200,20.1,21.49,1014.36
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,970.34,10-06-2019,10:00:00,5.6,0.01,0.01,22.6,74,10.00,030,27.8,27.49,1013.94
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,968.18,10-06-2019,10:00:00,0.0,1.00,0.00,23.3,77,15.00,000,27.7,28.63,1013.70
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,976.33,10-06-2019,10:00:00,3.7,0.00,0.00,23.7,75,12.00,050,28.5,29.33,1013.88
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,968.75,10-06-2019,10:00:00,5.6,0.00,0.00,23.6,77,7.00,020,28.0,29.19,1013.78
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,987.58,10-06-2019,10:00:00,3.7,0.00,0.00,23.4,74,9.00,090,28.5,28.78,1014.29
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,991.57,10-06-2019,10:00:00,0.0,0.00,0.00,23.9,79,10.00,000,28.0,29.74,1013.35
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,989.64,10-06-2019,10:00:00,0.0,0.00,0.00,22.7,79,10.00,000,26.7,27.60,1013.87
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,979.39,10-06-2019,10:00:00,3.7,0.00,0.00,22.1,65,12.00,200,29.5,26.62,1013.74
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,986.06,10-06-2019,10:00:00,0.0,0.00,0.00,24.4,80,10.00,000,28.3,30.59,1013.58
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,979.73,10-06-2019,10:00:00,3.7,0.00,0.00,23.4,73,12.00,030,28.6,28.70,1013.23
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,994.72,10-06-2019,10:00:00,1.9,0.00,0.00,24.2,78,3.00,060,28.5,30.15,1013.22
48331,NAN,น่าน,น่าน,18.77972,100.77778,991.79,10-06-2019,10:00:00,0.0,0.00,0.00,23.1,76,10.00,000,27.8,28.28,1014.67
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,984.00,10-06-2019,10:00:00,0.0,0.00,0.00,23.5,77,12.00,000,28.0,28.92,1013.92
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,978.05,10-06-2019,10:00:00,0.0,0.00,0.00,24.6,82,8.00,000,28.0,30.84,1013.57
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,983.66,10-06-2019,10:00:00,0.0,1.00,0.00,21.6,68,13.00,000,28.0,25.76,1013.40
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1005.67,10-06-2019,10:00:00,0.0,0.00,0.00,24.3,71,9.00,000,30.0,30.31,1012.94
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,993.56,10-06-2019,10:00:00,11.1,0.00,0.00,23.5,68,8.00,340,30.0,28.91,1013.37
48353,LOEI,เลย,เลย,17.45000,101.73333,985.17,10-06-2019,10:00:00,3.7,8.60,0.00,21.6,68,12.00,060,28.0,25.76,1013.89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,993.48,10-06-2019,10:00:00,3.7,17.00,0.00,22.9,68,15.00,020,29.3,27.85,1013.61
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,992.38,10-06-2019,10:00:00,7.4,5.30,0.00,22.5,65,9.00,100,29.8,27.17,1014.04
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,993.67,10-06-2019,10:00:00,5.6,0.01,0.00,22.5,65,10.00,090,29.7,27.26,1013.09
