WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,Rainfall,VaporPressure,WindSpeed,Rainfall24Hr,WindDirection,RelativeHumidity,AirTemperature,MeanSeaLevelPressure,LandVisibility
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.3,07-27-2019,04:00:00,1007.90,0.00,28.55,5.6,0.01,330,76,27.8,1008.33,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,23.7,07-27-2019,04:00:00,1007.03,11.20,29.25,0.0,11.60,000,94,24.7,1008.46,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.0,07-27-2019,04:00:00,1003.93,0.01,29.79,7.4,0.01,330,94,25.0,1008.90,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,21.5,07-27-2019,04:00:00,1005.85,0.20,25.61,9.3,2.20,320,76,26.0,1009.16,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,22.4,07-27-2019,04:00:00,1007.63,0.00,27.00,7.4,0.01,280,77,26.8,1008.73,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,22.8,07-27-2019,04:00:00,1007.86,0.00,27.71,0.0,0.00,000,71,28.5,1008.15,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.9,07-27-2019,04:00:00,1008.90,0.00,31.54,0.0,0.00,000,81,28.5,1009.39,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.2,07-27-2019,04:00:00,1007.11,0.00,28.35,13.0,0.01,270,72,28.7,1008.51,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.4,07-27-2019,04:00:00,1002.11,0.00,30.65,1.9,0.00,180,92,25.9,1010.17,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.4,07-27-2019,04:00:00,1007.90,0.20,32.36,0.0,0.60,000,88,27.5,1008.18,10.00
