WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,MaximumTemperature,RelativeHumidity,Rainfall24Hr,Rainfall,VaporPressure,AirTemperature,DewPoint,LandVisibility,WindDirection,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1006.46,09-10-2019,19:00:00,975.57,31.6,88,0.70,0.70,29.68,26.1,23.9,10.00,000,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1004.61,09-10-2019,19:00:00,843.97,24.1,92,0.00,0.00,20.62,19.3,18.0,8.00,120,14.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1004.87,09-10-2019,19:00:00,961.56,30.0,86,2.60,0.01,30.75,27.1,24.5,10.00,000,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1005.16,09-10-2019,19:00:00,959.94,31.1,89,4.60,4.60,31.85,27.1,25.1,15.00,000,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1007.59,09-10-2019,19:00:00,970.06,29.8,86,0.00,0.00,30.26,26.7,24.2,7.00,000,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1005.33,09-10-2019,19:00:00,960.70,32.5,77,0.00,0.00,29.57,28.2,23.9,12.00,170,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1006.77,09-10-2019,19:00:00,980.26,31.1,80,0.00,0.00,31.26,28.5,24.8,10.00,180,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.35,09-10-2019,19:00:00,985.70,32.0,72,0.00,0.00,27.06,28.0,22.4,15.00,240,7.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1008.23,09-10-2019,19:00:00,984.04,28.5,91,0.40,0.00,29.64,25.5,23.9,6.00,000,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1005.96,09-10-2019,19:00:00,971.75,32.0,72,0.00,0.00,27.79,28.4,22.8,10.00,200,5.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1007.18,09-10-2019,19:00:00,979.85,32.6,71,0.00,0.00,27.44,28.5,22.6,10.00,000,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1006.22,09-10-2019,19:00:00,972.70,32.9,82,0.80,0.80,28.01,26.2,23.0,10.00,200,5.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1006.43,09-10-2019,19:00:00,988.03,31.4,83,0.00,0.00,31.39,28.0,24.8,10.00,270,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,1006.48,09-10-2019,19:00:00,983.81,32.0,82,0.00,0.00,31.70,28.3,25.0,10.00,000,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1006.42,09-10-2019,19:00:00,976.68,30.9,87,0.00,0.00,32.28,27.6,25.3,10.00,000,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1006.46,09-10-2019,19:00:00,971.04,31.2,84,1.00,1.00,29.45,26.7,23.8,6.00,000,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1006.43,09-10-2019,19:00:00,976.89,32.9,82,0.00,0.00,31.11,28.0,24.7,12.00,100,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1006.88,09-10-2019,19:00:00,999.65,33.0,75,0.00,0.00,31.80,29.9,25.1,9.00,000,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1007.45,09-10-2019,19:00:00,987.57,33.2,91,1.20,1.20,32.89,27.2,25.6,8.00,270,7.4
48353,LOEI,เลย,เลย,17.45000,101.73333,1007.04,09-10-2019,19:00:00,978.62,33.9,74,0.00,0.00,29.74,29.0,23.9,15.00,000,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1007.87,09-10-2019,19:00:00,987.64,31.1,92,17.20,1.10,31.22,26.2,24.8,7.00,350,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1008.61,09-10-2019,19:00:00,986.90,30.0,89,0.30,0.00,32.45,27.4,25.4,12.00,000,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1007.97,09-10-2019,19:00:00,988.48,29.4,87,1.60,0.00,31.02,27.1,24.7,13.00,130,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1008.64,09-10-2019,19:00:00,991.87,28.1,89,1.60,0.00,31.46,26.9,24.9,10.00,000,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1008.84,09-10-2019,19:00:00,991.39,28.2,92,0.80,0.00,31.99,26.6,25.2,10.00,000,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,{'@attributes': {'Unit': 'hPa'}},09-10-2019,19:00:00,980.75,31.6,{'@attributes': {'Unit': '%'}},0.00,0.00,{'@attributes': {'Unit': 'mb'}},{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'celcius'}},10.00,060,7.4
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.47,09-10-2019,19:00:00,1001.70,33.2,91,3.00,3.00,33.82,27.8,26.1,7.00,240,11.1
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.46,09-10-2019,19:00:00,1001.29,32.2,88,3.50,3.50,33.37,28.0,25.9,8.00,230,9.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1007.75,09-10-2019,19:00:00,991.37,31.5,91,13.00,0.00,34.65,28.2,26.5,10.00,000,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1008.29,09-10-2019,19:00:00,985.73,29.5,87,18.80,1.00,26.01,24.0,21.7,10.00,240,5.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,1009.56,09-10-2019,19:00:00,995.14,31.7,75,2.00,0.00,26.58,27.0,22.1,10.00,290,7.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1007.39,09-10-2019,19:00:00,991.05,31.0,71,0.00,0.00,26.70,27.8,22.2,7.00,120,9.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1008.54,09-10-2019,19:00:00,1003.28,32.5,89,0.20,0.20,29.66,25.8,23.9,7.00,210,13.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.43,09-10-2019,19:00:00,993.35,32.5,77,0.00,0.00,31.45,29.3,24.9,10.00,000,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1008.09,09-10-2019,19:00:00,998.70,33.2,95,10.70,10.70,30.60,25.3,24.4,8.00,000,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1007.26,09-10-2019,19:00:00,985.72,31.3,78,0.00,0.00,31.13,29.0,24.7,10.00,160,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1008.28,09-10-2019,19:00:00,990.89,32.4,81,3.20,0.00,32.96,29.2,25.7,10.00,000,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1007.48,09-10-2019,19:00:00,991.69,30.6,83,7.70,0.00,31.39,28.0,24.8,10.00,150,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1006.69,09-10-2019,19:00:00,987.94,31.3,78,0.01,0.00,31.13,29.0,24.7,10.00,180,3.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1010.16,09-10-2019,19:00:00,958.37,28.0,91,10.50,4.80,25.92,23.2,21.7,7.00,000,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.87,09-10-2019,19:00:00,1003.90,32.2,89,1.30,1.30,30.70,26.5,24.5,4.00,340,13.0
