WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,Rainfall,Rainfall24Hr,DewPoint,LandVisibility,WindDirection,AirTemperature,MinimumTemperature,StationPressure,WindSpeed,MeanSeaLevelPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-08-2019,07:00:00,96,0.10,8.60,24.0,5.00,000,24.7,23.0,975.19,0.0,1006.21,29.77
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-08-2019,07:00:00,99,0.30,5.10,17.7,7.00,270,17.9,17.8,841.80,37.0,1002.84,20.28
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-08-2019,07:00:00,90,0.00,3.10,23.2,10.00,260,25.0,24.4,960.66,3.7,1004.25,28.48
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-08-2019,07:00:00,96,0.00,0.00,22.8,15.00,000,23.5,22.0,958.38,0.0,1004.08,27.66
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-08-2019,07:00:00,99,0.00,0.00,23.6,10.00,000,23.8,23.5,967.03,0.0,1004.82,29.20
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-08-2019,07:00:00,90,0.00,0.20,25.1,10.00,000,27.0,25.0,959.62,0.0,1004.37,31.94
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-08-2019,07:00:00,93,0.00,0.01,24.4,12.00,000,25.6,25.0,978.06,0.0,1004.77,30.63
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-08-2019,07:00:00,97,0.00,4.70,23.6,10.00,000,24.0,23.7,983.23,0.0,1005.12,29.04
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-08-2019,07:00:00,94,0.00,19.50,23.5,6.00,000,24.5,22.5,982.18,0.0,1006.41,28.89
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-08-2019,07:00:00,91,0.01,0.01,23.4,10.00,000,25.0,24.4,970.48,0.0,1005.04,28.74
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-08-2019,07:00:00,94,0.00,0.20,23.7,10.00,000,24.7,24.0,977.68,0.0,1005.30,29.25
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-08-2019,07:00:00,92,0.01,0.01,23.5,8.00,000,25.0,24.5,971.22,0.0,1004.83,29.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-08-2019,07:00:00,92,0.00,0.60,23.7,10.00,180,25.2,25.0,985.84,1.9,1004.37,29.36
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-08-2019,07:00:00,91,0.00,0.01,24.0,10.00,000,25.6,25.0,981.14,0.0,1003.95,29.82
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-08-2019,07:00:00,96,0.00,0.00,23.8,10.00,000,24.5,24.3,973.83,0.0,1003.80,29.41
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-08-2019,07:00:00,97,0.00,3.40,23.6,6.00,000,24.0,23.8,969.64,0.0,1005.34,29.04
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-08-2019,07:00:00,79,0.00,0.00,23.0,14.00,320,27.0,24.6,972.31,5.6,1001.80,28.14
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-08-2019,07:00:00,89,0.00,0.01,23.6,8.00,000,25.5,25.5,997.57,0.0,1004.90,29.11
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-08-2019,07:00:00,80,0.00,0.00,24.0,15.00,270,27.8,27.2,982.18,3.7,1001.91,29.90
48353,LOEI,เลย,เลย,17.45000,101.73333,08-08-2019,07:00:00,72,0.00,0.00,21.1,15.00,330,26.7,26.0,974.17,5.6,1002.69,25.04
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-08-2019,07:00:00,81,0.00,0.00,23.2,15.00,000,26.7,25.7,982.57,0.0,1002.66,28.39
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-08-2019,07:00:00,77,0.00,0.00,22.6,15.00,210,27.0,26.5,980.38,3.7,1001.98,27.36
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-08-2019,07:00:00,73,0.00,0.00,22.7,15.00,260,28.0,26.4,982.32,1.9,1001.62,27.59
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-08-2019,07:00:00,72,0.00,0.00,22.8,10.00,260,28.2,26.8,986.20,7.4,1002.80,27.69
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-08-2019,07:00:00,81,0.00,0.00,24.3,12.00,000,27.9,25.8,985.50,0.0,1002.78,30.37
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-08-2019,07:00:00,92,0.00,0.00,23.4,10.00,290,24.7,24.5,976.20,3.7,1002.02,28.72
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-08-2019,07:00:00,100,0.00,1.40,25.1,10.00,000,25.1,23.0,998.33,0.0,1004.13,31.85
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-08-2019,07:00:00,98,0.00,1.50,24.6,8.00,000,24.9,24.4,998.43,0.0,1004.65,30.93
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-08-2019,07:00:00,88,0.00,2.20,23.6,10.00,000,25.8,24.6,988.02,0.0,1004.48,29.13
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-08-2019,07:00:00,96,0.00,24.30,23.3,10.00,150,24.0,23.2,981.95,3.7,1004.43,28.53
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-08-2019,07:00:00,92,0.00,13.80,24.0,6.00,000,25.5,24.0,990.98,0.0,1005.42,29.91
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-08-2019,07:00:00,98,0.00,5.40,23.9,7.00,000,24.2,23.8,987.84,0.0,1004.33,29.66
