WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,MaximumTemperature,WindDirection,Rainfall,LandVisibility,StationPressure,VaporPressure,DewPoint,RelativeHumidity,MeanSeaLevelPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.20,10-11-2019,19:00:00,28.5,33.5,000,0.00,10.00,977.41,31.54,24.9,81,1008.11,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,2.40,10-11-2019,19:00:00,19.3,21.0,000,0.00,8.00,847.04,21.27,18.5,95,1008.26,0.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,35.60,10-11-2019,19:00:00,27.7,32.3,000,0.00,10.00,964.74,26.00,21.7,70,1008.11,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.40,10-11-2019,19:00:00,26.2,32.8,000,0.00,15.00,962.72,25.95,21.7,76,1008.21,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-11-2019,19:00:00,26.0,34.5,000,0.00,8.00,971.66,28.70,23.4,85,1009.35,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-11-2019,19:00:00,26.0,32.5,000,0.00,.00,963.68,28.18,23.1,84,1008.79,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-11-2019,19:00:00,26.3,34.8,130,0.00,8.00,982.45,28.46,23.2,83,1009.21,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10.30,10-11-2019,19:00:00,29.4,34.1,000,0.00,14.00,986.99,32.50,25.4,79,1008.56,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.50,10-11-2019,19:00:00,27.0,35.0,000,0.00,10.00,985.19,30.02,24.1,84,1009.29,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.90,10-11-2019,19:00:00,29.2,34.0,230,0.00,10.00,973.94,26.60,22.1,66,1008.14,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-11-2019,19:00:00,29.5,34.6,000,0.00,10.00,981.02,29.33,23.7,71,1008.30,0.0
