WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,DewPoint,MeanSeaLevelPressure,StationPressure,WindSpeed,VaporPressure,Rainfall,Rainfall24Hr,LandVisibility,RelativeHumidity,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-10-2019,22:00:00,24.0,1009.47,978.44,0.0,29.82,0.00,0.70,10.00,91,25.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,120,09-10-2019,22:00:00,18.3,1007.53,846.03,14.8,21.06,3.60,3.60,6.00,99,18.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,09-10-2019,22:00:00,24.3,1008.34,964.79,0.0,30.43,0.50,3.10,10.00,88,26.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,09-10-2019,22:00:00,24.5,1008.61,963.03,0.0,30.81,0.20,4.80,12.00,93,25.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,09-10-2019,22:00:00,23.1,1009.95,972.25,0.0,28.18,0.00,0.00,6.00,84,26.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,130,09-10-2019,22:00:00,24.1,1008.80,963.85,3.7,30.02,0.00,0.00,12.00,84,27.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,09-10-2019,22:00:00,24.6,1010.07,983.39,0.0,30.97,0.00,0.00,8.00,84,27.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,240,09-10-2019,22:00:00,21.4,1010.26,988.46,3.7,25.46,0.00,0.00,12.00,72,26.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-10-2019,22:00:00,23.6,1011.08,986.77,0.0,29.16,0.00,0.40,6.00,93,24.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,220,09-10-2019,22:00:00,22.6,1009.13,974.68,3.7,27.45,0.00,0.00,10.00,76,27.2
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,09-10-2019,22:00:00,22.1,1010.32,982.77,0.0,26.58,0.00,0.00,10.00,75,27.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,09-10-2019,22:00:00,23.1,1009.24,975.68,0.0,28.31,0.00,0.80,10.00,80,26.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,300,09-10-2019,22:00:00,24.8,1009.62,991.10,3.7,31.38,0.00,0.00,10.00,88,27.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,09-10-2019,22:00:00,24.7,1009.57,986.76,0.0,31.14,0.00,0.00,10.00,86,27.3
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,09-10-2019,22:00:00,24.5,1009.97,979.99,0.0,30.67,0.00,0.00,8.00,90,26.2
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,09-10-2019,22:00:00,23.9,1010.00,974.34,0.0,29.74,0.00,1.00,6.00,90,25.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,09-10-2019,22:00:00,25.0,1009.13,979.36,0.0,31.60,0.00,0.00,12.00,92,26.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,09-10-2019,22:00:00,23.6,1010.31,1002.99,0.0,29.04,0.00,0.00,8.00,81,27.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,100,09-10-2019,22:00:00,25.3,1010.08,990.07,3.7,32.20,0.60,1.80,12.00,96,26.0
48353,LOEI,เลย,เลย,17.45000,101.73333,000,09-10-2019,22:00:00,24.1,1009.89,981.18,0.0,30.10,0.00,0.00,14.00,85,26.9
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,290,09-10-2019,22:00:00,23.3,1010.94,990.50,7.4,28.53,25.80,43.00,5.00,96,24.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,290,09-10-2019,22:00:00,22.1,1011.91,989.94,11.1,26.60,11.00,11.30,6.00,85,24.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,290,09-10-2019,22:00:00,22.8,1010.55,990.88,14.8,27.70,1.00,2.60,8.00,88,25.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,070,09-10-2019,22:00:00,24.8,1011.04,994.21,1.9,31.24,0.00,1.60,10.00,90,26.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,09-10-2019,22:00:00,25.1,1011.16,993.66,0.0,31.88,0.00,0.80,10.00,93,26.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,070,09-10-2019,22:00:00,24.7,1009.86,983.86,5.6,31.12,5.60,5.60,10.00,98,25.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,09-10-2019,22:00:00,25.2,1010.67,1004.83,0.0,32.07,11.80,14.80,6.00,98,25.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,230,09-10-2019,22:00:00,24.8,1010.55,1004.30,11.1,31.25,8.50,12.00,7.00,96,25.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,09-10-2019,22:00:00,24.6,1011.25,994.69,0.0,30.84,0.50,13.50,8.00,92,26.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,09-10-2019,22:00:00,22.5,1010.19,987.58,0.0,27.25,0.00,18.80,10.00,91,24.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,09-10-2019,22:00:00,21.4,1011.01,996.57,11.1,25.55,0.00,2.00,10.00,72,27.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,120,09-10-2019,22:00:00,22.3,1009.96,993.56,9.3,26.95,0.00,0.00,7.00,73,27.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,150,09-10-2019,22:00:00,24.4,1011.44,1006.16,3.7,30.60,1.30,1.50,10.00,95,25.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,09-10-2019,22:00:00,24.0,1010.13,996.83,0.0,29.91,6.80,6.80,8.00,92,25.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,050,09-10-2019,22:00:00,24.8,1010.22,1000.82,1.9,31.25,0.50,11.20,10.00,96,25.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,230,09-10-2019,22:00:00,24.6,1010.15,988.48,9.3,30.84,0.00,0.00,10.00,82,28.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,180,09-10-2019,22:00:00,24.5,1010.94,993.42,5.6,30.72,0.00,3.20,10.00,82,27.8
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,160,09-10-2019,22:00:00,25.1,1010.11,994.25,3.7,31.89,0.00,7.70,10.00,87,27.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,200,09-10-2019,22:00:00,24.6,1009.08,990.25,3.7,30.98,0.01,0.01,8.00,80,28.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,09-10-2019,22:00:00,21.5,1010.43,958.59,0.0,25.60,1.00,11.50,6.00,91,23.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,070,09-10-2019,22:00:00,24.8,1010.38,1006.38,9.3,31.25,1.80,3.10,4.00,96,25.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,250,09-10-2019,22:00:00,19.4,1011.51,915.51,11.1,22.54,0.00,2.00,.05,97,19.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,180,09-10-2019,22:00:00,24.6,1010.52,994.47,9.3,30.91,0.00,1.90,8.00,87,26.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,09-10-2019,22:00:00,24.8,1010.32,1006.27,0.0,31.38,0.00,0.00,10.00,88,27.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,09-10-2019,22:00:00,24.0,1010.93,1000.17,0.0,29.91,0.60,21.60,5.00,92,25.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,210,09-10-2019,22:00:00,22.3,1011.29,1009.36,1.9,26.95,0.00,1.90,9.00,73,27.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,230,09-10-2019,22:00:00,23.5,1011.51,990.38,7.4,28.97,13.80,13.80,6.00,95,24.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,200,09-10-2019,22:00:00,23.6,1010.91,993.13,14.8,29.07,0.01,9.70,10.00,85,26.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,09-10-2019,22:00:00,24.0,1010.91,994.65,0.0,29.86,0.00,2.40,10.00,88,26.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,09-10-2019,22:00:00,23.8,1012.09,997.90,0.0,29.54,2.30,7.50,10.00,92,25.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,09-10-2019,22:00:00,24.8,1012.48,997.50,0.0,31.25,0.40,10.20,6.00,96,25.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,09-10-2019,22:00:00,24.6,1011.56,996.76,0.0,31.00,0.01,11.20,6.00,93,25.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",09-10-2019,22:00:00,22.4,1010.43,1007.42,0.0,27.01,0.00,0.00,10.00,69,28.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,09-10-2019,22:00:00,24.2,1011.16,1003.12,0.0,30.13,11.10,36.10,7.00,96,24.9
