WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,DewPoint,MeanSeaLevelPressure,StationPressure,WindSpeed,VaporPressure,Rainfall,Rainfall24Hr,LandVisibility,RelativeHumidity,AirTemperature
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,210,09-10-2019,22:00:00,23.8,1011.50,1010.38,5.6,29.46,0.20,0.50,7.00,91,25.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,09-10-2019,22:00:00,24.8,1011.97,997.13,0.0,31.33,29.10,35.50,4.00,97,25.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,210,09-10-2019,22:00:00,{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'hPa'}},877.11,7.4,{'@attributes': {'Unit': 'mb'}},2.00,68.80,.05,{'@attributes': {'Unit': '%'}},{'@attributes': {'Unit': 'celcius'}}
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,09-10-2019,22:00:00,24.7,1011.76,1005.83,0.0,31.17,4.40,4.40,8.00,95,25.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,000,09-10-2019,22:00:00,23.9,1011.72,1010.91,0.0,29.58,0.40,29.40,5.00,89,25.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,09-10-2019,22:00:00,26.0,1011.18,1010.73,9.3,33.70,0.00,0.00,7.00,84,29.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,09-10-2019,22:00:00,23.8,1012.40,1000.96,0.0,29.52,0.00,4.80,5.00,93,25.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,180,09-10-2019,22:00:00,23.7,1011.67,1010.66,3.7,29.33,0.00,0.00,10.00,75,28.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,120,09-10-2019,22:00:00,23.7,1011.68,1009.85,7.4,29.31,0.01,0.01,8.00,88,25.9
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,09-10-2019,22:00:00,22.1,1011.28,1010.52,0.0,26.54,0.00,0.00,5.00,70,28.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,190,09-10-2019,22:00:00,25.5,1011.88,1011.18,13.0,32.63,0.00,0.00,10.00,85,28.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,010,09-10-2019,22:00:00,24.0,1011.61,1010.90,3.7,29.79,29.00,33.30,6.00,94,25.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,09-10-2019,22:00:00,24.0,1011.37,990.10,0.0,29.80,0.01,0.10,10.00,86,26.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,09-10-2019,22:00:00,24.3,1011.72,994.87,0.0,30.46,0.30,0.30,7.00,92,25.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,09-10-2019,22:00:00,24.1,1012.33,995.73,3.7,29.99,1.10,1.20,5.00,92,25.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,09-10-2019,22:00:00,23.5,1011.44,989.46,0.0,29.00,0.00,0.00,10.00,83,26.6
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,230,09-10-2019,22:00:00,22.3,1011.77,967.98,7.4,26.84,0.00,12.60,10.00,87,24.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,140,09-10-2019,22:00:00,23.6,1011.75,990.98,5.6,29.10,0.01,0.10,7.00,91,25.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,190,09-10-2019,22:00:00,24.2,1013.10,991.96,11.1,30.18,0.20,7.20,8.00,100,24.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,320,09-10-2019,22:00:00,24.8,1011.58,1011.15,3.7,31.29,0.00,0.10,10.00,79,28.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,09-10-2019,22:00:00,23.7,1011.74,1010.31,0.0,29.23,0.80,18.10,6.00,96,24.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,09-10-2019,22:00:00,24.6,1011.83,1006.84,0.0,30.85,0.00,4.30,7.00,97,25.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,09-10-2019,22:00:00,22.1,1011.64,1008.34,0.0,26.54,0.00,0.00,12.00,70,28.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,09-10-2019,22:00:00,23.8,1011.60,1010.49,0.0,29.48,0.00,0.80,10.00,83,27.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,220,09-10-2019,22:00:00,26.2,1011.62,1011.32,3.7,33.99,0.01,0.01,8.00,85,29.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,09-10-2019,22:00:00,24.5,1011.74,1011.25,0.0,30.67,0.00,1.50,10.00,90,26.2
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,000,09-10-2019,22:00:00,25.9,1011.57,1010.15,0.0,33.43,1.60,6.20,10.00,98,26.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,09-10-2019,22:00:00,25.2,1013.51,1005.42,0.0,31.98,0.00,4.80,10.00,97,25.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,09-10-2019,22:00:00,24.4,1011.49,1011.20,0.0,30.57,0.00,0.00,10.00,76,29.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,09-10-2019,22:00:00,26.0,1011.67,1008.54,0.0,33.53,0.00,0.00,10.00,86,28.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,270,09-10-2019,22:00:00,25.8,1011.90,1004.95,7.4,33.20,0.00,0.00,10.00,87,28.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,09-10-2019,22:00:00,25.1,1012.25,1006.61,0.0,31.82,0.00,3.90,10.00,96,25.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,09-10-2019,22:00:00,23.5,1011.94,1010.68,0.0,28.92,0.00,2.40,10.00,83,26.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,000,09-10-2019,22:00:00,23.0,1011.91,1011.48,0.0,28.12,0.00,4.10,11.00,74,28.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,09-10-2019,22:00:00,22.7,1012.34,999.97,0.0,27.56,0.00,0.00,10.00,83,25.8
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,250,09-10-2019,22:00:00,22.5,1011.94,1011.22,7.4,27.18,0.00,0.00,10.00,70,28.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,220,09-10-2019,22:00:00,27.4,1009.85,1007.42,7.4,36.55,0.00,0.00,10.00,89,29.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,200,09-10-2019,22:00:00,25.8,1010.12,1009.60,9.3,33.12,0.00,0.00,10.00,86,28.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,190,09-10-2019,22:00:00,25.2,1012.28,1007.12,1.9,32.07,0.00,0.00,11.00,84,28.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,09-10-2019,22:00:00,25.2,1012.53,1012.11,0.0,31.97,0.00,0.20,7.00,88,27.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,09-10-2019,22:00:00,25.0,1012.50,1009.70,0.0,31.65,0.00,8.90,8.00,94,26.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,09-10-2019,22:00:00,23.2,1013.72,1012.93,0.0,28.51,0.00,0.00,10.00,79,27.2
48501,TRAD,ตราด,ตราด,11.76667,102.88333,000,09-10-2019,22:00:00,24.4,1012.43,1011.97,0.0,30.50,0.00,168.30,7.00,96,25.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,09-10-2019,22:00:00,23.6,1012.78,1012.09,0.0,29.08,0.00,1.00,7.00,84,26.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,09-10-2019,22:00:00,23.6,1011.80,1010.27,0.0,29.08,0.00,0.00,7.00,84,26.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,09-10-2019,22:00:00,25.1,1013.31,1012.39,0.0,31.79,0.01,1.50,10.00,92,26.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,09-10-2019,22:00:00,24.8,1013.31,1012.62,0.0,31.38,0.00,0.00,10.00,88,27.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,09-10-2019,22:00:00,24.7,1013.35,1012.54,0.0,31.17,0.20,1.60,9.00,95,25.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,330,09-10-2019,22:00:00,24.3,1012.45,1011.81,3.7,30.46,0.60,0.60,10.00,92,25.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,09-10-2019,22:00:00,24.0,1012.74,1012.33,0.0,29.85,0.30,30.80,10.00,97,24.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,09-10-2019,22:00:00,23.6,1015.40,1011.14,0.0,29.13,0.00,0.00,5.00,88,25.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,09-10-2019,22:00:00,23.6,1013.42,1011.79,0.0,29.16,0.00,0.40,8.00,93,24.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,09-10-2019,22:00:00,22.0,1013.33,1009.79,0.0,26.42,1.50,20.50,10.00,91,23.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,09-10-2019,22:00:00,24.1,1012.82,1011.44,0.0,29.93,0.00,4.20,7.00,97,24.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,09-10-2019,22:00:00,24.0,1012.76,1011.87,0.0,29.78,0.00,0.00,10.00,87,26.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,09-10-2019,22:00:00,24.2,1012.52,1008.94,0.0,30.24,0.00,0.00,10.00,88,26.4
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,09-10-2019,22:00:00,25.1,1012.03,1011.59,0.0,31.95,0.00,0.00,10.00,85,28.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,09-10-2019,22:00:00,24.1,1012.28,1011.29,0.0,30.01,0.00,0.00,10.00,75,29.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,090,09-10-2019,22:00:00,23.7,1012.62,1011.79,5.6,29.25,0.00,0.00,10.00,86,26.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,09-10-2019,22:00:00,23.5,1013.06,1011.23,0.0,28.95,0.00,0.00,10.00,88,25.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,000,09-10-2019,22:00:00,24.6,1013.20,1012.44,0.0,30.90,0.00,34.60,6.00,94,25.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,990,09-10-2019,22:00:00,24.2,1013.25,1009.22,3.7,30.16,0.00,0.00,9.00,87,26.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,09-10-2019,22:00:00,24.6,1012.78,1012.09,0.0,31.00,0.00,0.00,10.00,88,26.8
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,09-10-2019,22:00:00,23.9,1012.87,1011.74,0.0,29.58,0.00,0.00,10.00,89,25.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,09-10-2019,22:00:00,24.8,1013.12,1010.18,0.0,31.33,0.00,0.00,10.00,91,26.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,09-10-2019,22:00:00,25.6,1012.33,1011.64,0.0,32.79,0.00,0.00,7.00,96,26.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,09-10-2019,22:00:00,24.0,1013.98,1009.81,0.0,29.91,2.10,2.10,5.00,92,25.5
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,240,09-10-2019,22:00:00,21.5,1012.90,1012.30,5.6,25.60,0.00,0.00,7.00,83,24.5
