WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,WindDirection,VaporPressure,Rainfall,DewPoint,Rainfall24Hr,RelativeHumidity,StationPressure,LandVisibility,AirTemperature,MeanSeaLevelPressure
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-15-2019,22:00:00,0.0,000,28.53,1.50,23.3,17.70,96,1009.99,10.00,24.0,1010.89
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-15-2019,22:00:00,0.0,000,29.05,0.00,23.6,1.60,96,1007.94,10.00,24.3,1011.55
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-15-2019,22:00:00,0.0,000,30.81,0.00,24.5,0.40,88,1010.91,10.00,26.7,1011.35
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-15-2019,22:00:00,0.0,000,29.91,0.00,24.0,2.90,92,1010.04,8.00,25.5,1011.04
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-15-2019,22:00:00,0.0,000,29.16,0.00,23.6,20.80,93,1010.70,10.00,24.8,1011.52
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-15-2019,22:00:00,0.0,000,30.87,0.00,24.6,1.30,96,1009.77,10.00,25.3,1011.60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-15-2019,22:00:00,0.0,000,29.55,0.00,23.8,11.30,79,1011.09,10.00,27.9,1011.84
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-15-2019,22:00:00,0.0,000,32.01,0.00,25.2,7.20,96,1008.31,10.00,25.9,1012.34
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-15-2019,22:00:00,0.0,000,30.71,0.00,24.5,4.40,94,1011.24,10.00,25.5,1011.93
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-15-2019,22:00:00,0.0,000,30.15,0.00,24.2,0.80,94,1011.02,10.00,25.2,1012.15
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-15-2019,22:00:00,0.0,000,32.48,0.30,25.4,10.80,97,1009.34,10.00,26.0,1012.29
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10-15-2019,22:00:00,0.0,000,29.89,0.00,24.0,10.60,93,1011.39,7.00,25.2,1012.09
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10-15-2019,22:00:00,0.0,000,29.00,0.00,23.5,1.30,92,1008.86,8.00,25.0,1013.04
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10-15-2019,22:00:00,5.6,250,28.59,0.00,23.3,0.00,88,1011.72,9.00,25.5,1012.31
