WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall,VaporPressure,LandVisibility,MeanSeaLevelPressure,StationPressure,DewPoint,RelativeHumidity,Rainfall24Hr,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-16-2019,13:00:00,1.80,30.83,8.00,1004.84,974.09,24.5,87,2.20,27.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.5,08-16-2019,13:00:00,6.00,21.28,2.00,1003.26,842.45,18.5,100,37.40,18.5,300
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,13.0,08-16-2019,13:00:00,0.00,29.05,10.00,1002.45,959.57,23.6,70,6.60,29.5,220
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,11.1,08-16-2019,13:00:00,0.80,31.20,12.00,1002.96,957.95,24.7,83,6.30,27.9,220
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-16-2019,13:00:00,2.10,32.36,8.00,1004.17,966.87,25.4,88,23.80,27.5,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,5.6,08-16-2019,13:00:00,0.70,31.60,8.00,1002.91,958.72,25.0,72,17.40,30.5,170
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,08-16-2019,13:00:00,0.10,31.95,8.00,1004.50,978.01,25.1,85,14.50,28.0,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.7,08-16-2019,13:00:00,0.00,30.46,12.00,1003.30,982.16,24.3,57,0.00,34.0,210
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-16-2019,13:00:00,0.00,29.65,10.00,1004.92,981.22,23.9,67,0.30,30.8,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-16-2019,13:00:00,5.00,31.98,10.00,1004.25,970.17,25.2,80,5.70,29.0,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-16-2019,13:00:00,0.00,30.32,10.00,1003.26,976.31,24.3,65,0.00,31.7,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,5.6,08-16-2019,13:00:00,0.00,30.57,10.00,1003.06,970.35,24.4,61,0.00,32.8,260
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.9,08-16-2019,13:00:00,0.10,33.81,10.00,1003.70,985.53,26.1,75,10.30,31.0,250
48331,NAN,น่าน,น่าน,18.77972,100.77778,3.7,08-16-2019,13:00:00,0.01,31.51,10.00,1003.88,981.26,24.9,82,16.00,28.2,230
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,11.1,08-16-2019,13:00:00,0.00,30.89,12.00,1003.99,974.33,24.6,84,12.20,27.6,150
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-16-2019,13:00:00,0.00,31.06,7.00,1003.23,968.47,24.7,67,0.00,31.5,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,08-16-2019,13:00:00,0.00,33.22,17.00,1002.76,973.62,25.8,74,5.20,31.0,100
