WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,WindDirection,WindSpeed,LandVisibility,MinimumTemperature,Rainfall,VaporPressure,StationPressure,DewPoint,Rainfall24Hr,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1002.62,08-04-2019,07:00:00,88,000,0.0,10.00,23.0,0.00,27.70,971.73,22.8,0.01,25.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1000.01,08-04-2019,07:00:00,100,300,53.7,.10,17.4,3.50,20.62,839.47,18.0,8.00,18.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1000.19,08-04-2019,07:00:00,91,210,5.6,8.00,23.9,0.40,28.11,956.71,23.0,4.20,24.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1000.24,08-04-2019,07:00:00,95,000,0.0,7.00,22.7,2.40,28.27,954.78,23.1,4.80,24.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1001.59,08-04-2019,07:00:00,100,260,7.4,6.00,22.7,9.10,28.07,963.82,23.0,10.50,23.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1001.50,08-04-2019,07:00:00,95,160,9.3,6.00,23.3,3.30,27.92,956.40,22.9,3.70,23.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1001.58,08-04-2019,07:00:00,96,180,5.6,5.00,23.7,9.20,28.18,974.80,23.1,10.40,23.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1001.66,08-04-2019,07:00:00,79,300,3.7,13.00,26.3,0.00,27.07,980.02,22.4,0.00,26.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1003.97,08-04-2019,07:00:00,92,000,0.0,6.00,23.4,0.00,28.47,979.81,23.2,0.50,24.7
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1001.51,08-04-2019,07:00:00,82,000,0.0,8.00,25.8,0.01,27.66,967.18,22.7,0.01,26.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1002.01,08-04-2019,07:00:00,88,000,0.0,9.00,25.0,0.30,28.23,974.53,23.1,0.30,25.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1001.42,08-04-2019,07:00:00,84,000,0.0,10.00,26.0,0.00,28.18,968.03,23.1,0.01,26.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1002.23,08-04-2019,07:00:00,93,240,1.9,4.00,24.3,4.20,28.28,983.68,23.1,4.20,24.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,1001.67,08-04-2019,07:00:00,96,000,0.0,4.00,23.5,9.90,28.09,978.76,23.0,12.00,23.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1001.81,08-04-2019,07:00:00,96,000,0.0,6.00,23.4,13.40,28.09,971.81,23.0,15.00,23.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1001.98,08-04-2019,07:00:00,90,000,0.0,6.00,25.2,0.00,28.83,966.54,23.4,0.00,25.2
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1001.17,08-04-2019,07:00:00,99,000,0.0,3.00,23.0,6.30,27.99,971.31,22.9,13.10,23.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1002.44,08-04-2019,07:00:00,92,000,0.0,7.00,25.0,2.50,29.44,995.13,23.8,2.50,25.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1000.98,08-04-2019,07:00:00,97,200,3.7,4.00,23.7,2.30,28.96,981.03,23.5,6.50,24.1
48353,LOEI,เลย,เลย,17.45000,101.73333,1001.27,08-04-2019,07:00:00,93,000,0.0,2.00,23.6,3.50,27.25,972.50,22.5,6.80,23.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1001.17,08-04-2019,07:00:00,91,230,7.4,10.00,24.0,0.60,27.86,980.96,22.9,0.60,24.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1001.23,08-04-2019,07:00:00,81,230,7.4,10.00,24.6,0.00,26.45,979.54,22.0,2.20,25.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1000.88,08-04-2019,07:00:00,84,220,3.7,15.00,25.3,0.00,27.82,981.45,22.8,1.60,25.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1002.37,08-04-2019,07:00:00,92,000,0.0,10.00,24.2,0.50,29.00,985.60,23.5,5.60,25.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1002.40,08-04-2019,07:00:00,92,000,0.0,10.00,23.5,0.00,29.00,984.97,23.5,3.90,25.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1001.32,08-04-2019,07:00:00,91,000,0.0,8.00,24.0,0.40,27.25,975.45,22.5,1.00,24.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1001.81,08-04-2019,07:00:00,71,250,11.1,10.00,25.9,0.00,27.52,996.08,22.7,0.00,28.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.09,08-04-2019,07:00:00,70,260,5.6,10.00,27.0,0.00,26.54,995.95,22.1,0.00,28.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1003.53,08-04-2019,07:00:00,86,000,0.0,10.00,24.2,0.50,27.19,987.05,22.5,0.50,25.0
