WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,WindDirection,WindSpeed,LandVisibility,MinimumTemperature,Rainfall,VaporPressure,StationPressure,DewPoint,Rainfall24Hr,AirTemperature
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1003.16,08-04-2019,07:00:00,91,000,0.0,10.00,22.8,1.80,27.25,980.71,22.5,38.50,24.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,1002.42,08-04-2019,07:00:00,67,260,18.5,8.00,26.6,0.00,25.32,988.15,21.3,0.00,27.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1001.67,08-04-2019,07:00:00,67,260,11.1,8.00,27.6,0.00,25.24,985.43,21.3,0.00,28.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1002.60,08-04-2019,07:00:00,93,000,0.0,10.00,24.8,0.70,30.17,997.37,24.2,0.70,25.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1001.05,08-04-2019,07:00:00,83,000,0.0,10.00,25.4,0.00,27.74,987.88,22.8,0.00,25.9
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1002.35,08-04-2019,07:00:00,85,080,3.7,12.00,25.5,0.00,28.26,993.04,23.1,0.00,25.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1002.50,08-04-2019,07:00:00,88,240,5.6,8.00,24.5,0.20,28.59,980.80,23.3,2.20,25.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1002.64,08-04-2019,07:00:00,80,220,9.3,10.00,25.2,0.00,27.77,985.19,22.8,0.50,26.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1001.65,08-04-2019,07:00:00,77,200,7.4,10.00,26.3,0.00,26.47,985.88,22.0,0.00,26.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1001.15,08-04-2019,07:00:00,89,200,9.3,8.00,25.2,0.00,29.95,982.33,24.1,0.50,26.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1006.92,08-04-2019,07:00:00,95,000,0.0,7.00,21.5,2.20,25.21,955.08,21.2,15.50,22.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.56,08-04-2019,07:00:00,86,060,7.4,5.00,25.7,0.00,29.62,998.61,23.9,0.01,26.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1004.37,08-04-2019,07:00:00,99,210,27.8,.25,18.9,1.10,23.28,909.10,19.9,7.70,20.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1002.07,08-04-2019,07:00:00,86,000,0.0,8.00,25.2,0.01,28.42,986.10,23.2,0.01,25.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.32,08-04-2019,07:00:00,74,250,5.6,10.00,27.0,0.00,27.75,998.32,22.8,0.00,27.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1004.32,08-04-2019,07:00:00,83,160,5.6,8.00,25.4,0.00,27.04,993.63,22.4,0.00,25.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.75,08-04-2019,07:00:00,81,170,5.6,8.00,25.1,0.00,26.70,1001.82,22.2,0.01,25.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1002.67,08-04-2019,07:00:00,82,210,3.7,10.00,24.2,0.00,26.27,981.77,21.9,0.00,25.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1002.39,08-04-2019,07:00:00,77,200,7.4,10.00,26.0,0.00,26.47,984.78,22.0,0.01,26.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1002.02,08-04-2019,07:00:00,74,230,13.0,10.00,26.7,0.00,26.32,985.94,21.9,0.00,27.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1004.27,08-04-2019,07:00:00,73,180,11.1,10.00,26.5,0.00,26.06,990.28,21.8,2.30,27.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1004.59,08-04-2019,07:00:00,79,000,0.0,9.00,25.7,0.00,26.98,989.76,22.3,3.40,26.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1004.40,08-04-2019,07:00:00,81,230,9.3,7.00,26.0,0.00,27.32,989.72,22.5,0.70,26.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.85,08-04-2019,07:00:00,81,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,10.00,25.6,0.00,27.67,999.84,22.8,0.00,26.3
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1002.79,08-04-2019,07:00:00,77,000,0.0,10.00,26.0,0.00,26.56,994.86,22.1,0.00,26.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.34,08-04-2019,07:00:00,93,220,16.7,5.00,24.7,0.00,30.17,1003.23,24.2,0.40,25.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1003.00,08-04-2019,07:00:00,91,000,0.0,9.00,26.2,0.00,34.31,988.42,26.3,0.00,27.9
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1006.87,08-04-2019,07:00:00,98,280,14.8,1.50,17.2,1.10,20.07,871.23,17.6,1.50,17.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.27,08-04-2019,07:00:00,80,230,14.8,10.00,25.4,0.00,27.23,997.40,22.5,0.00,26.2
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.40,08-04-2019,07:00:00,80,240,18.5,8.00,25.0,0.80,26.88,1004.60,22.3,1.20,26.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1004.96,08-04-2019,07:00:00,83,230,14.8,8.00,26.4,0.30,28.82,1004.52,23.4,0.30,26.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1006.30,08-04-2019,07:00:00,93,000,0.0,4.00,23.3,0.00,26.91,994.87,22.3,24.60,23.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.59,08-04-2019,07:00:00,88,180,3.7,10.00,24.9,0.20,27.88,1003.57,22.9,1.00,25.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.08,08-04-2019,07:00:00,84,170,7.4,7.00,25.1,0.01,27.55,1002.25,22.7,0.50,25.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.76,08-04-2019,07:00:00,92,000,0.0,6.00,23.5,7.60,29.08,1004.99,23.6,11.70,24.9
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.41,08-04-2019,07:00:00,88,260,18.5,10.00,25.2,0.01,29.03,1004.71,23.5,0.01,25.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1004.56,08-04-2019,07:00:00,83,240,3.7,7.00,26.1,0.00,29.00,1003.85,23.5,0.00,26.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1003.08,08-04-2019,07:00:00,73,250,9.3,10.00,25.8,0.00,26.41,982.03,22.0,0.10,27.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1003.60,08-04-2019,07:00:00,78,210,9.3,7.00,25.1,0.00,26.29,986.89,21.9,0.10,26.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1004.55,08-04-2019,07:00:00,79,210,9.3,9.00,25.0,0.00,26.63,988.11,22.1,0.10,26.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1002.99,08-04-2019,07:00:00,73,270,3.7,10.00,26.0,0.00,25.20,981.18,21.2,0.01,26.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1004.32,08-04-2019,07:00:00,76,230,29.6,12.00,24.0,0.00,23.56,960.86,20.1,0.30,24.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1003.38,08-04-2019,07:00:00,71,210,9.3,10.00,26.4,0.00,25.74,982.92,21.6,0.20,27.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1004.83,08-04-2019,07:00:00,83,220,13.0,9.00,25.7,0.00,27.74,983.99,22.8,0.40,25.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.56,08-04-2019,07:00:00,92,280,3.7,10.00,24.6,1.20,29.62,1005.12,23.9,1.40,25.2
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.61,08-04-2019,07:00:00,85,000,0.0,8.00,25.5,0.00,29.17,1003.19,23.6,0.10,26.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1004.72,08-04-2019,07:00:00,88,000,0.0,8.00,25.9,0.00,30.43,999.79,24.3,0.00,26.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.20,08-04-2019,07:00:00,92,000,0.0,12.00,23.0,0.70,28.47,1001.88,23.2,6.20,24.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.08,08-04-2019,07:00:00,96,000,0.0,5.00,23.2,0.40,29.23,1003.97,23.7,3.10,24.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.42,08-04-2019,07:00:00,88,270,7.4,8.00,24.7,0.40,29.50,1005.12,23.8,0.40,26.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1005.44,08-04-2019,07:00:00,81,270,7.4,10.00,25.9,0.80,27.85,1004.75,22.9,0.80,26.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.45,08-04-2019,07:00:00,84,260,9.3,10.00,26.0,0.50,28.18,1004.96,23.1,0.50,26.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.87,08-04-2019,07:00:00,85,240,22.2,10.00,25.4,0.60,28.80,1004.45,23.4,0.60,26.2
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1005.51,08-04-2019,07:00:00,84,250,18.5,10.00,26.8,0.00,30.12,1003.84,24.2,0.00,27.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1006.44,08-04-2019,07:00:00,83,230,11.1,10.00,25.7,0.00,29.10,998.43,23.6,0.00,26.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.70,08-04-2019,07:00:00,86,270,14.8,10.00,26.7,0.01,31.14,1005.41,24.7,0.01,27.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.43,08-04-2019,07:00:00,82,260,5.6,10.00,26.3,1.10,29.77,1002.31,24.0,1.10,27.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1005.94,08-04-2019,07:00:00,81,270,7.4,10.00,26.2,0.00,30.37,999.02,24.3,0.40,27.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.85,08-04-2019,07:00:00,81,160,3.7,7.00,25.7,0.00,28.94,999.26,23.5,0.00,27.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1006.52,08-04-2019,07:00:00,84,310,20.4,8.00,26.3,0.10,29.45,997.21,23.8,0.10,26.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.73,08-04-2019,07:00:00,97,000,0.0,5.00,24.5,2.20,30.12,1005.45,24.2,3.00,24.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.63,08-04-2019,07:00:00,92,240,7.4,11.00,24.3,1.20,28.90,1005.20,23.5,3.00,24.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.85,08-04-2019,07:00:00,97,200,5.6,9.00,23.2,2.00,28.61,994.46,23.3,6.40,23.9
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.36,08-04-2019,07:00:00,94,270,5.6,10.00,25.0,0.20,30.71,1005.64,24.5,3.10,25.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.27,08-04-2019,07:00:00,74,240,7.4,10.00,27.4,0.01,28.78,1003.85,23.4,0.01,28.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1005.92,08-04-2019,07:00:00,78,290,22.2,10.00,28.3,0.00,31.41,1005.41,24.9,0.00,29.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.02,08-04-2019,07:00:00,83,260,14.8,10.00,26.6,0.00,29.85,1000.87,24.0,0.00,27.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1005.77,08-04-2019,07:00:00,91,200,5.6,7.00,26.4,0.50,32.49,1005.36,25.4,4.70,27.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.18,08-04-2019,07:00:00,85,000,0.0,8.00,25.7,0.00,31.95,1003.42,25.1,2.40,28.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.03,08-04-2019,07:00:00,89,220,3.7,6.00,24.0,0.20,30.70,1006.25,24.5,10.60,26.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.28,08-04-2019,07:00:00,99,240,7.4,4.00,24.0,54.50,31.58,1005.82,24.9,85.10,25.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.10,08-04-2019,07:00:00,85,000,0.0,8.00,26.5,0.10,30.29,1006.42,24.3,4.10,27.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.33,08-04-2019,07:00:00,80,270,7.4,8.00,27.0,0.00,28.67,1005.80,23.3,3.00,27.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.55,08-04-2019,07:00:00,80,220,3.7,10.00,27.5,0.00,29.71,1007.64,23.9,6.80,27.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.53,08-04-2019,07:00:00,81,000,0.0,10.00,26.5,0.00,30.75,1006.84,24.5,3.70,28.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.31,08-04-2019,07:00:00,97,240,1.9,8.00,24.9,0.00,30.77,1007.51,24.5,2.60,25.1
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.57,08-04-2019,07:00:00,90,000,0.0,10.00,25.2,0.00,29.93,1006.94,24.1,0.00,25.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.10,08-04-2019,07:00:00,94,000,0.0,10.00,25.6,0.00,31.85,1007.69,25.1,0.00,26.1
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.38,08-04-2019,07:00:00,83,000,0.0,7.00,24.7,0.00,29.85,1005.17,24.0,9.80,27.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.88,08-04-2019,07:00:00,96,000,0.0,6.00,23.0,0.00,29.41,1007.25,23.8,2.00,24.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.80,08-04-2019,07:00:00,96,000,0.0,7.00,24.3,0.00,29.41,1005.29,23.8,0.00,24.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.36,08-04-2019,07:00:00,97,000,0.0,9.00,24.8,0.00,30.48,1006.99,24.4,0.00,24.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.24,08-04-2019,07:00:00,78,270,14.8,10.00,28.0,0.00,30.73,1007.36,24.5,0.20,28.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.43,08-04-2019,07:00:00,93,000,0.0,10.00,24.8,0.00,31.00,1004.85,24.6,0.00,25.8
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.37,08-04-2019,07:00:00,76,240,3.7,10.00,28.2,0.00,30.18,1007.94,24.2,0.00,28.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.12,08-04-2019,07:00:00,72,290,9.3,10.00,26.9,0.00,29.60,1007.13,23.9,0.00,29.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.75,08-04-2019,07:00:00,76,250,24.1,10.00,25.3,0.00,30.49,1007.94,24.4,0.00,29.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.60,08-04-2019,07:00:00,96,000,0.0,6.00,25.1,0.00,31.25,1006.77,24.8,0.00,25.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.58,08-04-2019,07:00:00,84,250,1.9,8.00,26.1,0.00,30.02,1007.82,24.1,0.00,27.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.78,08-04-2019,07:00:00,94,000,0.0,5.00,23.5,0.00,31.27,1004.77,24.8,0.00,25.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.49,08-04-2019,07:00:00,92,000,0.0,8.00,24.9,0.00,30.84,1008.80,24.6,0.00,26.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.16,08-04-2019,07:00:00,93,000,0.0,10.00,23.0,0.00,30.44,1007.04,24.3,0.00,25.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.92,08-04-2019,07:00:00,97,000,0.0,10.00,23.8,0.00,30.48,1005.97,24.4,0.00,24.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.48,08-04-2019,07:00:00,95,000,0.0,8.00,25.0,0.00,30.98,1007.79,24.6,0.00,25.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1009.28,08-04-2019,07:00:00,90,000,0.0,5.00,24.5,0.00,28.66,1005.12,23.3,0.00,25.1
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.43,08-04-2019,07:00:00,84,250,5.6,9.00,.0,0.00,27.03,1007.84,22.4,0.00,25.2
