WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,WindDirection,AirTemperature,DewPoint,StationPressure,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,8.00,09-13-2019,04:00:00,0.40,0.0,000,24.3,23.3,979.59,94,4.00,1010.79,28.54
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,6.00,09-13-2019,04:00:00,2.50,11.1,270,17.9,17.7,847.01,99,4.70,1009.05,20.28
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,09-13-2019,04:00:00,0.00,0.0,000,24.7,23.1,965.70,91,0.20,1009.56,28.21
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10.00,09-13-2019,04:00:00,0.00,0.0,000,24.3,23.4,963.43,95,0.00,1009.25,28.79
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.00,09-13-2019,04:00:00,0.00,0.0,000,24.0,23.7,970.84,98,0.00,1008.75,29.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,09-13-2019,04:00:00,0.00,0.0,000,24.5,23.3,963.09,93,0.00,1008.39,28.63
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,6.00,09-13-2019,04:00:00,0.00,0.0,000,24.9,24.2,983.11,96,0.00,1010.02,30.13
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,09-13-2019,04:00:00,0.00,0.0,000,24.4,23.4,987.60,94,0.00,1009.55,28.71
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,09-13-2019,04:00:00,0.00,0.0,000,23.7,23.3,987.05,97,5.00,1011.47,28.52
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-13-2019,04:00:00,0.00,0.0,000,24.3,22.8,975.15,91,20.80,1009.95,27.77
