WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,Rainfall,WindDirection,VaporPressure,DewPoint,StationPressure,Rainfall24Hr,WindSpeed,RelativeHumidity,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,09-20-2019,22:00:00,1010.45,4.40,000,30.84,24.6,979.43,5.80,0.0,92,26.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,09-20-2019,22:00:00,1009.87,0.00,120,21.46,18.6,848.15,2.20,7.4,99,18.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,09-20-2019,22:00:00,1009.49,0.00,000,28.90,23.5,965.88,0.00,0.0,84,26.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10.00,09-20-2019,22:00:00,1009.54,0.00,000,29.48,23.8,963.92,0.00,0.0,89,25.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,6.00,09-20-2019,22:00:00,1010.96,0.00,000,28.59,23.3,973.16,4.40,0.0,88,25.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,09-20-2019,22:00:00,1010.49,0.00,040,29.33,23.7,965.11,1.50,3.7,95,24.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,8.00,09-20-2019,22:00:00,1010.14,0.00,000,31.66,25.0,983.41,0.20,0.0,89,27.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,13.00,09-20-2019,22:00:00,1009.81,0.00,000,32.32,25.3,987.98,5.80,0.0,95,26.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,09-20-2019,22:00:00,1009.30,0.00,000,30.43,24.3,985.16,2.20,0.0,88,26.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-20-2019,22:00:00,1009.43,0.00,000,29.91,24.0,974.78,0.20,0.0,92,25.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-20-2019,22:00:00,1010.47,0.00,000,30.12,24.2,982.70,12.70,0.0,97,24.6
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-20-2019,22:00:00,1010.17,0.00,000,30.69,24.5,976.41,28.00,0.0,96,25.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,8.00,09-20-2019,22:00:00,1009.27,0.00,260,33.01,25.7,990.78,0.20,1.9,90,27.4
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-20-2019,22:00:00,1009.80,0.00,000,31.66,25.0,986.96,2.20,0.0,89,27.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,8.00,09-20-2019,22:00:00,1010.07,0.00,000,29.82,24.0,980.02,0.00,0.0,91,25.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,09-20-2019,22:00:00,1010.43,0.00,000,28.62,23.3,974.58,1.20,0.0,95,24.2
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,4.00,09-20-2019,22:00:00,1010.30,0.00,140,29.13,23.6,980.28,17.90,3.7,97,24.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.00,09-20-2019,22:00:00,1009.96,0.00,000,30.89,24.6,1002.65,0.00,0.0,84,27.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10.00,09-20-2019,22:00:00,1009.58,0.00,000,34.08,26.2,989.81,0.00,0.0,82,29.6
48353,LOEI,เลย,เลย,17.45000,101.73333,10.00,09-20-2019,22:00:00,1010.26,0.00,150,29.10,23.6,981.38,18.00,3.7,91,25.2
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10.00,09-20-2019,22:00:00,1009.93,0.00,100,30.56,24.4,989.78,0.60,1.9,81,28.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,09-20-2019,22:00:00,1010.59,0.00,000,30.81,24.5,988.71,5.20,0.0,93,25.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,09-20-2019,22:00:00,1009.76,0.00,000,32.15,25.3,990.20,5.50,0.0,93,26.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,09-20-2019,22:00:00,1010.26,0.00,000,29.08,23.6,993.45,1.30,0.0,84,26.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,09-20-2019,22:00:00,1010.64,0.00,000,32.40,25.4,993.13,0.10,0.0,96,26.1
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,11.00,09-20-2019,22:00:00,1008.99,0.00,000,30.34,24.3,983.15,13.60,0.0,87,26.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,09-20-2019,22:00:00,1009.58,18.60,000,31.52,24.9,1003.75,18.60,0.0,97,25.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,09-20-2019,22:00:00,1009.35,13.80,000,32.38,25.4,1003.15,14.00,0.0,92,26.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,8.00,09-20-2019,22:00:00,1010.76,0.00,000,30.84,24.6,994.21,6.30,0.0,92,26.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,09-20-2019,22:00:00,1007.97,1.10,000,31.25,24.8,985.52,9.50,0.0,96,25.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,09-20-2019,22:00:00,1010.98,0.60,000,31.17,24.7,996.48,34.10,0.0,95,25.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,09-20-2019,22:00:00,1010.25,0.00,000,31.33,24.8,993.73,32.50,0.0,97,25.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-20-2019,22:00:00,1010.33,1.50,000,31.85,25.1,1005.07,13.90,0.0,94,26.1
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,8.00,09-20-2019,22:00:00,1008.82,1.10,000,32.48,25.4,995.56,22.60,0.0,97,26.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,09-20-2019,22:00:00,1010.04,0.10,000,31.22,24.8,1000.67,26.80,0.0,92,26.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,09-20-2019,22:00:00,1010.52,0.00,120,31.08,24.7,988.67,0.70,7.4,94,25.7
