WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,VaporPressure,WindDirection,AirTemperature,LandVisibility,Rainfall,StationPressure,Rainfall24Hr,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-26-2019,04:00:00,24.1,94,29.97,000,25.1,6.00,0.00,974.80,3.40,1005.77
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,11.1,08-26-2019,04:00:00,19.0,100,21.95,270,19.0,.10,0.00,843.46,0.00,1004.17
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-26-2019,04:00:00,23.5,88,29.03,000,25.6,12.00,0.00,960.88,0.00,1004.39
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-26-2019,04:00:00,23.0,91,28.11,000,24.5,12.00,0.00,959.14,3.00,1004.72
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-26-2019,04:00:00,24.1,97,29.93,000,24.5,5.00,5.40,967.94,6.30,1005.68
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,08-26-2019,04:00:00,23.9,95,29.69,000,24.8,10.00,0.00,958.32,2.00,1003.35
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,08-26-2019,04:00:00,24.7,94,31.08,000,25.7,6.00,2.20,978.99,3.30,1005.71
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-26-2019,04:00:00,24.0,96,29.77,000,24.7,10.00,0.00,984.44,4.90,1006.30
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-26-2019,04:00:00,23.3,93,28.63,000,24.5,6.00,0.30,982.38,0.90,1006.61
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-26-2019,04:00:00,23.3,88,28.59,000,25.5,10.00,0.00,970.61,0.00,1005.12
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-26-2019,04:00:00,24.3,96,30.32,000,25.0,10.00,0.00,978.72,0.00,1006.35
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-26-2019,04:00:00,24.3,96,30.32,000,25.0,10.00,0.00,971.64,0.30,1005.26
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,08-26-2019,04:00:00,24.3,96,30.32,000,25.0,10.00,0.00,986.23,0.00,1004.79
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-26-2019,04:00:00,25.3,90,32.21,000,27.0,10.00,0.50,981.66,0.50,1004.38
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-26-2019,04:00:00,24.0,91,29.82,000,25.6,6.00,1.40,973.57,1.40,1003.41
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-26-2019,04:00:00,24.3,96,30.32,000,25.0,6.00,0.00,969.48,0.00,1005.04
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-26-2019,04:00:00,23.8,96,29.41,000,24.5,6.00,0.20,974.63,0.90,1004.45
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-26-2019,04:00:00,24.6,92,30.84,000,26.0,8.00,0.00,998.14,7.30,1005.45
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,08-26-2019,04:00:00,24.6,97,30.85,000,25.0,10.00,25.60,982.84,66.60,1002.77
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,08-26-2019,04:00:00,23.9,91,29.64,000,25.5,6.00,0.01,975.67,0.50,1004.35
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,9.3,08-26-2019,04:00:00,23.1,95,28.27,250,24.0,4.00,21.90,984.76,45.20,1005.08
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,08-26-2019,04:00:00,23.6,90,29.19,000,25.4,10.00,0.10,983.58,2.70,1005.37
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,08-26-2019,04:00:00,24.3,96,30.32,000,25.0,7.00,8.60,984.99,22.10,1004.55
