WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,RelativeHumidity,VaporPressure,WindSpeed,DewPoint,WindDirection,LandVisibility,MeanSeaLevelPressure,AirTemperature,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.42,07-18-2019,04:00:00,0.40,89,29.21,0.0,23.7,000,8.00,1004.28,25.7,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,842.30,07-18-2019,04:00:00,1.60,100,22.65,13.0,19.5,300,.60,1002.50,19.5,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,958.71,07-18-2019,04:00:00,1.10,87,29.60,0.0,23.9,000,12.00,1002.03,26.2,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,957.01,07-18-2019,04:00:00,0.00,88,29.50,0.0,23.8,000,15.00,1002.26,26.0,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,965.14,07-18-2019,04:00:00,0.00,96,30.69,0.0,24.5,000,6.00,1002.68,25.2,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,957.79,07-18-2019,04:00:00,0.00,74,27.85,3.7,22.9,120,7.00,1002.31,28.0,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,976.87,07-18-2019,04:00:00,0.01,90,31.55,0.0,24.9,000,8.00,1003.43,26.8,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,981.22,07-18-2019,04:00:00,0.01,75,25.79,0.0,21.6,000,12.00,1002.88,26.4,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,980.49,07-18-2019,04:00:00,0.00,89,29.11,0.0,23.6,000,6.00,1004.60,25.5,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,968.79,07-18-2019,04:00:00,0.00,70,26.54,0.0,22.1,000,10.00,1002.93,28.0,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.16,07-18-2019,04:00:00,0.00,70,25.65,0.0,21.5,000,10.00,1004.50,27.5,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,969.49,07-18-2019,04:00:00,0.00,81,29.60,0.0,23.9,000,10.00,1002.76,27.5,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,983.89,07-18-2019,04:00:00,0.00,82,30.34,0.0,24.3,000,10.00,1002.24,27.6,0.00
