WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,LandVisibility,Rainfall,WindDirection,MeanSeaLevelPressure,VaporPressure,StationPressure,AirTemperature,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-04-2019,13:00:00,24.5,91,7.00,4.10,000,1002.50,30.76,971.73,26.1,4.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,37.0,08-04-2019,13:00:00,18.4,100,.10,8.20,300,999.82,21.14,839.51,18.4,27.80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,14.8,08-04-2019,13:00:00,22.9,88,10.00,10.60,270,999.06,27.96,955.69,25.0,20.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,11.1,08-04-2019,13:00:00,23.9,96,6.00,15.40,240,1000.14,29.59,954.78,24.6,28.80
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,16.7,08-04-2019,13:00:00,23.5,100,6.00,17.60,160,1000.73,28.94,963.06,23.5,41.90
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,3.7,08-04-2019,13:00:00,23.4,98,6.00,20.50,110,1001.41,28.77,956.30,23.7,36.80
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,11.1,08-04-2019,13:00:00,23.1,92,5.00,13.00,130,1001.00,28.29,974.31,24.6,39.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-04-2019,13:00:00,24.2,83,9.00,0.10,000,1002.30,30.23,980.72,27.4,1.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-04-2019,13:00:00,24.3,84,6.00,1.40,000,1003.66,30.39,979.71,27.2,2.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-04-2019,13:00:00,23.9,92,6.00,3.10,000,1002.30,29.72,967.88,25.4,5.80
