WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,StationPressure,Rainfall24Hr,MinimumTemperature,AirTemperature,MeanSeaLevelPressure,VaporPressure,RelativeHumidity,LandVisibility,DewPoint,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,10-01-2019,07:00:00,0.00,980.36,0.00,.0,24.2,1011.61,28.62,95,6.00,23.3,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,180,10-01-2019,07:00:00,0.00,848.38,0.00,18.2,18.6,1010.26,19.71,92,8.00,17.3,5.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,10-01-2019,07:00:00,0.00,966.81,0.00,22.0,24.0,1010.82,23.82,80,6.00,20.3,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,10-01-2019,07:00:00,0.00,964.98,0.00,19.0,21.5,1011.32,24.44,95,12.00,20.7,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,10-01-2019,07:00:00,0.00,974.78,0.00,20.0,20.3,1013.33,23.57,99,8.00,20.1,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,10-01-2019,07:00:00,0.00,965.51,0.00,21.3,22.7,1011.21,26.58,96,7.00,22.1,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,10-01-2019,07:00:00,0.00,985.17,0.00,22.3,22.7,1012.34,26.58,96,.60,22.1,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,10-01-2019,07:00:00,0.00,988.74,0.00,23.5,23.8,1010.77,28.18,96,3.00,23.1,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,10-01-2019,07:00:00,0.00,987.22,0.00,22.5,24.5,1011.58,29.41,96,6.00,23.8,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,10-01-2019,07:00:00,0.00,975.84,0.00,24.2,24.5,1010.65,26.84,87,10.00,22.3,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,10-01-2019,07:00:00,0.00,983.04,0.00,22.8,23.2,1010.96,27.16,96,8.00,22.4,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,10-01-2019,07:00:00,0.00,977.22,0.00,24.2,24.2,1011.13,28.62,95,7.00,23.3,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,10-01-2019,07:00:00,0.00,991.93,0.00,23.2,24.0,1010.65,28.01,94,1.00,23.0,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,10-01-2019,07:00:00,0.00,988.35,0.00,22.4,23.0,1011.53,26.83,96,.70,22.2,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,10-01-2019,07:00:00,0.00,980.95,0.00,20.9,21.1,1011.49,23.60,94,6.00,20.2,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,10-01-2019,07:00:00,0.00,975.29,0.00,22.0,23.0,1011.31,26.83,96,7.00,22.2,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,10-01-2019,07:00:00,0.00,981.10,0.00,21.6,22.0,1011.37,25.93,98,1.00,21.7,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,10-01-2019,07:00:00,0.00,1003.16,0.00,25.0,25.2,1010.54,28.83,90,7.00,23.4,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,130,10-01-2019,07:00:00,0.00,990.99,0.00,25.5,26.6,1010.97,29.54,85,5.00,23.8,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,000,10-01-2019,07:00:00,0.00,982.20,0.00,22.3,22.8,1011.33,25.76,93,2.50,21.6,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,000,10-01-2019,07:00:00,0.00,991.01,0.00,24.0,24.9,1011.40,27.53,87,5.00,22.7,0.0
