WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindDirection,Rainfall,AirTemperature,DewPoint,RelativeHumidity,WindSpeed,StationPressure,LandVisibility,Rainfall24Hr,MeanSeaLevelPressure
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.28,07-20-2019,01:00:00,200,0.00,21.7,20.6,94,5.6,911.64,5.00,0.00,1006.64
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.00,07-20-2019,01:00:00,000,0.00,30.2,25.7,77,0.0,988.44,6.00,0.00,1004.22
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.21,07-20-2019,01:00:00,190,0.00,27.5,25.8,90,5.6,1000.58,10.00,0.00,1004.60
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.08,07-20-2019,01:00:00,000,0.00,26.5,23.6,84,0.0,995.66,8.00,0.00,1006.34
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,32.20,07-20-2019,01:00:00,120,0.00,26.0,25.3,96,3.7,1003.76,7.00,0.00,1005.69
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.30,07-20-2019,01:00:00,270,0.01,29.2,23.7,72,13.0,984.14,10.00,0.01,1004.80
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,29.05,07-20-2019,01:00:00,180,0.00,29.5,23.6,70,14.8,986.67,10.00,0.00,1004.14
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.63,07-20-2019,01:00:00,200,0.00,29.6,24.4,74,11.1,988.15,10.00,0.00,1004.12
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.11,07-20-2019,01:00:00,190,0.00,28.1,23.6,77,3.7,991.07,10.00,0.00,1005.03
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.98,07-20-2019,01:00:00,190,0.00,27.6,23.5,79,3.7,991.36,10.00,0.00,1006.15
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.17,07-20-2019,01:00:00,180,0.00,27.8,24.2,81,7.4,990.93,6.00,0.00,1005.54
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.72,07-20-2019,01:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,27.6,25.0,86,0.0,1001.77,10.00,0.00,1004.78
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.45,07-20-2019,01:00:00,000,0.00,27.8,24.3,82,0.0,997.34,7.00,0.00,1005.25
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.54,07-20-2019,01:00:00,110,0.00,26.6,23.8,85,3.7,1005.02,6.00,0.00,1006.13
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.26,07-20-2019,01:00:00,000,0.00,27.5,23.1,77,0.0,990.52,8.00,0.00,1005.15
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,24.01,07-20-2019,01:00:00,190,9.00,20.6,20.4,99,7.4,871.44,.01,77.00,1005.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.64,07-20-2019,01:00:00,000,0.00,27.7,25.0,85,0.0,999.41,10.00,0.00,1005.27
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,32.45,07-20-2019,01:00:00,000,2.30,25.7,25.4,98,0.0,1005.32,8.00,11.90,1006.12
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.85,07-20-2019,01:00:00,230,0.00,29.5,25.1,77,11.1,1005.30,10.00,0.00,1005.74
