WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,LandVisibility,WindDirection,Rainfall24Hr,VaporPressure,WindSpeed,Rainfall,StationPressure,MaximumTemperature,MeanSeaLevelPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.0,09-28-2019,19:00:00,88,12.00,000,0.00,31.38,0.0,0.00,981.33,32.5,1012.31,24.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.5,09-28-2019,19:00:00,90,8.00,180,0.00,19.16,9.3,0.00,850.49,20.6,1012.84,16.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.2,09-28-2019,19:00:00,65,100.00,000,0.00,24.82,0.0,0.00,968.78,32.2,1012.27,21.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.1,09-28-2019,19:00:00,78,8.00,000,0.00,27.80,0.0,0.00,966.54,32.0,1012.07,22.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.5,09-28-2019,19:00:00,80,7.00,000,0.00,27.77,0.0,0.00,976.14,34.5,1013.93,22.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.0,09-28-2019,19:00:00,88,10.00,000,0.00,27.70,0.0,0.00,968.12,31.8,1013.59,22.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,28.0,09-28-2019,19:00:00,77,9.00,000,0.00,29.19,0.0,0.00,986.19,32.5,1012.91,23.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.0,09-28-2019,19:00:00,91,6.00,000,6.40,30.57,0.0,6.40,990.85,33.0,1012.75,24.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.5,09-28-2019,19:00:00,96,8.00,000,6.10,29.41,0.0,0.90,990.37,33.3,1014.80,23.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,28.2,09-28-2019,19:00:00,70,10.00,000,0.00,26.90,0.0,0.00,977.80,32.9,1012.24,22.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,26.0,09-28-2019,19:00:00,78,10.00,000,0.00,26.37,0.0,0.00,984.97,33.5,1012.68,22.0
