WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,AirTemperature,LandVisibility,StationPressure,Rainfall,WindDirection,VaporPressure,WindSpeed,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-09-2019,04:00:00,5.30,24.2,1006.76,24.8,8.00,975.73,0.00,000,30.22,0.0,97
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-09-2019,04:00:00,2.60,17.9,1004.29,18.1,8.00,843.12,0.00,270,20.54,37.0,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-09-2019,04:00:00,3.00,24.6,1004.66,26.2,10.00,961.23,0.00,000,30.94,0.0,91
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-09-2019,04:00:00,0.00,24.1,1004.48,25.3,12.00,959.02,0.00,000,30.07,0.0,93
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-09-2019,04:00:00,0.50,24.5,1006.27,24.8,6.00,968.55,0.00,000,30.75,0.0,98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-09-2019,04:00:00,0.10,23.4,1005.34,25.2,7.00,960.28,0.00,120,28.83,3.7,90
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-09-2019,04:00:00,1.60,24.2,1005.88,25.5,7.00,979.14,0.00,000,30.17,0.0,93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-09-2019,04:00:00,0.00,22.3,1006.61,23.7,13.00,984.67,0.00,000,27.00,0.0,92
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-09-2019,04:00:00,2.10,24.3,1008.00,25.0,6.00,983.77,0.00,000,30.32,0.0,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-09-2019,04:00:00,0.00,22.9,1006.61,25.9,10.00,972.10,0.00,000,28.00,0.0,84
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-09-2019,04:00:00,9.60,24.2,1006.72,25.2,10.00,979.11,0.00,000,30.15,0.0,94
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-09-2019,04:00:00,0.00,23.1,1005.94,25.2,10.00,972.32,0.00,000,28.31,0.0,88
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-09-2019,04:00:00,7.60,24.7,1005.66,25.7,10.00,987.14,0.00,000,31.08,0.0,94
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-09-2019,04:00:00,3.20,24.8,1005.63,25.4,10.00,982.77,0.00,000,31.33,0.0,97
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-09-2019,04:00:00,0.10,24.1,1005.80,24.8,7.00,975.80,0.00,000,29.95,0.0,96
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-09-2019,04:00:00,0.00,23.4,1006.29,24.6,7.00,970.64,0.00,000,28.81,0.0,93
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-09-2019,04:00:00,0.00,23.9,1004.33,24.8,12.00,974.55,0.00,000,29.69,0.0,95
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-09-2019,04:00:00,0.01,24.0,1005.56,26.2,9.00,998.24,0.00,000,29.86,0.0,88
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-09-2019,04:00:00,0.00,24.8,1004.12,27.0,10.00,984.30,0.00,210,31.38,7.4,88
48353,LOEI,เลย,เลย,17.45000,101.73333,09-09-2019,04:00:00,0.00,23.7,1005.18,25.6,12.00,976.49,0.00,000,29.29,0.0,89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-09-2019,04:00:00,0.01,24.4,1004.74,26.3,12.00,984.58,0.00,290,30.59,1.9,89
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-09-2019,04:00:00,0.00,24.4,1005.38,27.1,12.00,983.71,0.00,180,30.48,3.7,85
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-09-2019,04:00:00,0.00,24.6,1004.15,27.3,10.00,984.75,0.00,220,30.86,3.7,85
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-09-2019,04:00:00,0.01,25.4,1005.59,27.3,12.00,988.90,0.00,000,32.53,0.0,90
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-09-2019,04:00:00,0.40,24.7,1005.66,25.7,10.00,988.21,0.00,000,31.08,0.0,94
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-09-2019,04:00:00,28.40,25.1,1003.89,26.1,10.00,978.13,0.00,000,31.85,0.0,94
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-09-2019,04:00:00,0.00,23.6,1005.52,28.0,10.00,999.76,0.00,280,29.19,3.7,77
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-09-2019,04:00:00,0.00,24.4,1005.33,27.3,10.00,999.15,0.00,000,30.59,0.0,84
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-09-2019,04:00:00,0.00,23.5,1006.44,25.0,10.00,989.90,0.00,000,29.00,0.0,92
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-09-2019,04:00:00,15.30,23.8,1006.50,24.5,6.00,984.01,3.00,230,29.41,5.6,96
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-09-2019,04:00:00,0.00,22.4,1006.68,28.0,8.00,992.35,0.00,280,27.06,11.1,72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-09-2019,04:00:00,0.00,22.6,1006.15,26.4,8.00,989.75,0.00,000,27.33,0.0,79
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-09-2019,04:00:00,0.00,23.5,1006.13,27.9,10.00,1000.93,0.00,000,29.01,0.0,77
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-09-2019,04:00:00,5.10,24.2,1004.85,24.9,10.00,991.59,0.00,000,30.13,0.0,96
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-09-2019,04:00:00,0.00,23.9,1006.22,25.7,11.00,996.87,0.00,000,29.74,0.0,90
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-09-2019,04:00:00,28.20,24.5,1005.25,25.5,10.00,983.50,0.00,230,30.71,3.7,94
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-09-2019,04:00:00,2.70,22.7,1004.29,26.7,8.00,986.82,0.00,000,27.60,0.0,79
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-09-2019,04:00:00,0.00,24.8,1004.89,27.0,10.00,989.10,0.00,000,31.38,0.0,88
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-09-2019,04:00:00,9.80,24.4,1004.26,26.6,8.00,985.41,0.00,220,30.62,3.7,88
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-09-2019,04:00:00,4.60,21.7,1008.35,23.2,5.00,956.65,1.80,000,25.92,0.0,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-09-2019,04:00:00,4.30,26.1,1006.70,27.1,6.00,1002.75,0.00,000,33.82,0.0,94
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-09-2019,04:00:00,5.90,20.3,1007.55,20.9,.80,912.23,0.20,230,23.77,9.3,96
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-09-2019,04:00:00,0.50,24.3,1005.31,26.5,5.00,989.32,0.00,000,30.43,0.0,88
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-09-2019,04:00:00,0.00,24.6,1005.80,26.0,10.00,1001.76,0.00,000,30.84,0.0,92
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-09-2019,04:00:00,0.00,23.5,1007.61,25.0,7.00,996.86,0.00,000,29.00,0.0,92
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-09-2019,04:00:00,8.70,24.3,1006.75,25.0,8.00,1004.81,0.00,190,30.32,7.4,96
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-09-2019,04:00:00,0.00,22.8,1006.13,25.6,10.00,985.20,0.00,240,27.73,13.0,85
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-09-2019,04:00:00,0.00,24.7,1005.12,27.0,10.00,987.49,0.00,210,31.11,11.1,87
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-09-2019,04:00:00,0.00,25.5,1005.05,27.2,10.00,988.93,0.00,170,32.61,5.6,90
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-09-2019,04:00:00,2.10,24.3,1006.44,26.9,10.00,992.41,0.00,000,30.37,0.0,86
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-09-2019,04:00:00,0.00,24.4,1007.08,26.0,9.00,992.20,0.00,000,30.57,0.0,91
